pseudocode,item_group,item_id,cpp_b,cpp_g,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g
1003436,8,9,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003436,8,10,0,0,0,0,0,0,0,0,0,0,12,24,9,8,0,0,0,0,0,0,0,0,0,0,0,0
1003436,8,11,0,0,0,0,0,0,0,0,0,0,1,2,22,23,19,17,1,1,0,0,0,0,0,0,0,0
1003436,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,25,30,3,1,0,0,0,0,0,0
1003436,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,10,25,39,0,3,0,0,0,0
1003436,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,10,23,26,2,2,0,0
1003436,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,17,30,21,1,3
1003436,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,19,6,33,30
1003436,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,7
1003436,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1005046,8,8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1005046,8,9,0,0,0,0,0,0,0,0,0,0,9,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0
1005046,8,10,0,0,0,0,0,0,0,0,0,0,10,10,15,11,3,2,0,0,0,0,0,0,0,0,0,0
1005046,8,11,0,0,0,0,0,0,0,0,0,0,1,1,10,12,20,10,4,4,0,0,0,0,0,0,0,0
1005046,8,12,0,0,0,0,0,0,0,0,0,0,1,0,3,1,17,10,25,17,2,5,0,0,0,0,0,0
1005046,8,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,15,11,19,19,6,2,0,0,0,0
1005046,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,12,10,28,26,0,0,0,0
1005046,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,15,11,2,5,2,1
1005046,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,1,3,2,4,4
1005046,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,3,3
1005046,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
1005046,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1025236,8,9,0,0,0,0,0,0,0,0,0,0,11,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1025236,8,10,0,0,0,0,0,0,0,0,0,0,30,19,15,8,0,1,0,0,0,0,0,0,0,0,0,0
1025236,8,11,0,0,0,0,0,0,0,0,0,0,4,2,26,14,25,25,4,5,0,0,0,0,0,0,0,0
1025236,8,12,0,0,0,0,0,0,0,0,0,0,1,1,1,2,13,17,36,22,4,2,0,1,0,0,0,0
1025236,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,18,11,33,20,2,0,0,0,0,0
1025236,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,12,20,19,21,0,0,0,0
1025236,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,10,0,0,0,0
1025236,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,4,0,0,0,0
1025236,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1029555,8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029555,8,9,0,0,0,0,0,0,0,0,0,0,20,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1029555,8,10,0,0,0,0,0,0,0,0,0,0,48,55,24,16,1,1,0,0,0,0,0,0,0,0,0,0
1029555,8,11,0,0,0,0,0,0,0,0,0,0,11,9,49,43,35,29,4,6,0,0,0,0,0,0,0,0
1029555,8,12,0,0,0,0,0,0,0,0,0,0,1,0,7,5,37,27,44,43,6,1,0,0,0,0,0,0
1029555,8,13,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,6,37,27,30,35,2,4,0,0,0,0
1029555,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,1,30,22,34,37,0,0,0,0
1029555,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,27,21,0,0,0,0
1029555,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,0,0,0,0
1029555,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1030658,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1030658,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0
1030658,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,0,0,0
1030658,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0
1030658,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1030658,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1041282,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1041282,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,228,0,0
1041282,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,214,249,237
1041282,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,277,189
1041282,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1
1042996,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042996,8,9,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1042996,8,10,0,0,0,0,0,0,0,0,0,0,5,6,4,5,1,0,0,0,0,0,0,0,0,0,0,0
1042996,8,11,0,0,0,0,0,0,0,0,0,0,2,4,7,5,7,2,1,1,0,0,0,0,0,0,0,0
1042996,8,12,0,0,0,0,0,0,0,0,0,0,2,1,5,2,7,1,4,13,4,5,0,2,0,0,0,0
1042996,8,13,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,1,5,6,14,14,3,5,0,0,0,0
1042996,8,14,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,8,3,17,7,10,27,0,0,0,0
1042996,8,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,7,6,6,8,0,0,0,0
1042996,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,5,0,0,0,0
1042996,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,8,3,0,0,0,0
1042996,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0
1042996,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
1042996,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1044270,8,3,36,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
