pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
7027847,1,0,1,1,0,8,10,0,0,1,4,4,3,3,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,2,2,15,0,2,0,0,1,2,1,1,3
7009176,2,0,3,6,0,7,6,0,0,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,12,0,1,0,0,2,2,1,1,3
6065102,1,0,2,1,0,8,20,0,0,1,5,5,5,5,5,5,5,5,5,5,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,3,0,25,0,0,1,10,2,3,1,2,1
6252075,2,0,1,1,0,5,14,0,0,1,5,5,5,5,1,1,1,1,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,3,1,2,2,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,13,0,0,0,12,12,2,1,2,3
2970073,2,0,1,1,0,15,20,0,0,1,6,6,6,6,1,1,1,1,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,91,0,295,0,1,3,0,39,49,1,1,2
6098735,2,0,1,1,0,4,9,0,0,1,8,6,6,6,1,1,1,1,4,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,0,12,0,0,1,0,1,3,1,2,3
9966698,2,0,1,1,0,7,12,0,0,1,8,8,0,0,4,4,10,10,8,0,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,9,2,1,1,1,1,1,1,1,3,3,3,3,1,1,9,6,0,6,0,0,0,12,11,3,1,1,1
6039620,2,0,1,1,0,8,20,0,0,1,2,2,2,2,0,0,0,0,7,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,4,12,31,0,0,1,1,2,6,1,2,2
9908658,2,0,1,1,0,6,12,0,0,1,2,2,6,6,1,1,0,0,2,6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,4,4,4,4,4,4,4,4,4,1,2,0,0,12,0,0,0,1,1,3,1,2,3
9003148,2,0,1,1,0,10,18,0,0,1,6,6,11,11,3,3,5,5,14,5,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,9,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,20,35,0,0,1,0,1,4,1,2,3
4781384,2,0,1,1,0,12,11,0,0,1,4,4,4,4,4,4,4,4,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,1,1,1,1,1,4,4,4,4,4,1,1,9,1,0,45,0,0,0,0,2,2,1,2,2
6378199,1,0,1,1,0,29,16,0,0,1,15,15,4,4,2,2,0,0,7,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,19,0,22,0,0,0,17,18,5,1,2,2
7905398,2,0,1,1,0,4,6,0,0,1,2,2,4,4,1,1,1,1,3,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,7,0,20,0,0,0,7,7,3,1,2,2
9595450,1,0,1,1,0,4,5,0,0,1,2,2,1,1,1,1,1,1,3,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,20,0,0,1,1,1,4,1,2,2
1323977,2,0,1,1,0,6,18,0,0,1,0,0,12,12,0,0,2,2,0,14,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,5,1,35,0,33,1,18,2,3,1,1,2
9394300,1,0,1,1,0,5,8,0,0,1,2,2,2,2,1,1,1,1,3,3,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,2,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,4,0,0,1,0,1,2,1,2,2
6577771,1,0,1,1,0,11,16,0,0,1,25,25,8,8,1,1,1,1,26,9,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,2,2,1,9,2,1,1,1,2,2,2,2,4,4,4,4,1,1,9,2,1,18,0,13,1,7,1,3,1,2,2
2338519,2,0,1,1,0,6,13,0,0,1,0,0,0,0,3,3,13,13,17,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,42,0,0,2,0,1,2,1,2,3
9622244,2,0,1,1,0,14,13,0,0,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,1,3,1,1,1,1,2
8476073,1,0,1,1,0,6,23,0,0,1,20,20,25,25,2,2,2,2,10,15,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,2,1,0,0,0,0,0,0,0,0,0,1,9,0,0,6,0,0,0,0,1,5,1,1,2
9425048,1,0,1,1,0,6,10,0,0,1,4,4,4,4,4,4,4,4,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,2,2,2,2,4,4,4,4,2,1,9,0,0,10,0,0,1,0,0,2,1,2,2
