pseudocode,state,district,block,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
3449581,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","K/West - Ward No. 61",,,,3,3,5,12,5,400102,2,2,3,0,1,19,0,0,0,2,2,1,9,9,220,1,0,0,0,0,0,0
2949508,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","R/South - Ward No. 22",,,,6,3,5,10,4,400067,2,1,3,0,1,19,10,4,0,2,0,1,9,2,210,1,0,0,0,0,0,0
7834575,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC3 ( GHATKOPAR )",2,"Greater Mumbai_Municipal Corporations","M/East - Ward No. 146",,,,6,3,1,10,101,400094,2,2,3,0,2,19,0,0,0,1,0,1,2,2,204,1,22,31,12,21,0,1
2747880,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC3 ( GHATKOPAR )",2,"Greater Mumbai_Municipal Corporations","M/East - Ward No. 145",,,,6,3,5,10,5,400088,2,1,3,0,1,19,4,10,0,2,0,1,9,9,0,2,0,0,0,0,0,0
7670009,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 38",,,,6,3,5,10,5,400093,2,2,3,0,1,19,0,0,0,2,0,1,9,9,221,1,0,0,0,0,0,0
9752445,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 33",,,,6,3,5,10,5,400095,2,1,3,0,1,19,10,4,0,2,0,1,9,9,210,1,0,0,0,0,0,0
6361446,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 32",,,,6,3,5,10,5,400095,2,2,3,0,1,19,4,10,0,2,0,1,9,9,232,1,0,0,0,0,0,0
4929085,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","H/East - Ward No. 96",,,,2,3,1,8,5,400098,2,2,3,0,2,19,0,0,0,0,0,1,2,9,210,1,7,7,6,20,0,0
1309262,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","L - Ward No. 165",,,,3,3,5,12,5,400070,2,2,3,0,1,19,0,0,0,2,2,1,9,9,0,1,0,0,0,0,0,0
2071695,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC3 ( GHATKOPAR )",2,"Greater Mumbai_Municipal Corporations","M/East - Ward No. 144",,,,11,3,11,12,5,400088,2,1,3,0,2,19,0,0,0,0,2,1,9,9,230,2,0,0,0,0,0,0
3445113,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","H/East - Ward No. 92",,,,1,3,1,5,5,400051,2,1,3,0,2,19,0,0,0,0,0,1,1,9,210,1,6,11,7,4,0,0
7545058,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC1 ( GRANT ROAD )",2,"Greater Mumbai_Municipal Corporations","D - Ward No. 214",,,,1,3,1,5,5,400004,2,2,3,0,1,19,0,0,0,0,0,1,1,9,0,1,0,0,1,0,0,0
1947905,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","K/East - Ward No. 72",,,,11,3,11,12,1,400060,2,2,2,2,2,19,0,0,0,0,2,1,9,0,180,1,0,0,0,0,0,0
6297037,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 47",,,,6,3,1,10,5,400064,2,2,3,0,1,19,4,10,0,3,0,1,2,9,245,1,53,46,0,0,0,0
8137289,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","S - Ward No. 114",,,,6,3,5,10,4,400078,2,2,3,0,2,10,0,0,0,2,0,1,9,2,230,1,0,0,0,0,0,0
5299697,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/South - Ward No. 50",,,,6,3,1,10,5,400064,2,2,3,0,1,19,0,0,0,3,0,1,2,9,199,2,37,39,0,4,0,0
5781185,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","H/East - Ward No. 93",,,,6,3,5,10,4,400051,2,2,3,0,2,10,0,0,0,2,0,1,9,2,230,1,0,0,0,0,0,0
1083387,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","R/Central - Ward No. 16",,,,6,3,1,10,5,400091,2,1,3,0,1,19,0,0,0,3,0,1,2,9,220,1,0,1,103,92,0,0
4841447,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC1 ( GRANT ROAD )",2,"Greater Mumbai_Municipal Corporations","C - Ward No. 222",,,,6,3,1,10,5,400002,2,2,3,0,1,19,0,0,0,1,0,1,1,9,0,1,17,2,8,5,0,0
6417929,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","S - Ward No. 122",,,,6,3,5,10,5,400076,2,2,3,0,1,19,0,0,0,2,0,1,9,9,212,1,0,0,0,0,0,0
