pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
2842145,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7105549,2,9,1,1,2,1,2,0,2,0,0,1,1,0,0,0
3083389,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9266066,2,9,2,1,2,1,2,0,8,0,0,1,1,4,0,0
3266177,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1538875,0,9,2,2,2,1,2,0,1,0,0,1,1,0,0,0
5859926,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4323359,0,9,2,2,2,2,2,0,5,0,0,9,1,0,0,0
9773977,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8759283,0,9,1,2,2,1,2,0,0,0,0,1,1,0,0,0
7827818,2,9,1,2,2,1,2,1,3,0,0,1,3,0,0,0
6381030,2,9,1,2,2,1,2,0,0,0,0,1,1,2,0,0
2465247,2,9,2,2,2,1,2,2,6,0,0,1,1,2,0,0
6502984,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6787215,2,9,1,1,2,1,2,1,5,1,1,1,1,0,0,0
9624387,0,9,2,2,2,1,2,1,2,1,0,1,1,2,0,0
1665919,0,9,1,2,2,1,2,0,2,0,0,1,3,4,0,0
4909789,0,9,2,2,2,1,2,1,2,0,0,1,1,2,0,0
7680061,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2486616,2,9,1,1,2,1,2,0,2,1,0,1,1,4,0,0
5708583,2,9,1,2,2,2,2,4,6,4,2,1,3,2,0,0
7231251,2,9,2,1,2,1,2,0,4,0,0,1,3,5,0,0
6064754,2,9,2,1,2,1,2,2,12,6,2,1,1,0,0,0
6051500,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6996117,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6116631,2,9,1,1,2,1,2,0,2,1,0,1,1,1,0,0
4925171,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2403166,2,9,1,1,2,1,2,0,3,1,0,1,1,0,0,0
6228553,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3128520,2,9,2,1,2,1,2,3,3,3,3,1,1,0,0,0
3908303,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9479548,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3614356,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9273129,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3647575,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1622822,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7449179,0,9,2,2,2,1,1,0,1,0,0,1,1,0,0,0
4200966,2,9,2,2,2,1,2,0,0,0,0,1,2,0,0,0
5326520,2,9,1,1,2,1,2,0,1,1,0,1,1,0,0,0
8285583,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7365410,2,9,2,2,2,1,2,0,0,0,0,1,1,0,0,0
9883401,2,9,2,1,2,1,2,0,2,0,0,1,1,4,0,0
2563054,2,9,2,2,2,1,2,0,1,0,0,1,3,0,0,0
6127664,2,9,2,1,2,1,2,0,2,0,0,1,1,3,0,0
1229423,0,9,2,2,2,2,2,0,2,1,0,1,1,2,0,0
4558851,2,9,2,1,2,1,2,0,5,0,0,1,1,2,0,0
8862940,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6738487,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7242394,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9914907,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5076751,2,9,2,2,2,2,2,0,4,0,0,1,1,2,231777,230000
4975572,2,9,2,2,2,1,2,0,4,0,0,1,2,0,0,0
8051654,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1511950,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9250168,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8665131,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6999483,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2827186,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2794426,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3625086,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6117239,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7188401,0,9,2,2,2,2,2,0,3,0,0,1,3,2,0,0
5796556,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6807115,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8899126,2,9,2,2,2,2,2,1,2,1,0,1,1,0,0,0
4159300,2,9,1,1,2,1,2,0,4,0,0,1,2,5,0,0
5795561,2,9,2,2,2,1,2,1,2,2,0,1,1,5,0,0
3709669,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
