pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn
1003436,44,22,22,0,15,7,3,7,44,0,0,0,18,26,42,1,7,5,24,7,0,0,0,0,0,5,0,34,3,1,0,1,0,0,0,0,1
1005046,15,6,9,0,12,1,0,2,7,8,0,0,9,6,4,0,1,0,9,1,1,3,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0
1025236,10,5,5,0,3,6,1,0,10,0,0,0,3,7,6,0,3,1,5,0,1,0,0,0,0,1,0,7,1,1,0,0,0,0,0,0,2
1029555,13,4,9,0,13,0,0,0,13,0,0,0,6,7,7,0,0,4,8,0,1,0,0,0,0,0,1,9,0,2,1,0,0,0,0,0,0
1030658,4,1,3,0,4,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1041282,23,3,20,0,22,1,0,0,23,0,0,0,0,23,23,0,0,0,0,23,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0
1042996,41,32,9,0,38,3,0,0,41,0,0,1,16,24,41,0,0,11,0,0,30,0,0,0,1,11,0,30,0,0,0,0,0,0,0,0,0
1044270,59,2,57,0,51,1,0,7,59,0,0,3,26,30,40,29,1,10,3,0,16,0,0,0,0,2,0,31,4,17,0,4,1,0,0,0,9
1046524,4,2,2,0,1,1,1,0,4,0,0,0,2,2,3,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1062929,50,20,30,0,36,3,2,7,49,0,1,5,20,25,11,0,4,10,20,8,8,0,0,0,26,11,0,35,1,1,1,1,0,0,0,0,0
1063480,31,0,31,0,31,0,0,0,31,0,0,3,23,5,29,1,0,19,10,0,1,0,0,0,0,2,0,25,0,2,2,0,0,0,0,0,0
1063899,38,13,25,0,37,0,0,0,38,0,0,2,18,18,36,6,9,0,18,5,0,0,0,0,0,10,0,26,2,0,0,0,0,0,0,0,0
1072417,35,1,34,0,35,0,0,0,29,6,0,2,32,1,33,4,3,15,12,0,1,0,0,0,16,4,0,30,0,1,0,0,0,0,0,0,0
1073258,57,15,42,0,35,5,3,12,57,0,0,1,30,26,18,0,11,4,22,0,20,0,0,0,0,10,0,41,0,0,0,0,6,0,0,0,0
1083387,60,11,49,0,60,0,0,0,60,0,0,5,32,23,15,22,3,0,23,0,12,0,0,0,25,13,0,45,0,2,0,0,0,0,0,0,0
1091073,9,6,3,0,5,1,1,1,9,0,0,1,2,6,9,2,2,0,5,0,0,0,0,0,1,2,0,6,0,1,0,0,0,0,0,0,9
1094742,16,6,10,0,15,1,0,0,15,1,0,0,7,9,14,0,2,0,12,2,0,0,0,0,0,1,0,13,0,0,0,0,2,0,0,0,0
1096492,84,11,73,0,82,0,1,1,84,0,0,6,40,38,81,11,4,11,23,13,21,1,0,0,0,13,0,68,0,3,0,0,0,0,0,0,0
1096557,25,3,22,0,25,0,0,0,24,1,0,8,14,3,4,0,0,10,0,0,15,0,0,0,0,8,12,4,0,0,0,0,0,1,0,0,0
1098640,9,5,4,0,9,0,0,0,9,0,0,3,5,1,0,0,0,0,6,0,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0
1105893,23,6,17,0,19,2,0,2,23,0,0,3,13,7,23,0,2,5,12,0,4,0,0,0,23,9,0,13,0,0,0,0,0,1,0,0,2
1108689,6,1,5,0,5,0,0,1,6,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1113512,7,0,7,0,4,1,0,2,7,0,0,1,5,1,3,0,2,0,4,0,1,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0
