pseudocode,item_group,item_id,cpp_b,cpp_g,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g
1011885,1,1,14,10,8,2,7,7,2,8,17,9,6,8,8,5,7,7,0,0,0,0,0,0,0,0,0,0
1011885,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1011885,2,5,13,11,8,2,6,7,2,7,17,9,6,8,9,5,8,7,0,0,0,0,0,0,0,0,0,0
1011885,3,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021930,1,1,8,12,2,3,1,5,1,1,3,1,1,4,0,1,2,1,2,1,0,0,0,0,0,0,0,0
1021930,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1021930,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021930,2,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021930,3,13,5,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022204,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,21,17,40,29,24,27,0,0,0,0
1022204,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,4,0,0,0,0
1022204,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,2,0,0,0,0
1022204,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,6,4,5,5,0,0,0,0
1022204,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0
1022204,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1023331,1,1,12,4,1,4,3,5,6,2,6,9,8,5,4,2,4,2,1,3,0,0,0,0,0,0,0,0
1023331,1,2,12,11,4,3,2,3,3,6,7,5,4,4,2,6,6,3,2,4,0,0,0,0,0,0,0,0
1023331,1,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023331,1,4,3,8,3,1,3,1,3,6,5,6,5,3,2,6,3,2,6,7,0,0,0,0,0,0,0,0
1023331,2,5,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1023331,2,8,10,8,2,2,2,0,2,5,4,4,3,3,2,4,5,3,2,3,0,0,0,0,0,0,0,0
1023331,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023331,3,13,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1026618,1,1,0,0,7,6,6,4,10,11,7,9,5,11,8,6,9,6,8,12,0,0,0,0,0,0,0,0
1026618,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1026618,2,5,0,0,7,6,6,4,10,11,7,9,5,11,9,6,9,5,8,12,0,0,0,0,0,0,0,0
1026618,3,13,0,0,0,2,0,0,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1027228,1,1,0,0,21,12,20,16,18,18,16,19,23,14,20,18,21,19,13,23,0,0,0,0,0,0,0,0
1027228,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1027228,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1027228,2,5,0,0,6,3,6,0,6,1,3,5,10,4,5,7,5,2,2,2,0,0,0,0,0,0,0,0
1027228,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027228,3,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1032071,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,73,58,58,0,0,0,0
1032071,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
1032071,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1032071,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,5,6,0,0,0,0
1032071,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1034437,1,1,14,9,6,5,9,5,7,7,14,9,9,8,9,4,6,7,0,0,0,0,0,0,0,0,0,0
1034437,1,2,2,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034437,1,4,1,2,4,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034437,2,5,4,4,5,4,1,1,2,1,8,5,2,1,5,1,1,3,0,0,0,0,0,0,0,0,0,0
1034437,2,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1034437,2,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034437,3,13,14,14,4,4,1,1,3,0,0,0,6,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1036813,1,1,0,0,11,6,13,12,8,13,9,3,8,3,9,10,9,7,4,5,0,0,0,0,0,0,0,0
1036813,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1036813,2,5,0,0,3,0,2,1,1,0,1,0,1,1,0,3,1,3,0,1,0,0,0,0,0,0,0,0
1036813,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
1040957,1,1,0,0,0,104,0,113,0,99,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040957,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040957,2,5,0,0,0,80,0,89,0,69,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040957,2,6,0,0,0,5,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040957,2,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040957,3,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056352,1,1,0,0,0,0,0,0,2,0,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1056352,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1056352,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1056352,1,4,0,0,1,0,0,1,0,0,1,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0
1056352,3,13,0,0,1,0,0,1,4,1,4,3,2,3,0,2,1,0,1,1,0,0,0,0,0,0,0,0
1067907,1,1,32,34,19,20,22,17,19,20,22,16,22,16,23,15,21,18,21,18,19,16,12,20,0,0,0,0
1067907,1,2,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1067907,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1067907,2,5,13,11,4,2,5,5,0,0,4,2,2,3,7,3,4,6,4,3,6,2,5,8,0,0,0,0
1067907,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1067907,2,8,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1070323,1,1,63,22,27,8,28,9,33,10,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070323,1,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070323,1,4,8,0,0,0,2,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070323,2,5,14,2,8,0,7,1,7,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070323,2,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070323,2,9,5,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070323,2,10,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070323,3,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072624,1,1,0,0,7,5,2,3,13,7,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072624,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072624,1,4,0,0,0,0,0,2,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072624,2,5,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072624,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072624,3,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073984,1,1,0,0,17,4,12,6,21,7,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073984,2,5,0,0,17,4,12,6,21,7,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073984,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078819,1,1,0,0,13,8,15,7,21,15,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078819,1,2,0,0,2,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078819,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078819,1,4,0,0,7,12,7,11,4,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078819,2,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078819,3,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087731,1,1,10,12,9,7,6,10,12,15,6,11,8,10,9,8,12,8,9,6,0,0,0,0,0,0,0,0
1087731,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1087731,2,5,10,12,9,7,6,10,12,15,7,11,8,10,9,8,12,8,11,6,0,0,0,0,0,0,0,0
1087731,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1087731,3,13,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1094519,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,56,30,47,0,0,0,0
1094519,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,3,0,0,0,0
