pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
2095757,1,9,2,1,1,1,1,1,4,4,2,1,9,10,0,0
2183221,2,9,1,1,1,1,1,5,3,1,0,1,9,0,5000,5000
7894944,2,9,1,1,1,2,2,1,5,3,0,1,9,7,0,0
4516882,2,9,1,1,1,1,1,6,6,5,0,1,9,10,50000,50000
8373940,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4648241,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5734774,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3230939,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9022137,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7025092,2,9,1,1,1,1,1,1,2,3,0,1,9,8,48999,48999
1572076,2,9,2,2,2,2,2,0,1,0,2,1,9,3,0,0
4207772,2,9,1,1,1,1,1,1,2,3,1,1,9,10,12500,12500
6621052,1,9,1,1,1,1,1,6,3,2,0,1,9,11,55000,55000
6054972,2,9,1,1,2,2,2,2,0,2,0,1,9,8,0,0
2092191,2,9,2,1,1,1,1,0,0,0,0,1,9,0,25000,25000
4806336,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9889089,2,9,1,1,2,2,2,2,2,1,1,1,9,4,0,0
2697815,1,9,1,1,1,2,2,0,0,0,0,1,9,0,7000,7000
4119811,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5083554,2,9,1,1,1,1,1,1,0,10,3,1,9,11,37500,37500
4490492,2,9,2,1,1,1,1,0,0,0,0,1,9,0,12500,12500
3809025,1,9,1,1,1,1,1,2,6,1,0,1,9,10,37500,37500
8436305,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7429764,2,9,2,1,2,2,2,6,3,3,0,1,9,12,0,0
7026194,1,9,1,1,1,1,1,0,0,0,0,1,9,0,0,0
7644865,2,9,2,1,2,2,2,2,1,2,0,1,9,11,0,0
2890749,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1094519,0,9,1,2,2,2,2,1,7,3,0,9,1,10,0,0
1390129,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8079253,2,9,1,1,2,2,2,2,0,0,0,1,9,0,0,0
8943721,2,9,1,1,2,2,2,2,2,0,0,1,9,8,0,0
7781487,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3014679,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3872023,1,9,1,1,1,1,1,2,2,2,0,1,9,11,24291,24291
2801776,2,9,2,1,2,2,2,0,0,2,0,1,9,5,0,0
8763715,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2948762,0,9,1,2,2,2,2,0,0,0,0,9,1,0,0,0
3955655,2,9,1,1,1,1,1,1,3,0,0,1,9,0,12268,12268
5382913,1,9,1,1,1,1,1,4,4,4,1,1,9,12,0,0
6520831,2,9,1,1,2,2,2,1,1,1,0,1,9,2,0,0
2907368,2,9,2,1,2,2,2,2,1,0,0,1,9,6,0,0
1706688,2,9,1,1,2,2,2,1,1,0,0,1,9,12,0,0
5109253,2,9,2,1,2,2,2,2,0,1,0,1,9,0,0,0
2274067,2,9,2,1,2,2,2,0,0,0,0,1,9,10,0,0
3541799,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7436295,2,9,1,1,1,2,2,0,0,0,0,1,9,0,5000,5000
1112910,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8128192,2,9,2,1,1,1,1,0,0,0,0,1,1,0,0,0
4776274,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9676357,2,9,2,1,2,2,2,0,0,0,0,1,9,11,0,0
8229230,2,9,2,1,2,2,2,3,3,3,0,1,9,8,0,0
8275312,2,9,1,1,1,1,1,1,5,8,3,1,9,12,37500,37500
1590235,0,9,1,2,2,2,2,0,0,0,0,9,1,5,12500,12500
1868153,1,9,1,1,1,1,1,3,3,3,2,1,9,6,25000,25000
3696878,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4121873,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3551338,2,9,2,1,1,1,1,5,5,0,0,1,1,10,37500,37500
3021783,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3143077,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7868752,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2492070,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5590828,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9314723,1,9,1,1,1,1,1,8,7,7,2,1,9,8,50000,50000
9925143,2,9,1,1,1,1,1,2,5,2,0,1,9,8,12500,12500
4076731,1,9,2,1,1,1,1,1,6,26,1,1,9,10,25000,25000
3699371,1,9,1,1,1,1,1,1,2,10,1,1,9,12,0,0
9487237,2,9,2,1,1,1,1,2,1,1,1,1,9,6,75000,75000
1856986,2,9,2,1,2,2,2,3,0,0,0,1,9,5,0,0
8850242,2,9,2,1,1,1,1,1,1,9,0,1,9,10,100000,100000
5460239,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5444488,2,9,1,1,2,2,2,1,2,2,0,1,9,6,0,0
7392891,2,9,1,1,1,1,1,0,7,0,0,1,9,10,28605,28605
7684981,2,9,1,1,1,1,1,0,0,0,0,1,9,3,0,0
6543163,0,9,1,2,2,2,2,1,0,0,0,9,1,10,0,0
7336240,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6279350,2,9,2,1,2,2,2,2,0,0,0,1,9,11,0,0
1456849,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7416827,2,9,2,1,2,2,2,0,0,0,0,1,9,0,0,0
5837857,2,9,1,1,2,2,2,4,1,3,0,1,9,0,0,0
3437119,1,9,2,1,1,1,1,0,0,0,0,1,9,0,0,0
4097786,2,9,1,1,1,1,1,4,2,1,0,1,9,10,30000,30000
6205251,2,9,1,1,2,2,2,2,2,2,0,1,9,8,0,0
5796449,0,9,2,2,2,2,2,0,0,0,0,9,1,8,34271,34271
8040255,2,9,2,1,2,2,2,1,0,2,0,1,9,0,0,0
7624921,2,9,2,1,2,2,2,4,0,0,0,1,9,9,0,0
4007973,2,9,1,1,1,1,1,1,2,10,0,1,9,10,10000,10000
1098567,2,9,1,1,1,1,1,0,0,0,0,1,9,0,0,0
9353837,2,9,2,2,2,2,2,0,0,0,0,1,9,5,0,0
9661440,0,9,2,2,2,2,2,1,1,1,0,9,1,6,7500,7387
9668989,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9324877,2,9,1,1,1,1,1,8,9,6,3,1,9,10,25000,25000
2250923,2,9,1,1,1,2,2,17,2,5,7,1,9,0,0,0
3483157,2,9,2,1,1,1,1,2,3,5,0,1,9,6,10000,10000
1261064,2,9,1,1,1,2,2,1,1,2,0,1,9,10,0,0
5497990,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4106374,0,9,1,2,2,2,2,7,4,0,0,9,1,4,0,0
1879005,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
