pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn
1011885,4,1,3,0,1,0,0,3,4,0,0,1,1,2,3,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1021930,3,2,1,0,0,1,1,1,3,0,0,0,2,1,3,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
1022204,10,5,5,0,4,2,0,1,10,0,0,0,3,7,10,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1023331,3,0,3,0,0,1,0,2,3,0,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1026618,6,2,4,0,5,0,0,1,6,0,0,0,4,2,5,3,3,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,1
1027228,9,4,5,0,7,0,0,1,9,0,0,2,6,1,4,5,4,0,0,0,0,0,0,0,0,3,0,5,0,0,0,1,0,0,0,0,0
1032071,6,1,5,0,3,1,1,1,6,0,0,0,4,2,6,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1034437,10,1,9,0,8,0,0,2,10,0,0,1,6,3,9,4,1,5,0,0,0,0,0,0,10,1,0,3,0,2,1,0,0,2,1,0,0
1036813,4,3,1,0,0,1,1,1,4,0,0,0,3,1,4,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
1040957,8,0,8,0,8,0,0,0,7,1,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0
1056352,2,0,2,0,2,0,0,0,2,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1067907,11,4,7,0,10,0,0,1,5,6,0,5,2,4,4,7,2,0,2,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0
1070323,5,0,5,0,5,0,0,0,5,0,0,0,4,1,5,5,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,2,0,0,2
1072624,2,0,2,0,1,0,0,1,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1073984,4,1,3,0,3,0,0,1,4,0,0,3,1,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
1078819,6,0,6,0,4,1,0,1,6,0,0,0,1,5,6,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5
1087731,6,1,5,0,3,0,0,1,6,0,0,0,6,0,3,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1094519,4,1,3,0,1,1,0,0,4,0,0,0,2,2,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1098081,7,2,5,0,3,3,0,1,7,0,0,2,2,3,4,2,5,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0
1098532,4,0,4,0,3,0,1,0,4,0,0,1,2,1,3,0,1,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
1098567,2,1,1,0,1,0,0,0,2,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1099495,2,0,2,0,1,0,0,0,2,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1101720,15,8,7,0,7,4,0,2,15,0,0,5,3,7,14,7,4,4,0,0,0,0,0,0,11,8,0,5,1,0,0,0,0,1,0,0,0
1102059,4,0,4,0,1,0,0,3,4,0,0,2,2,0,3,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1104890,6,2,4,0,2,3,0,0,6,0,0,1,2,3,6,3,3,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0
1107281,11,4,7,0,2,3,0,5,10,1,0,2,5,4,11,6,2,3,0,0,0,0,0,0,0,8,0,2,1,0,0,0,0,0,0,0,0
1110438,2,0,2,0,2,0,0,0,2,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1112910,5,0,5,0,4,1,0,0,3,2,0,3,1,1,4,5,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0
1113859,18,0,18,0,18,0,0,0,18,0,0,3,9,6,4,18,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,4,0,0,0
1117003,14,7,7,0,3,2,0,7,14,0,0,11,2,1,3,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
1117458,10,2,8,0,10,0,0,0,10,0,0,0,5,5,8,5,3,2,0,0,0,0,0,0,0,0,2,5,1,2,0,0,0,0,0,0,6
1117618,7,3,4,0,7,0,0,0,7,0,0,7,0,0,7,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1118062,8,3,5,0,8,0,0,0,7,1,0,7,1,0,8,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
1119585,26,2,24,0,20,5,0,1,19,5,2,5,15,6,24,15,4,2,0,0,0,0,3,2,7,3,0,10,0,3,0,1,2,7,0,0,17
1123095,2,0,2,0,1,1,0,0,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1130315,4,0,4,0,4,0,0,0,4,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0
1132210,8,0,8,0,8,0,0,0,8,0,0,3,4,1,8,8,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,3,0,0,0
1132288,24,14,10,0,5,6,3,10,24,0,0,5,14,5,3,15,7,2,0,0,0,0,0,0,0,18,0,2,2,2,0,0,0,0,0,0,0
1140694,6,3,3,0,2,1,1,1,6,0,0,0,4,2,6,3,2,1,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,4
1143821,32,17,15,0,1,10,2,15,32,0,0,13,12,7,6,14,14,4,0,0,0,0,0,0,0,29,0,2,0,0,0,0,1,0,0,0,1
1148209,2,0,2,0,1,0,0,1,2,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1148596,6,1,5,0,6,0,0,0,6,0,0,3,3,0,5,4,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,1
1152816,21,0,21,0,19,0,1,1,16,5,0,6,14,1,21,21,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,5,0,0,0
1156337,17,0,17,0,17,0,0,0,17,0,0,8,2,7,16,9,6,2,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0
1157564,4,2,2,0,4,0,0,0,4,0,0,1,2,1,4,3,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0
1159840,21,10,11,0,9,1,4,7,21,0,0,4,15,2,21,11,10,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,1,0,0,0,1
1160115,9,0,9,0,9,0,0,0,6,3,0,2,4,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
1174847,2,1,1,0,2,0,0,0,2,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1182531,3,2,1,0,1,0,0,1,3,0,0,0,1,2,3,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
1184330,2,0,2,0,2,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1187468,4,0,4,0,1,1,0,1,4,0,0,1,3,0,4,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
1188879,62,6,56,0,58,2,0,1,62,0,0,25,23,14,61,31,31,0,0,0,0,0,0,0,0,43,0,10,0,4,0,0,0,5,0,0,0
1189310,12,4,8,0,4,2,0,6,10,2,0,3,4,5,12,12,0,0,0,0,0,0,0,0,0,8,0,2,0,2,0,0,0,0,0,0,1
1193835,24,6,18,0,6,3,2,9,21,3,0,5,13,6,23,12,8,4,0,0,0,0,0,0,11,9,0,9,1,0,1,1,0,3,0,0,15
1195082,14,2,12,0,12,0,0,2,14,0,0,5,7,2,10,14,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,4,0,0,1
1196612,9,0,9,0,9,0,0,0,9,0,0,4,2,3,3,9,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,0,0,2,0,0,0
