feature,mse,mae
classrooms_repair_pct,0.675335388842591,0.5926558021819178
hospitals,0.5156781945232947,0.6014750731844917
girls_share_pct,0.4966824945307678,0.5270369873265105
green_spaces_per_km2,0.44530911754532393,0.5363954401916768
railway_station_count,0.38608881278839924,0.4613629221391438
teacher_student_ratio,0.3831268350716299,0.5033664366294608
dispensaries,0.3413960815694555,0.4897269556781523
avg_resolution_days_2024,0.28411357498297346,0.401789716367851
fire_station_count,0.28228685441297896,0.3993330298999323
area_sq_km,0.2802846018803406,0.41245275577129964
police_station_count,0.26971890133633525,0.4343612057617448
closure_pct_2024,0.2557569500561119,0.41744763035803417
facilities_per_10000_population,0.24827621995417584,0.3991289767148947
healthcare_facilities,0.2383031935777479,0.41361046956965525
metro_station_count,0.21998685922240505,0.36428109703414063
unresolved_complaints_2024,0.2176532846123743,0.3529131709281965
total_public_transport_nodes,0.2156564064685731,0.37146073469340163
bus_stop_count,0.19817899616993195,0.3420598547591027
population_density_per_sq_km,0.19503912561618253,0.3333693987676553
monorail_station_count,0.17514941602222986,0.29312252757447615
uphcs,0.1683299505863968,0.30637254531903435
green_space_count,0.15442521151257133,0.29838900956250103
population_2011,0.15391135059824648,0.30514485654257373
students_total,0.14068610467787426,0.27273955197722366
green_space_share_pct,0.13170037386982944,0.2745266661117267
teachers_total,0.11744952314175228,0.24987436344099948
complaints_received_2024,0.10485198907374867,0.24736860528443602
udise_city_schools,0.05870984086632891,0.1874280532524237
public_toilet_count,0.052913090229404706,0.19177095755857618
