ward_code,reconstruction_mse,reconstruction_mae
GS,0.22870120494286336,0.35946010381961524
FN,0.0545987737261458,0.19546294484956375
MW,0.2352379424562949,0.36307564619535804
HW,0.20562898716827305,0.33324823426721467
GN,0.27686199814151197,0.42658105490619436
ME,0.493200453934983,0.6341633689903549
E,0.054194095552421995,0.2000798390263766
HE,0.2011399397290732,0.3402100338100523
RS,0.3413703713749195,0.4599122774941776
T,0.1060101890880212,0.22569180419104048
N,0.19292385681743793,0.3669434897131887
PS,0.20340204844915366,0.3574195751028317
PN,0.23018301691155105,0.39454855251957255
B,0.3943750740439243,0.4104232418935515
RC,0.3706530804317855,0.4571385593986697
KE,0.21747638473063133,0.34752880081846665
L,0.35324486180121006,0.4499399236037652
S,0.31326428117501276,0.4368422348320753
RN,0.21269012016995573,0.3595731613930744
KW,0.2649694662072487,0.44930570698214967
A,0.13175762115018416,0.2691033386922025
C,0.3969683676763528,0.42645082256256567
D,0.47605724226998447,0.5379420735660891
FS,0.17502061687035,0.28665021378390526
