facility_id,name,service_type,source_ward,gis_ward,latitude,longitude,coordinate_status,name_status
HC_00001,Colaba Dispensary,dispensary,A,A,18.92,72.83,shared_coordinate,unique_name
HC_00002,Saboo Sidique Rd. Dispensary (Paltan Road),dispensary,A,B,18.95,72.84,shared_coordinate,unique_name
HC_00003,Maruti Lane Dispensary,dispensary,A,A,18.94,72.83,shared_coordinate,unique_name
HC_00004,Head Office Dispensary,dispensary,A,A,18.9405,72.8344,shared_coordinate,unique_name
HC_00005,Head Office Ayurvedic,dispensary,A,A,18.9405,72.8344,shared_coordinate,unique_name
HC_00007,SVP Road Dispensary,dispensary,B,C,18.96,72.83,shared_coordinate,unique_name
HC_00008,Walphakdi Dispensary,dispensary,B,B,18.96,72.84,shared_coordinate,unique_name
HC_00009,Jail Road Dispensary,dispensary,B,C,18.95,72.83,shared_coordinate,unique_name
HC_00010,Jail Road Unanai Dispensary,dispensary,B,C,18.96,72.83,shared_coordinate,unique_name
HC_00011,Kolsa Mohalla Unani Dispensary,dispensary,B,C,18.95,72.83,shared_coordinate,unique_name
HC_00012,Ghoghari Mohalla Dispensary,dispensary,C,C,18.96,72.83,shared_coordinate,unique_name
HC_00013,Panjrapole Dispensary,dispensary,C,C,18.96,72.83,shared_coordinate,unique_name
HC_00014,Thakurdwar Dispensary,dispensary,C,C,18.95,72.82,shared_coordinate,unique_name
HC_00015,Chandanwadi Dispensary,dispensary,C,C,18.9463,72.8265,shared_coordinate,unique_name
HC_00016,Duncan Road Dispensary,dispensary,C,C,18.96,72.83,shared_coordinate,unique_name
HC_00018,Bane Compound Dispensary(Tulshiwadi),dispensary,D,D,18.9717,72.8183,shared_coordinate,unique_name
HC_00019,R. S. Nimkar Disp,dispensary,D,E,18.97,72.82,shared_coordinate,unique_name
HC_00020,R. R.R. Marg Dispensary,dispensary,D,C,18.95,72.82,shared_coordinate,unique_name
HC_00022,Banganga Dispensary,dispensary,D,,18.9615,72.8517,shared_coordinate,unique_name
HC_00023,N.M. Joshi Dispensary,dispensary,E,E,18.98,72.83,shared_coordinate,unique_name
HC_00024,R.J. Compound Dispensary,dispensary,E,E,18.98,72.83,shared_coordinate,unique_name
HC_00025,Souter Street Dispensary,dispensary,E,E,18.97,72.83,shared_coordinate,unique_name
HC_00026,Huzaria Street Dispensary,dispensary,E,C,18.96,72.83,shared_coordinate,unique_name
HC_00027,Tadwadi Tank Dispensary,dispensary,E,E,18.9687,72.8399,shared_coordinate,unique_name
HC_00029,D P Wadi Dispensary,dispensary,E,E,18.98,72.84,shared_coordinate,unique_name
HC_00030,E S Patanwala Dispensary,dispensary,E,E,18.98,72.84,shared_coordinate,unique_name
HC_00031,Motishah Lane Dispensary,dispensary,E,E,18.98,72.84,shared_coordinate,unique_name
HC_00032,Gaurabai Dispensary,dispensary,E,E,18.97,72.83,shared_coordinate,unique_name
HC_00033,Siddharth Nagar Dispensary,dispensary,E,C,18.96,72.83,shared_coordinate,unique_name
HC_00034,Nawab Tank Dispensary,dispensary,E,E,18.9654,72.8441,shared_coordinate,unique_name
HC_00035,Hakim Ajmal Khan Unani (Souter Street) Dispensary,dispensary,E,E,18.97,72.83,shared_coordinate,unique_name
HC_00036,F/S Parel Dispensary,dispensary,FS,FS,19.01,72.84,shared_coordinate,unique_name
HC_00037,Gautam Ngr. Dispensary,dispensary,FS,FS,19.01,72.84,shared_coordinate,unique_name
HC_00038,Naigaon Dispensary,dispensary,FS,FS,19.01,72.85,shared_coordinate,unique_name
HC_00039,Kidwai Nagar Dispensary,dispensary,FS,FS,19.01,72.85,shared_coordinate,unique_name
HC_00040,Sewree Cross Road Dispensary,dispensary,FS,FS,19.0,72.85,shared_coordinate,unique_name
HC_00041,A.D. Marg Dispensary (private Property),dispensary,FS,FS,19.0,72.85,shared_coordinate,unique_name
HC_00043,Abhuday Nagar Dispensary,dispensary,FS,FS,18.99,72.85,shared_coordinate,unique_name
HC_00044,Triveni Sadan Dispensary,dispensary,FS,GS,18.99,72.83,shared_coordinate,unique_name
HC_00045,L.B.S. Market Dispensary,dispensary,FN,GN,19.03,72.85,shared_coordinate,unique_name
HC_00046,Wadala Dispensary,dispensary,FN,FN,19.02,72.86,shared_coordinate,unique_name
HC_00047,Korba Mithagar Dispensary,dispensary,FN,FN,19.02,72.86,shared_coordinate,unique_name
HC_00048,Pratiksha Nagar Transit Camp Dispensary,dispensary,FN,FN,19.04,72.87,shared_coordinate,unique_name
HC_00049,New Transit Camp Dispensary,dispensary,FN,FN,19.03,72.86,shared_coordinate,unique_name
HC_00050,Antop Hill Dispensary,dispensary,FN,FN,19.03,72.87,shared_coordinate,unique_name
HC_00051,Rawli Camp Dispensary,dispensary,FN,FN,19.04,72.87,shared_coordinate,unique_name
HC_00052,Worli Koliwada Dispensary,dispensary,GS,,18.9615,72.8517,shared_coordinate,unique_name
HC_00053,Jijamata Nagar Dispensary,dispensary,GS,GS,18.99,72.82,shared_coordinate,unique_name
HC_00054,S.B. Marg Dispensary,dispensary,GS,GS,19.0,72.83,shared_coordinate,unique_name
HC_00055,Ferguson Road Dispensary,dispensary,GS,GS,19.0,72.83,shared_coordinate,unique_name
HC_00056,Maharashtra High School Compound Dispensary,dispensary,GS,GS,19.0,72.83,shared_coordinate,unique_name
HC_00057,Beggars Home Dispensary,dispensary,GS,GS,18.99,72.82,shared_coordinate,unique_name
HC_00058,Prabhadevi Dispensary,dispensary,GS,GS,19.02,72.83,shared_coordinate,unique_name
HC_00060,Sasmira Marg Dispensary,dispensary,GS,GS,19.01,72.82,shared_coordinate,unique_name
HC_00061,BDD Chawl Dispensary,dispensary,GS,GS,19.0,72.82,shared_coordinate,unique_name
HC_00062,Currey Road Dispensary,dispensary,GS,GS,18.99,72.83,shared_coordinate,unique_name
HC_00064,Prabhadevi Avurvedic Dispensary,dispensary,GS,GS,19.02,72.83,shared_coordinate,unique_name
HC_00065,Bai Gulbai Dispensary,dispensary,GN,GN,19.02,72.84,shared_coordinate,unique_name
HC_00066,Shree Cinema Dispensary,dispensary,GN,GN,19.03,72.84,shared_coordinate,unique_name
HC_00067,Welkarwadi Dispensary,dispensary,GN,GN,19.04,72.84,shared_coordinate,unique_name
HC_00068,Shahu Nagar Dispensary,dispensary,GN,GN,19.04,72.85,shared_coordinate,unique_name
HC_00069,Matunga Labour Camp Dispensary,dispensary,GN,GN,19.03,72.85,shared_coordinate,unique_name
HC_00070,Pilla Bunglow Dispensary,dispensary,GN,GN,19.05,72.86,shared_coordinate,unique_name
HC_00071,Dharavi Main Road Dispensary,dispensary,GN,GN,19.04,72.85,shared_coordinate,unique_name
HC_00072,Transit Camp Dispensary,dispensary,GN,FN,19.04,72.86,shared_coordinate,unique_name
HC_00073,Kumbharwada Dispensary,dispensary,GN,GN,19.04,72.85,shared_coordinate,unique_name
HC_00074,Prabhat Colony Dispensary,dispensary,HE,HW,19.09,72.84,shared_coordinate,unique_name
HC_00076,Swami Vivekanand Nagar Dispensary,dispensary,HE,HE,19.08,72.85,shared_coordinate,unique_name
HC_00077,Kalina Dispensary,dispensary,HE,HE,19.08,72.86,shared_coordinate,unique_name
HC_00078,Bharat Nagar Dispensary,dispensary,HE,HE,19.06,72.86,shared_coordinate,unique_name
HC_00079,Kherwadi Dispensary,dispensary,HE,HE,19.06,72.85,shared_coordinate,unique_name
HC_00083,Shastri Nagar Dispensary,dispensary,HW,HW,19.09,72.84,shared_coordinate,duplicate_name
HC_00084,Khar Danda Dispensary,dispensary,HW,HW,19.07,72.83,shared_coordinate,unique_name
HC_00085,Old Khar Dispensary,dispensary,HW,HW,19.07,72.84,shared_coordinate,unique_name
HC_00086,Sambhaji Nagar Dispensary,dispensary,KE,KE,19.11,72.85,shared_coordinate,unique_name
