source_ward,B,C,E,FN,GN,GS,HW,KE,KW,L,ME,MW,PN,PS,RN,RS,S
A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FN,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GN,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
HE,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
KE,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
KW,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0
L,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2
ME,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
MW,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
N,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1
PN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PS,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2
RC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
RS,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
S,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
