station_id,latitude,longitude,geocode_status,geocode_display_name
MM-001,19.1693242,72.8587918,MATCHED,"Aarey, Western Express Highway, Yashodham, Goregaon East, P/S Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400063, India"
MM-002,19.1304269,72.8843184,MATCHED,"Aarey JVLR, Adi Sankaracharya Marg, Powai, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400096, India"
MM-003,18.9978264,72.8177404,MATCHED,"Acharya Atre Chowk, Dr E Moses Marg, Mariammar Nagar, Nehru Nagar, G/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400018, India"
MM-004,19.1101296,72.8741844,MATCHED,"Airport Road, Mathuradas Vasanji Road (Andheri Kurla Road), Navpada, Saki Naka, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400099, India"
MM-005,19.1981585,72.8604905,MATCHED,"Akurli, Western Express Highway, Kandivali East, R/S Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400101, India"
MM-006,19.0813635,72.8481893,MATCHED,"Anand Nagar, Golibar, H/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-007,19.1172495,72.833968,MATCHED,"Andheri West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400058, India"
MM-008,19.1196976,72.8464205,MATCHED,"Andheri, Masjid Galli, Gaondevi Dongri, Andheri West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400069, India"
MM-009,19.097,72.8945,MATCHED,"Asalpha, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400072, India"
MM-010,19.0920602,72.8994007,MATCHED,"Azad Nagar, Ghatkopar West, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400086, India"
MM-011,19.0699627,72.8493601,MATCHED,"Bandra Colony, Sant Dnyaneshwar Marg, RPF Colony, Golibar, H/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400055, India"
