station_id,station_name,marathi_name,metro_line,layout,platform_layout,status,notes,transport_mode,opening_date,interchange,latitude,longitude,geocode_status,geocode_display_name,gis_ward,gis_match,gis_match_status
MM-104,Gaimukh,गायमुख,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.0150243,73.0155516,MATCHED,"Gaimukh Chowkh, Sector-44, Seawoods West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India",,False,OUTSIDE_BMC_WARDS
MM-124,Juinagar,जुईनगर,Line 8,Elevated,Side,Under construction,Transfer station to Juinagar railway station,Metro,,Transfer station to Juinagar railway station,19.0559456,73.0182495,MATCHED,"Juinagar, Juinagar Station Road, Sanpada, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India",,False,OUTSIDE_BMC_WARDS
MM-146,Manpada (Thane),मानपाडा (ठाणे),Line 4,Elevated,Side,Under construction,–,Metro,,–,19.2356062,72.9583946,MATCHED,"Manpada Waterfall मानपाडा वॉटरफॉल, Thane-Borivali Twin Tunnel, Yeoor, Mumbai Zone 4, Thane, Thane Subdistrict, Thane, Maharashtra, 200014, India",,False,OUTSIDE_BMC_WARDS
MM-157,Nerul,नेरूळ,Line 8,Elevated,Side,Under construction,Transfer station to Nerul railway station,Metro,,Transfer station to Nerul railway station,19.0335938,73.018164,MATCHED,"Nerul, Mata Amritanandamayi Marg, Nerul Village, Nerul West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India",,False,OUTSIDE_BMC_WARDS
MM-170,RTO Thane,आर.टी.ओ. ठाणे,Line 4,Elevated,Side,Under construction,–,Metro,,–,19.0780655,73.0059891,MATCHED,"RTO Ground, Turbhe, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,False,OUTSIDE_BMC_WARDS
MM-177,Sanpada,सानपाडा,Line 8,Elevated,Side,Under construction,Transfer station to Sanpada railway station,Metro,,Transfer station to Sanpada railway station,19.0659774,73.0095329,MATCHED,"Sanpada, Sanpada Station Road, Sanpada, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India",,False,OUTSIDE_BMC_WARDS
MM-179,Seawoods,सीवूड्स,Line 8,Elevated,Side,Under construction,Transfer station to Seawoods-Darave-Karave railway station,Metro,,Transfer station to Seawoods-Darave-Karave railway station,19.0216748,73.0186236,MATCHED,"Seawoods Grand Central Mall, Seawoods, Seawoods Station Road, Sector-42, Seawoods East, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India",,False,OUTSIDE_BMC_WARDS
MM-196,Targhar,तरघर,Line 8,Elevated,Side,Under construction,Transfer station to Targhar railway station,Metro,,Transfer station to Targhar railway station,18.9901343,73.0344023,MATCHED,"Targhar, NMIA West Entry Road, Moha Village, Targhar, Navi Mumbai, Panvel Subdistrict, Raigad, Maharashtra, 400706, India",,False,OUTSIDE_BMC_WARDS
MM-200,Turbhe,तुर्भे,Line 12,Elevated,Side,Under construction,–,Metro,,–,19.0761648,73.0176615,MATCHED,"Turbhe, Turbhe Station Road, Turbhe, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,False,OUTSIDE_BMC_WARDS
MM-203,Vashi,वाशी,Line 8,Elevated,Side,Under construction,Transfer station to Vashi railway station,Metro,,Transfer station to Vashi railway station,19.0632481,72.9987966,MATCHED,"Vashi, Vashi Station Road, Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,False,OUTSIDE_BMC_WARDS
