openaq_location_id,station_name,locality,country,latitude,longitude,timezone,is_mobile,is_monitor,owner,provider,source,gis_ward,urban_ward_code
3409478,"Bhayandar West, Mira-Bhayandar - MPCB",,India,19.296481,72.840923,Asia/Kolkata,False,True,Maharashtra Pollution Control Board,CPCB,OpenAQ,,
3409476,"CBD Belapur, Belapur - MPCB",,India,19.0243902,73.0406721,Asia/Kolkata,False,True,Maharashtra Pollution Control Board,CPCB,OpenAQ,,
3409485,"Gokul Nagar, Bhiwandi - MPCB",,India,19.309073,73.057223,Asia/Kolkata,False,True,Maharashtra Pollution Control Board,CPCB,OpenAQ,,
6266795,"Kalu Nagar, Dombivli - MPCB",,India,19.2268427,73.0788456,Asia/Kolkata,False,False,OpenAQ admin,,OpenAQ,,
3409469,"Kasarvadavali, Thane - MPCB",,India,19.26777,72.97182,Asia/Kolkata,False,True,Maharashtra Pollution Control Board,CPCB,OpenAQ,,
3409477,"Kopripada-Vashi, Navi Mumbai - MPCB",,India,19.090337,73.014232,Asia/Kolkata,False,True,Maharashtra Pollution Control Board,CPCB,OpenAQ,,
6943,"Mahape, Navi Mumbai - MPCB",,India,19.1135051,73.008978,Asia/Kolkata,False,True,Maharashtra Pollution Control Board,CPCB,OpenAQ,,
2598,Navi Mumbai Municipal Corporation Airoli,,India,19.1494,72.9986,Asia/Kolkata,False,True,Unknown Governmental Organization,CPCB,OpenAQ,,
5593,"Pimpleshwar Mandir, Thane - MPCB",,India,19.192056,72.9585188,Asia/Kolkata,False,True,Unknown Governmental Organization,caaqm,OpenAQ,,
3409322,"Pimpleshwar Mandir, Thane - MPCB",,India,19.192056,72.9585188,Asia/Kolkata,False,True,Maharashtra Pollution Control Board,CPCB,OpenAQ,,
3409487,"Sanpada, Navi Mumbai - MPCB",,India,19.0575752,73.0151367,Asia/Kolkata,False,True,Maharashtra Pollution Control Board,CPCB,OpenAQ,,
11612,"Sector-19A Nerul, Navi Mumbai - IITM",,India,19.044,73.03250000000001,Asia/Kolkata,False,True,Unknown Governmental Organization,caaqm,OpenAQ,,
3409330,"Sector-19A Nerul, Navi Mumbai - IITM",,India,19.044,73.0325,Asia/Kolkata,False,True,Indian Institute of Tropical Meteorology,CPCB,OpenAQ,,
3409472,"Upvan Fort, Thane - MPCB",,India,19.222279,72.957979,Asia/Kolkata,False,True,Maharashtra Pollution Control Board,CPCB,OpenAQ,,
