ward_code,region,complaints_received_2023,complaints_received_2024,complaints_closed_2023,complaints_closed_2024,closure_pct_2023,closure_pct_2024,avg_resolution_days_2023,avg_resolution_days_2024,unresolved_complaints_2024,closure_change_pp_2023_to_2024,resolution_days_change,data_year,source
A,Island City,2468,3207,1431,1306,58,41,40,64,1901,-17,24,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
B,Island City,3324,3019,2248,966,68,32,46,79,2053,-36,33,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
C,Island City,3306,3864,2983,3257,90,84,39,32,607,-6,-7,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
D,Island City,4022,3748,3989,3545,99,95,10,20,203,-4,10,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
E,Island City,4178,4939,3716,3570,89,72,50,81,1369,-17,31,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
FN,Island City,4672,4229,4406,3693,94,87,44,43,536,-7,-1,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
FS,Island City,2742,2781,2547,2590,93,93,33,37,191,0,4,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
GN,Island City,5545,5151,4318,3921,78,76,32,52,1230,-2,20,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
GS,Island City,3134,3299,2919,3064,93,93,27,37,235,0,10,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
HE,Western Suburbs,4414,4317,3835,3782,87,88,25,40,535,1,15,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
HW,Western Suburbs,5199,5048,3942,4096,76,81,35,48,952,5,13,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
KE,Western Suburbs,8577,8145,7920,6826,92,84,32,59,1319,-8,27,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
KW,Western Suburbs,9251,7945,7743,6286,84,79,44,64,1659,-5,20,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
L,Eastern Suburbs,7965,7047,6274,4912,79,70,23,20,2135,-9,-3,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
ME,Eastern Suburbs,4711,4060,4199,3530,89,87,27,28,530,-2,1,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
MW,Eastern Suburbs,4026,4032,4004,3587,99,89,19,28,445,-10,9,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
N,Eastern Suburbs,6604,5428,6427,4967,97,92,20,33,461,-5,13,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
PN,Western Suburbs,7830,7327,3831,3316,49,45,53,68,4011,-4,15,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
PS,Western Suburbs,4521,5156,3784,3114,84,60,59,35,2042,-24,-24,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
RC,Western Suburbs,5942,5372,5843,5033,98,94,15,23,339,-4,8,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
RN,Western Suburbs,2954,3166,2952,3121,100,99,8,15,45,-1,7,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
RS,Western Suburbs,5445,4840,5316,4565,98,94,17,14,275,-4,-3,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
S,Eastern Suburbs,6649,6221,5676,2671,85,43,50,50,3550,-42,0,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
T,Eastern Suburbs,2817,3055,2609,2590,93,85,31,39,465,-8,8,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45"
