ward_code,fire_station_count,population_2011,area_sq_km,fire_stations_per_100k_population,fire_stations_per_10_sq_km,population_per_fire_station
A,4,185014,11.2095,2.1619985514609708,3.56840180204291,46253.5
B,2,127290,2.6582,1.5712153350616702,7.523888345496953,63645.0
C,0,166161,1.913,0.0,0.0,
D,1,346866,8.302,0.2882957683947115,1.2045290291496027,346866.0
E,1,393286,7.1725,0.254267886474474,1.3942140118508188,393286.0
FN,3,529034,12.8536,0.5670713035457078,2.333976473517147,176344.66666666666
FS,2,360972,9.8724,0.5540595946500005,2.025849844009562,180486.0
GN,2,599039,8.3154,0.3338680787060609,2.40517593861991,299519.5
GS,1,377749,9.7411,0.26472604824896956,1.026578107195286,377749.0
HE,1,557239,12.8415,0.1794562117870429,0.7787252268037224,557239.0
HW,1,307581,8.6504,0.3251176112958863,1.1560159067788773,307581.0
KE,2,823885,23.9827,0.24275232587072224,0.8339344610907029,411942.5
KW,1,748688,24.354,0.13356698651507704,0.4106101667077277,748688.0
L,1,902225,15.6254,0.11083709717642495,0.6399836164194196,902225.0
ME,2,807720,38.2257,0.24761055811419797,0.5232082080903685,403860.0
MW,1,411893,17.6202,0.2427814990786442,0.5675304480085357,411893.0
N,1,622853,30.6023,0.16055152660419073,0.3267728242648429,622853.0
PN,2,941366,46.7005,0.2124572164280418,0.4282609393903706,470683.0
PS,2,463507,25.3956,0.4314929440116331,0.7875379987084375,231753.5
RC,1,562162,47.95,0.1778846666975,0.20855057351407716,562162.0
RN,1,431368,14.1767,0.23182062647206098,0.7053827759633766,431368.0
RS,2,691229,18.5563,0.28933971230952404,1.0778010702564629,345614.5
S,0,743783,32.5545,0.0,0.0,
T,2,341463,45.1307,0.5857149969396391,0.4431573186323279,170731.5
