ward_code,green_space_count,green_space_share_pct
A,20,2.0325203252032518
B,1,0.10162601626016261
C,4,0.40650406504065045
D,30,3.048780487804878
E,36,3.6585365853658534
FN,18,1.8292682926829267
FS,3,0.3048780487804878
GN,10,1.0162601626016259
GS,10,1.0162601626016259
HE,21,2.1341463414634148
HW,47,4.776422764227642
KE,82,8.333333333333332
KW,59,5.995934959349594
L,63,6.402439024390244
ME,73,7.41869918699187
MW,49,4.979674796747967
N,38,3.861788617886179
PN,34,3.4552845528455287
PS,46,4.67479674796748
RC,79,8.028455284552846
RN,52,5.284552845528456
RS,71,7.215447154471545
S,78,7.926829268292683
T,60,6.097560975609756
