green_space_id,green_space_name,address,bmc_department,ward_code_source,twitter_handle,website,latitude,longitude,source_file,source,coordinate_valid
1,Colaba Woods Garden,"Colaba Wood Garden, Capt.Prakash Pethe Marg, behind Cuffe Parade Police Station. Cuffe Parade",Garden & Trees,A,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,18.9123,72.8183,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
2,Priyadarshini Park,"Napeansea Road, Malabar Hill D ward",Garden & Trees,D,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,18.9572,72.799,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
3,Amerson Garden,"Bhulabhai Desai Road, Near Breach candy hospital",Garden & Trees,D,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,18.9695,72.8022,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
4,Slop Behind Babulnath Temple,"Behind Babulnath Temple , New Khareghat Colony , Babulanath Road",Garden & Trees,D,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,18.9579,72.808,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
5,"Welington Club , Keshavrao khade Road, Mahalaxmi","Welington Sprot club , Mahalaxmi , Mumbai",Garden & Trees,D,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,18.9772,72.8166,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
6,"RG at 358 Tenements, Narayan Pujari Nagar, KAG Marg ,worli",,Garden & Trees,GS,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,18.5935,72.485,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
7,Shahid Ashok Kamate Manoranjan Maidan,"Shahid Ashok Kamate Manoranjan Maidan , Shivajinagar",Garden & Trees,ME,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.0667,72.9227,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
8,Eastern freeway Tunnel top Panjarapol,"Eastern freeway tunnel Top, Panjarapol",Garden & Trees,ME,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,18.6454,73.8523,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
9,Bhakti park Garden,"Bhakti park Garden CTS no. 1A/4, 1A/10",Garden & Trees,MW,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.0285,72.8807,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
10,Bhakti Park,"Bhakti Park, C.T.S No. 1A/14, near MHADA building, free way, Chembur,",Garden & Trees,MW,@mybmcGardens,https://portal.mcgm.gov.in/irj/portal/anonymous/qlgardenauth,19.0285,72.8807,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
