facility_id,name,service_type,address,ward_code,longitude,latitude,source,source_file,source_id,verification_status,geometry
HC_00001,Colaba Dispensary,dispensary,1st Floor MCGM Bldg Lala Nigam Rd Mum-5,A,72.83,18.92,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,1,source_verified,POINT Z (72.83 18.92 0)
HC_00002,Saboo Sidique Rd. Dispensary (Paltan Road),dispensary,Rota Printing Press 2nd floor Camac Bridge Masjid -1,A,72.84,18.95,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,2,source_verified,POINT Z (72.84 18.95 0)
HC_00003,Maruti Lane Dispensary,dispensary,"Near Handloom House Maruti Lane , Fort",A,72.83,18.94,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,3,source_verified,POINT Z (72.83 18.94 0)
HC_00004,Head Office Dispensary,dispensary,"Municipal Head Office 2nd Floor ,CST",A,72.8344,18.9405,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,4,source_verified,POINT Z (72.8344 18.9405 0)
HC_00005,Head Office Ayurvedic,dispensary,Municipal Head Office 2nd Floor Annex Bldg Mumbai -1,A,72.8344,18.9405,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,5,source_verified,POINT Z (72.8344 18.9405 0)
HC_00006,S B S Road. Dispensary,dispensary,"303 Chowksi Mension 1st floor SBS Rd Fort, Mumbai -1",A,72.84,18.93,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,6,source_verified,POINT Z (72.84 18.93 0)
HC_00007,SVP Road Dispensary,dispensary,"259'SVP rd Disp, Municipal Urdu school,SVP rd Mumbai-09",B,72.83,18.96,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,7,source_verified,POINT Z (72.83 18.96 0)
HC_00008,Walphakdi Dispensary,dispensary,"BMC block A ground floor Mavji Rathod rd,Noorbaugh Mumbai-9",B,72.84,18.96,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,8,source_verified,POINT Z (72.84 18.96 0)
HC_00009,Jail Road Dispensary,dispensary,"44,jail rd disp,20 kolsa mohalla ground floor pydhunie Mumbai-3",B,72.83,18.95,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,9,source_verified,POINT Z (72.83 18.95 0)
HC_00010,Jail Road Unanai Dispensary,dispensary,"C/O 259'SVP rd Disp, Municipal Urdu school,SVP rd Mumbai-09",B,72.83,18.96,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,10,source_verified,POINT Z (72.83 18.96 0)
HC_00011,Kolsa Mohalla Unani Dispensary,dispensary,"C/O 44, jail rd disp,20 kolsa mohalla,1st floor pydhunie Mumbai-3",B,72.83,18.95,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,11,source_verified,POINT Z (72.83 18.95 0)
HC_00012,Ghoghari Mohalla Dispensary,dispensary,47 Ghoghari Mohalla Mumbai 400003,C,72.83,18.96,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,12,source_verified,POINT Z (72.83 18.96 0)
HC_00013,Panjrapole Dispensary,dispensary,Panjarapol BMC Dispensary 1st Panjarapol Lane near C.P. Fank Mumbai 400004.,C,72.83,18.96,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,13,source_verified,POINT Z (72.83 18.96 0)
HC_00014,Thakurdwar Dispensary,dispensary,Babasaheb Jaykar Marg Ground Floor Thakurdwar Dispensary,C,72.82,18.95,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,14,source_verified,POINT Z (72.82 18.95 0)
HC_00015,Chandanwadi Dispensary,dispensary,Chandanwadi Mun.Corporation Desp C Ward S.P Marg Chandanwadi Chirabazar Mumbai,C,72.8265,18.9463,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,15,source_verified,POINT Z (72.8265 18.9463 0)
HC_00016,Duncan Road Dispensary,dispensary,2nd Duncan Road 2nd Cross Lane,C,72.83,18.96,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,16,source_verified,POINT Z (72.83 18.96 0)
HC_00017,Nana Chowk Dispensary,dispensary,"JSS Municipal School,Ground Floor,Near Frare bridge,Grant road(W),Mumbai 400007",D,72.81,18.96,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,17,source_verified,POINT Z (72.81 18.96 0)
HC_00018,Bane Compound Dispensary(Tulshiwadi),dispensary,"Bane Compound,Sane Guruji marg, Tardeo mumbai-34",D,72.8183,18.9717,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,18,source_verified,POINT Z (72.8183 18.9717 0)
HC_00019,R. S. Nimkar Disp,dispensary,"R S Nimkar Marg,Near Pratiksha Tower,Grant Road (E),Mumbai-400008",D,72.82,18.97,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,19,source_verified,POINT Z (72.82 18.97 0)
HC_00020,R. R.R. Marg Dispensary,dispensary,"303 RRR Marg mun.dispensary,rrr marg, charni road(E), Mumbai-04",D,72.82,18.95,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,20,source_verified,POINT Z (72.82 18.95 0)
HC_00021,Tardeo Flat Dispensary,dispensary,"B-1 Tower,Dr.Babasaheb Ambedkar nagar,Mahalaxmi,Mumbai-400034",D,72.82,18.98,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,21,source_verified,POINT Z (72.82 18.98 0)
HC_00022,Banganga Dispensary,dispensary,"Banganga kawale math Municipal school,Walkeshwar,Mumbai 400006",D,72.8517,18.9615,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,22,source_verified,POINT Z (72.8517 18.9615 0)
HC_00023,N.M. Joshi Dispensary,dispensary,"N.M. Joshi Marg,Opp Byculla railway station Mumbai- 11",E,72.83,18.98,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,23,source_verified,POINT Z (72.83 18.98 0)
HC_00024,R.J. Compound Dispensary,dispensary,"Keshavrao Khade Marg ,Satrasta,Byculla Mumbai-11",E,72.83,18.98,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,24,source_verified,POINT Z (72.83 18.98 0)
HC_00025,Souter Street Dispensary,dispensary,"Meghraj Sethi Marg,opp Zula maidan Byculla Mumbai- 08",E,72.83,18.97,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,25,source_verified,POINT Z (72.83 18.97 0)
HC_00026,Huzaria Street Dispensary,dispensary,"Huzeria Street ,Nagpada ,Mumbai- 10",E,72.83,18.96,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,26,source_verified,POINT Z (72.83 18.96 0)
HC_00027,Tadwadi Tank Dispensary,dispensary,"Residency Tower,1st Floor,old Nesbit Road,dockyard Road Mumbai-10",E,72.8399,18.9687,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,27,source_verified,POINT Z (72.8399 18.9687 0)
HC_00028,Tank Square Garden Dispensary,dispensary,"Behind Mazgoan post Office,Mascerhance Road, Mazgoan,Mumbai- 10",E,72.84,18.97,Mumbai OpenCity / BMC,Mumbai City Dispensaries Map.kml,28,source_verified,POINT Z (72.84 18.97 0)
