openaq_location_id,station_name,urban_ward_code,date,pm25,temperature,relativehumidity,wind_speed,no2,o3,so2,co,wind_direction_sin,wind_direction_cos,day_of_year_sin,day_of_year_cos
6945,"Kurla, Mumbai - MPCB",L,2025-10-11 00:00:00+05:30,65.7,44.5,81.5,41.6,4.57,28.3,29.2,0.247,-0.0348994967025009,-0.9993908270190958,-0.9873494423939864,0.15855938510313475
6945,"Kurla, Mumbai - MPCB",L,2025-10-13 00:00:00+05:30,58.4,45.2,60.6,45.4,4.39,28.4,29.2,0.228,0.12186934340514755,-0.992546151641322,-0.9813064702716093,0.19245158197082995
6945,"Kurla, Mumbai - MPCB",L,2025-10-15 00:00:00+05:30,55.0,44.5,82.4,43.3,6.01,28.3,29.2,0.396,-0.06975647374412527,-0.9975640502598242,-0.9741004551724206,0.22611568550828803
6945,"Kurla, Mumbai - MPCB",L,2025-10-16 00:00:00+05:30,61.4,45.5,89.5,37.6,7.84,28.3,29.2,0.57,0.5591929034707469,-0.8290375725550416,-0.970063921851507,0.2428497220959358
6945,"Kurla, Mumbai - MPCB",L,2025-10-17 00:00:00+05:30,44.5,46.1,86.9,39.6,6.54,28.4,29.2,0.436,0.3420201433256689,-0.9396926207859083,-0.965739937654855,0.25951179706979943
6945,"Kurla, Mumbai - MPCB",L,2025-10-18 00:00:00+05:30,49.7,45.9,81.7,44.6,4.62,28.2,29.2,0.255,0.5299192642332049,-0.848048096156426,-0.9611297838723007,0.27609697309746883
6945,"Kurla, Mumbai - MPCB",L,2025-10-19 00:00:00+05:30,52.8,45.9,85.1,42.1,4.11,28.2,29.2,0.201,0.40673664307580043,-0.9135454576426008,-0.9562348265919058,0.2926003356333479
6945,"Kurla, Mumbai - MPCB",L,2025-10-20 00:00:00+05:30,65.5,45.8,88.4,43.2,4.54,28.4,29.2,0.245,0.17364817766693028,-0.984807753012208,-0.9510565162951536,0.30901699437494723
6945,"Kurla, Mumbai - MPCB",L,2025-10-21 00:00:00+05:30,54.0,46.1,84.1,36.3,3.74,28.4,29.2,0.165,-0.08715574274765794,-0.9961946980917455,-0.9455963874271428,0.3253420847119795
6945,"Kurla, Mumbai - MPCB",L,2025-10-22 00:00:00+05:30,43.1,46.1,90.2,32.7,3.56,28.4,29.2,0.147,-0.17364817766693047,-0.984807753012208,-0.9398560579418953,0.341570769167856
6945,"Kurla, Mumbai - MPCB",L,2025-10-23 00:00:00+05:30,38.7,46.1,88.3,44.3,3.4,28.3,29.2,0.13,-0.15643446504023073,-0.9876883405951378,-0.9338372288229252,0.35769823883312546
6945,"Kurla, Mumbai - MPCB",L,2025-10-24 00:00:00+05:30,40.7,46.0,90.5,42.4,3.17,28.4,29.2,0.106,0.05233595624294381,-0.9986295347545738,-0.9275416835791965,0.3737197147904692
6945,"Kurla, Mumbai - MPCB",L,2025-10-25 00:00:00+05:30,29.4,46.0,95.2,37.7,3.13,28.4,29.2,0.103,0.10452846326765373,-0.9945218953682733,-0.9209712877166347,0.38963044953078774
6945,"Kurla, Mumbai - MPCB",L,2025-10-26 00:00:00+05:30,29.2,45.7,99.4,35.8,3.65,28.5,29.2,0.155,0.01745240643728344,-0.9998476951563913,-0.9141279881853337,0.4054257283599973
6945,"Kurla, Mumbai - MPCB",L,2025-10-27 00:00:00+05:30,27.6,45.7,96.2,31.3,3.21,28.5,29.2,0.112,-0.45399049973954664,-0.8910065241883679,-0.9070138128026362,0.42110087079608916
6945,"Kurla, Mumbai - MPCB",L,2025-10-28 00:00:00+05:30,31.1,45.8,95.2,23.0,3.06,28.5,29.2,0.0964,-0.2079116908177595,-0.9781476007338056,-0.8996308696522434,0.4366512319560638
6945,"Kurla, Mumbai - MPCB",L,2025-10-29 00:00:00+05:30,33.0,45.6,93.6,37.3,3.1,28.5,29.2,0.101,0.3583679495453002,-0.9335804264972017,-0.8919813464595487,0.45207220393230374
