ward_code,metro_station_count,monorail_station_count,operational_station_count,under_construction_station_count,total_metro_monorail_stations,metro_share_pct,monorail_share_pct
A,9,0,5,4,9,100.0,0.0
B,0,0,0,0,0,,
C,2,0,1,1,2,100.0,0.0
D,2,0,2,0,2,100.0,0.0
E,4,1,1,3,5,80.0,20.0
FN,2,7,0,2,9,22.22222222222222,77.77777777777779
FS,4,2,0,4,6,66.66666666666666,33.33333333333333
GN,2,0,2,0,2,100.0,0.0
GS,5,1,4,1,6,83.33333333333334,16.666666666666664
HE,6,0,5,1,6,100.0,0.0
HW,7,1,1,6,8,87.5,12.5
KE,16,0,12,4,16,100.0,0.0
KW,15,0,6,9,15,100.0,0.0
L,5,0,1,4,5,100.0,0.0
ME,2,1,1,1,3,66.66666666666666,33.33333333333333
MW,6,4,2,4,10,60.0,40.0
N,9,0,3,6,9,100.0,0.0
PN,3,0,3,0,3,100.0,0.0
PS,7,0,7,0,7,100.0,0.0
RC,6,0,6,0,6,100.0,0.0
RN,5,0,5,0,5,100.0,0.0
RS,4,0,4,0,4,100.0,0.0
S,13,0,0,13,13,100.0,0.0
T,4,0,0,4,4,100.0,0.0
