openaq_location_id,station_name,urban_ward_code,date,pm25,temperature,relativehumidity,wind_speed,wind_direction,no2,o3,so2,co,complete_9_variables,available_variable_count
6945,"Kurla, Mumbai - MPCB",L,2025-10-11 00:00:00+05:30,65.7,44.5,81.5,41.6,181.99999999999997,4.57,28.3,29.2,0.247,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-13 00:00:00+05:30,58.4,45.2,60.6,45.4,173.0,4.39,28.4,29.2,0.228,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-15 00:00:00+05:30,55.0,44.5,82.4,43.3,183.99999999999997,6.01,28.3,29.2,0.396,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-16 00:00:00+05:30,61.4,45.5,89.5,37.6,146.0,7.84,28.3,29.2,0.57,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-17 00:00:00+05:30,44.5,46.1,86.9,39.6,160.0,6.54,28.4,29.2,0.436,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-18 00:00:00+05:30,49.7,45.9,81.7,44.6,148.0,4.62,28.2,29.2,0.255,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-19 00:00:00+05:30,52.8,45.9,85.1,42.1,156.0,4.11,28.2,29.2,0.201,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-20 00:00:00+05:30,65.5,45.8,88.4,43.2,170.0,4.54,28.4,29.2,0.245,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-21 00:00:00+05:30,54.0,46.1,84.1,36.3,184.99999999999997,3.74,28.4,29.2,0.165,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-22 00:00:00+05:30,43.1,46.1,90.2,32.7,190.0,3.56,28.4,29.2,0.147,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-23 00:00:00+05:30,38.7,46.1,88.3,44.3,188.99999999999997,3.4,28.3,29.2,0.13,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-24 00:00:00+05:30,40.7,46.0,90.5,42.4,177.0,3.17,28.4,29.2,0.106,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-25 00:00:00+05:30,29.4,46.0,95.2,37.7,174.0,3.13,28.4,29.2,0.103,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-26 00:00:00+05:30,29.2,45.7,99.4,35.8,179.0,3.65,28.5,29.2,0.155,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-27 00:00:00+05:30,27.6,45.7,96.2,31.3,206.99999999999997,3.21,28.5,29.2,0.112,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-28 00:00:00+05:30,31.1,45.8,95.2,23.0,192.0,3.06,28.5,29.2,0.0964,True,9
6945,"Kurla, Mumbai - MPCB",L,2025-10-29 00:00:00+05:30,33.0,45.6,93.6,37.3,159.0,3.1,28.5,29.2,0.101,True,9
