openaq_location_id,station_name,urban_ward_code,provider,sensor_id,parameter_name,parameter_display,parameter_units,sensor_name,sensor_units,source
11602,"Bandra Kurla Complex, Mumbai - IITM",HE,caaqm,39408,co,CO mass,µg/m³,co µg/m³,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,12708241,co,CO,ppb,co ppb,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,12708242,no,NO,ppb,no ppb,,OpenAQ
11602,"Bandra Kurla Complex, Mumbai - IITM",HE,caaqm,39406,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,12708243,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,14342047,nox,NOX,ppb,nox ppb,,OpenAQ
11602,"Bandra Kurla Complex, Mumbai - IITM",HE,caaqm,39409,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,12708244,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
11602,"Bandra Kurla Complex, Mumbai - IITM",HE,caaqm,39405,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,12708245,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
11602,"Bandra Kurla Complex, Mumbai - IITM",HE,caaqm,39404,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,12708246,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,12708247,relativehumidity,RH,%,relativehumidity %,,OpenAQ
11602,"Bandra Kurla Complex, Mumbai - IITM",HE,caaqm,39407,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,12708248,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,12708249,temperature,Temperature (C),c,temperature c,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,14342048,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409328,"Bandra Kurla Complex, Mumbai - IITM",HE,CPCB,14342049,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,12238370,co,CO,ppb,co ppb,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,12238371,no,NO,ppb,no ppb,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,12238372,no2,NO₂,ppb,no2 ppb,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,14341573,nox,NOX,ppb,nox ppb,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,12238373,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,12238374,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,12238375,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,12238376,relativehumidity,RH,%,relativehumidity %,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,12238377,so2,SO₂,ppb,so2 ppb,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,12238378,temperature,Temperature (C),c,temperature c,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,14341574,wind_direction,Wind direction,deg,wind_direction deg,,OpenAQ
3409482,"Bandra Kurla Complex, Mumbai - MPCB",HE,CPCB,14341575,wind_speed,Wind speed,m/s,wind_speed m/s,,OpenAQ
7850,"Bandra, Mumbai - MPCB",HE,caaqm,36455,co,CO mass,µg/m³,co µg/m³,,OpenAQ
7850,"Bandra, Mumbai - MPCB",HE,caaqm,36453,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
7850,"Bandra, Mumbai - MPCB",HE,caaqm,36451,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
7850,"Bandra, Mumbai - MPCB",HE,caaqm,22798,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
7850,"Bandra, Mumbai - MPCB",HE,caaqm,36447,pm25,PM2.5,µg/m³,pm25 µg/m³,,OpenAQ
7850,"Bandra, Mumbai - MPCB",HE,caaqm,36446,so2,SO₂ mass,µg/m³,so2 µg/m³,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,12236413,co,CO,ppb,co ppb,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,39431,co,CO mass,µg/m³,co µg/m³,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,12236414,no,NO,ppb,no ppb,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,12236415,no2,NO₂,ppb,no2 ppb,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,39430,no2,NO₂ mass,µg/m³,no2 µg/m³,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,14341020,nox,NOX,ppb,nox ppb,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,12236416,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,39432,o3,O₃ mass,µg/m³,o3 µg/m³,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,12236417,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
11606,"Borivali East, Mumbai - IITM",RC,CPCB,39429,pm10,PM10,µg/m³,pm10 µg/m³,,OpenAQ
