urban_ward_code,expected_days,covered_days,missing_days,coverage_pct,longest_consecutive_days,total_sensor_observations,average_sensors_per_day,max_sensors_per_day
HE,577,565,12,97.92027729636048,275,1552,2.746902654867257,3
PN,577,565,12,97.92027729636048,275,1102,1.9504424778761063,2
RC,577,565,12,97.92027729636048,275,1557,2.7557522123893805,3
ME,577,564,13,97.74696707105718,195,1585,2.8102836879432624,3
GS,577,563,14,97.5736568457539,275,1013,1.7992895204262878,2
E,577,553,24,95.84055459272098,155,553,1.0,1
N,577,546,31,94.62738301559793,140,546,1.0,1
T,577,544,33,94.28076256499133,155,800,1.4705882352941178,2
L,577,522,55,90.46793760831889,103,547,1.0478927203065134,2
FS,577,520,57,90.1213171577123,84,520,1.0,1
KE,577,476,101,82.49566724436743,226,571,1.199579831932773,2
FN,577,467,110,80.93587521663778,107,467,1.0,1
S,577,462,115,80.06932409012131,59,462,1.0,1
A,577,390,187,67.59098786828423,93,390,1.0,1
KW,577,378,199,65.51126516464471,61,378,1.0,1
RS,577,362,215,62.738301559792035,80,362,1.0,1
