ward_code,police_station_count,police_office_count,traffic_chowki_count,police_control_room_count,police_location_count,population_2011,area_sq_km,police_stations_per_100k_population,police_stations_per_10_sq_km,population_per_police_station
A,8,2,0,0,10,185014,11.2095,4.3239971029219415,7.13680360408582,23126.75
B,3,0,0,0,3,127290,2.6582,2.356823002592505,11.285832518245428,42430.0
C,1,0,0,0,1,166161,1.913,0.6018259399016617,5.227391531625719,166161.0
D,5,0,0,0,5,346866,8.302,1.4414788419735574,6.022645145748013,69373.2
E,6,3,0,0,9,393286,7.1725,1.5256073188468444,8.365284071104913,65547.66666666667
FN,8,2,0,0,10,529034,12.8536,1.5121901427885542,6.223937262712393,66129.25
FS,6,2,0,0,8,360972,9.8724,1.6621787839500017,6.077549532028685,60162.0
GN,1,0,0,0,1,599039,8.3154,0.16693403935303044,1.202587969309955,599039.0
GS,1,1,0,1,3,377749,9.7411,0.26472604824896956,1.026578107195286,377749.0
HE,5,1,0,0,6,557239,12.8415,0.8972810589352146,3.8936261340186116,111447.8
HW,5,0,0,0,5,307581,8.6504,1.6255880564794316,5.780079533894387,61516.2
KE,10,1,0,0,11,823885,23.9827,1.2137616293536113,4.169672305453514,82388.5
KW,6,0,0,0,6,748688,24.354,0.8014019190904623,2.463661000246366,124781.33333333333
L,4,1,0,0,5,902225,15.6254,0.4433483887056998,2.5599344656776784,225556.25
ME,8,0,0,0,8,807720,38.2257,0.9904422324567919,2.092832832361474,100965.0
MW,0,0,1,0,1,411893,17.6202,0.0,0.0,
N,4,0,0,0,4,622853,30.6023,0.6422061064167629,1.3070912970593715,155713.25
PN,5,0,0,0,5,941366,46.7005,0.5311430410701045,1.0706523484759265,188273.2
PS,3,0,0,0,3,463507,25.3956,0.6472394160174496,1.1813069980626565,154502.33333333334
RC,4,0,0,0,4,562162,47.95,0.71153866679,0.8342022940563086,140540.5
RN,2,0,0,0,2,431368,14.1767,0.46364125294412195,1.4107655519267532,215684.0
RS,2,1,0,0,3,691229,18.5563,0.28933971230952404,1.0778010702564629,345614.5
S,4,0,0,0,4,743783,32.5545,0.537791264387597,1.228708780660124,185945.75
T,1,0,0,0,1,341463,45.1307,0.29285749846981957,0.22157865931616394,341463.0
