police_location_id,source_feature_id,object_id,feature_id,name,subtype,type_code,location,ward_code_source,brd_line_no,remarks,working_hours,year_construct,no_of_floors,no_of_rooms,employee_quantity,employee_male,employee_female,employee_disabled,cctv_service,fire_audit,fire_extinguishing_system,structural_audit,ramp_disabled,bathroom_facility,water_tank_capacity,created_date,created_user,last_edited_date,last_edited_user,edu_update_time,edu_update_user,latitude,longitude,source,source_file,verification_status,coordinate_valid
POLICE_001,PS15053700121,1,PS15053700121,Additional Commissioner of Police (P & S),Station,1,"Moghal Building, 25, Vaju Kotak Marg, Ballard Estate, Fort. Mumbai 400001",A,22611569,Kiran R. Shelar 9820097600 addlcpprotection@gmail.com,,,,,,,,,,,,,,,,1.479825702e+12,DMMASTER,1.566301157e+12,DMMASTER,,,18.9371169,72.8383152,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True
POLICE_002,PS09000000001,2,PS09000000001,Anti-Corruption Bureau,Office,1,"6th Floor, Sir Pochkhanawala Rd, B Wing, Worli Police Camp, Worli, Mumbai, Maharashtra 400030",G/S,022 2492 1212,,,,,,,,,,,,,,,,,1.56630134e+12,DMMASTER,1.56630137e+12,DMMASTER,,,19.006542,72.816253,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True
POLICE_003,PS05000000004,3,PS05000000004,Addl Comm. Of Police central Region Office,Office,1,"123, Tukaram Bhikaji Kadam Marg, Dhaku Prabhuchi Wadi, Byculla East, Mazgaon, Mumbai, Maharashtra 400027",E,23750909/23782636,,,,,,,,,,,,,,,,,1.56630134e+12,DMMASTER,1.5663014e+12,DMMASTER,,,18.983707,72.835757,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True
POLICE_004,PS07000000003,4,PS07000000003,Armed Police Headquarters,Office,1,"67-C/8, Parel Bhoiwada St, Police Colony, Naigaon, Mumbai, Maharashtra 400014",F/S,24146066,,,,,,,,,,,,,,,,,1.56630134e+12,DMMASTER,1.56630141e+12,DMMASTER,,,19.007634,72.846027,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True
POLICE_005,PS05000000005,5,PS05000000005,Police M.T.Section,Office,1,"Sofia Zubair Road, Police Colony, New Nagpada, Mazgaon, Mumbai, Maharashtra 400008",E,22611569,,,,,,,,,,,,,,,,,1.56630134e+12,DMMASTER,1.566301422e+12,DMMASTER,,,18.96718,72.831568,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True
POLICE_006,PS14068000115,6,PS14068000115,Azad Maidan Police Station,Station,1,"Esplaned Bldg., Gr. Floor, Mahapalika Marg, Near BMC Head Office, Mumbai - 400001.",A,22678115,Narendra Chandrapal Singh  9870492996 azadmaidanpolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1.479825702e+12,DMMASTER,1.566295637e+12,DMMASTER,,,18.9414839,72.8332066,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True
POLICE_007,PS14069600114,7,PS14069600114,M R A Police Satation,Station,1,"Mata Ramabai Ambedkar Marg, Near Haj House, Mumbai - 400001.",A,22611939,Sukhlal Varpe 9821055525 mrapolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1.479825702e+12,DMMASTER,1.566298499e+12,DMMASTER,,,18.945923,72.835234,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True
POLICE_008,PS14045000117,8,PS14045000117,Colaba Police Station,Station,1,"Near Electric House, Shahid Bhagat Singh Road,Colaba, Mumbai-400005.",A,22043702,Vinay V.Gadgil 9821965050 colabapolicestation@mtnl.net.in,,,,,,,,,,,,,,,,1.479825702e+12,DMMASTER,1.56629676e+12,DMMASTER,,,18.922388,72.831078,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True
POLICE_009,PS16197900155,9,PS16197900155,Cyber Police Station,Station,1,"Bandra Kurla Complex, Opp. ICICI Bank, BKC Road, Bandra (East), Mumbai 400051,",H/E,26504008,Sudhir Manohar Mahadik 9870459523 cyberpst-mum@mahapolice.gov.in,,,,,,,,,,,,,,,,1.479825702e+12,DMMASTER,1.566308595e+12,DMMASTER,,,19.064436,72.860325,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True
POLICE_010,PS06000000006,10,PS06000000006,Centre Investgestion Branch,Office,1,"Madhukarrao Ambedkar Road, Opposite Of Antop Hill Hospita, Antop Hill, Mumbai, 400037",F/N,2224035158,,,,,,,,,,,,,,,,,1.566133039e+12,DMMASTER,1.566308493e+12,DMMASTER,,,19.0337252,72.8663144,BMC/MCGM via OpenCity,mumbai_police_stations.kml,SOURCE_KML,True
