ward_code,public_toilet_count,female_facility_count,male_facility_count,total_toilet_facilities,population_2011,population_per_public_toilet,toilets_per_10000_population,facilities_per_10000_population
A,89,353,482,835,185014,2078.808988764045,4.810446777000659,45.13171976174776
B,38,88,187,275,127290,3349.7368421052633,2.985309136617173,21.604210857097964
C,34,65,142,207,166161,4887.088235294118,2.0462081956656495,12.457796955964396
D,93,417,292,709,346866,3729.7419354838707,2.681150646070817,20.440169979185043
E,78,230,407,637,393286,5042.128205128205,1.9832895145008975,16.196864368423995
FN,199,1244,1358,2602,529034,2658.462311557789,3.7615729801865285,49.18398439419772
FS,128,672,719,1391,360972,2820.09375,3.5459814057600036,38.53484480790754
GN,245,1614,1791,3405,599039,2445.057142857143,4.089883964149246,56.84104039970686
GS,113,530,411,941,377749,3342.9115044247787,2.9914043452133563,24.910721140228034
HE,327,1701,2294,3995,557239,1704.0948012232416,5.868218125436303,71.69275660892363
HW,163,815,833,1648,307581,1887.0,5.299417064122947,53.57938234156206
KE,804,3676,2681,6357,823885,1024.7325870646766,9.758643500003036,77.15882677800907
KW,225,1304,1095,2399,748688,3327.5022222222224,3.005257196589233,32.042720064966986
L,798,3499,3212,6711,902225,1130.607769423559,8.84480035467871,74.38277591509879
ME,446,3445,4104,7549,807720,1811.0313901345291,5.521715445946615,93.46060516020404
MW,203,1211,1636,2847,411893,2029.0295566502464,4.928464431296478,69.11989278769
N,497,2578,2708,5286,622853,1253.225352112676,7.979410872228279,84.86753696297521
PN,1264,3823,5973,9796,941366,744.751582278481,13.427296078252242,104.06154460645487
PS,355,1484,1619,3103,463507,1305.6535211267606,7.658999756206486,66.94613026340487
RC,256,1169,1021,2190,562162,2195.9453125,4.553847467456,38.956742006752506
RN,395,1670,1461,3131,431368,1092.0708860759494,9.156914745646409,72.5830381484023
RS,393,1895,2379,4274,691229,1758.852417302799,5.685525346882148,61.831896520545286
S,1043,4172,3125,7297,743783,713.1188878235859,14.02290721890659,98.10657140590737
T,212,1094,1021,2115,341463,1610.6745283018868,6.208578967560174,61.93936092636684
