toilet_id,object_id,object_id_1,address,bmc_department,female_facilities,male_facilities,ward_code_source,twitter,latitude,longitude,source,source_file,verification_status,total_facilities,coordinate_valid
e0d98c34-e328-4486-8ce5-f6a63b1581dd,1,1,"Maharashtra Shasan Shouchalay,Devndra Sadan Chawl,Jogeshwari-E",Solid Waste Management,2,2,KE,@mybmcSWM,19.1372222,72.8566667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,4,True
ec8a8db2-720e-416c-a226-023b5942f303,2,2,"Shouchalay Ram Prasad Chawl,Gupa Road,Jogeshwari-E",Solid Waste Management,6,0,KE,@mybmcSWM,19.1377778,72.8561111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True
cafd77fe-f1cc-4489-bf9f-687d541b7dfd,3,3,"Maharashtra Shasan Shouchalay,Makawana Road,Marol Village,Andheri-E",Solid Waste Management,5,5,KE,@mybmcSWM,19.1363889,72.855,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True
f681aee4-1377-4bfd-a53d-8af7d36ed2e0,4,4,"Maharashtra Shasan Shouchalay,Makawana Road,Marol Village,Andheri-E",Solid Waste Management,8,6,KE,@mybmcSWM,19.1341667,72.8552778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True
06c5c3d0-44e9-4d52-8140-153ee7cc894b,5,5,"Maharashtra Shasan Shouchalay,Makawana Road,Marol Village,Andheri-E",Solid Waste Management,6,6,KE,@mybmcSWM,19.1266667,72.8477778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
1b759563-eec8-46d9-a4e9-8337ab137e55,6,6,"Maharashtra Shasan Shouchalay,Laxmi Chawl,Jogeshwari-E",Solid Waste Management,10,10,KE,@mybmcSWM,19.1352778,72.8561111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,20,True
78bfe1f2-c798-4884-865d-5647e5ec1637,7,7,"Maharashtra Shasan Shouchalay,Laxmi Chawl,Jogeshwari-E",Solid Waste Management,0,7,KE,@mybmcSWM,19.1352778,72.8561111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,7,True
dfb16f5b-07a5-4183-a4f8-3aac4cde746e,8,8,"Bmc Shouchalay,Gijrati Chawl,Janta Nagar,Jogeshwari-E",Solid Waste Management,10,10,KE,@mybmcSWM,19.1341667,72.8561111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,20,True
892ef549-8979-48b1-8ae5-bf1d2ce65bd2,9,9,"Maharashtra Shasan Shouchalay,Janta Colony Road,Jogeshwari-E",Solid Waste Management,0,10,KE,@mybmcSWM,19.1338889,72.8561111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True
62c0475a-24e2-4820-bafb-b1fa69f8608f,10,10,"Bmc Shouchalay,Janta Colony Road,Jogeshwari-E",Solid Waste Management,20,5,KE,@mybmcSWM,19.1347222,72.8555556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,25,True
a120602e-6c9c-44ed-b06e-3d0af7781e9f,11,11,"Bmc Shouchalay Sulbh,Janta Market Road,Jogeshwari-E",Solid Waste Management,10,8,KE,@mybmcSWM,19.135,72.8586111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,18,True
2c40a0ce-28b8-4a1b-9428-d34d80b70cb5,12,12,"Maharashtra Shasan Shouchalay,Prem Nagag",Solid Waste Management,22,0,KE,@mybmcSWM,19.1355556,72.8594444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,22,True
d6f21fd2-4561-4486-be46-7fa236ae9dcc,13,13,"Maharashtra Shasan Shouchalay,Prem Nagar,Opp Janshati Police Station,Jogeshwari-E",Solid Waste Management,6,6,KE,@mybmcSWM,19.1358333,72.8586111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
4fb81213-5680-4f2c-b3f6-23e802b989ce,14,14,"Bmc Shouchalay,Prem Nagar,Janshakti Chowk,Jogeshwari-E",Solid Waste Management,16,10,KE,@mybmcSWM,19.1355556,72.8591667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,26,True
d70f8bb7-e4e1-40ec-a0fe-0c6c31c071a7,15,15,"Maharashtra Shasan Shouchalay,Majai Road,Ambika Nagar,Jogeshwari-E",Solid Waste Management,4,0,KE,@mybmcSWM,19.1366667,72.8594444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,4,True
1f685693-9493-4ef8-8105-21849e73594c,16,16,"Maharashtra Shasan Shouchalay,Fakir Chawl,Gandhi Nagar,Jogeshwari-E",Solid Waste Management,6,6,KE,@mybmcSWM,19.1363889,72.8583333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
cfc6e194-dad4-4c3e-8c03-f90fb89ea902,17,17,"Bmc Shouchalay,Gandhi Nagar,Faikir Chawl,Jogeshwari-E",Solid Waste Management,16,12,KE,@mybmcSWM,19.1363889,72.8583333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,28,True
c278ec01-9b7f-4af8-bead-79742c7d4dac,18,18,"Maharashtra Shasan Shouchalay,Gandhi Nagar,Jogeshwari-E",Solid Waste Management,14,0,KE,@mybmcSWM,19.1361111,72.8583333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True
12013b81-6a51-400d-ac36-545255d49e48,19,19,"Maharashtra Shasan Shouchalay,Jatabkar Chawl,Gandhi Nagar,Jogeshwari-E",Solid Waste Management,0,12,KE,@mybmcSWM,19.1372222,72.8572222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
3a2bf367-850a-449f-b157-379cf6890249,20,20,"Maharashtra Shasan Shouchalay,Jatabkar Chawl,Gandhi Nagar,Jogeshwari-E",Solid Waste Management,12,0,KE,@mybmcSWM,19.1372222,72.8572222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
81e40660-6299-4c98-8fa2-538c7a53c037,21,21,"Maharashtra Shasan Shouchalay,Jatabkar Chawl,Gandhi Nagar,Jogeshwari-E",Solid Waste Management,6,0,KE,@mybmcSWM,19.1372222,72.8569444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True
6cfca3ee-4f86-46bd-921e-c3a9dc99969b,22,22,Bmc Shauchalay Jumakhan Ammirkhau Chawl Subhash Nagar Jogeshwari (E),Solid Waste Management,5,4,KE,@mybmcSWM,19.1347222,72.8497222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,9,True
5838a85d-99ff-4d01-8643-31caa85833cf,23,23,"Maharashtra Shasan Shouchalay,Sharma Chawl,Jogeshawri-E",Solid Waste Management,8,8,KE,@mybmcSWM,19.1355556,72.8572222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True
43ea26e8-5d41-4924-a403-6a71c0971016,24,24,"Maharashtra Shasan Shouchalay,Janta Colony,Gandhi Nagar,B Ward,Jogeshwari-E",Solid Waste Management,6,6,KE,@mybmcSWM,19.1352778,72.8569444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
21fe1c6c-fad6-4117-b278-c46315027ae3,25,25,"Maharashtra Shasan Shouchalay,Janta Colony,Gandhi Nagar,B Ward,Jogeshwari-E",Solid Waste Management,9,9,KE,@mybmcSWM,19.135,72.8569444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,18,True
b738d511-d9a8-4351-81b6-9758e5e9b48e,26,26,"Maharashtra Shasan Shouchalay,Chimat Pada Marol Naka,S.M.Centre,A.K.Road,Andheri-E",Solid Waste Management,8,6,KE,@mybmcSWM,19.135,72.8569444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True
d8237aca-8837-4a15-aaca-b6d43968448c,27,27,"Maharashtra Shasan Shouchalay,Chimat Pada Marol Naka,S.M.Centre,A.K.Road,Andheri-E",Solid Waste Management,12,0,KE,@mybmcSWM,19.1352778,72.8575,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
4b7f56ab-a388-43e0-9fe7-1913bc4d8f0c,28,28,"Maharashtra Shasan Shouchalay,Chimat Pada,Marol Naka,Andheri-Kurla Road,Andheri-E",Solid Waste Management,0,8,KE,@mybmcSWM,19.135,72.8572222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,8,True
accf9cd5-5820-4ada-a30f-5c630ccce7f9,29,29,"Bmc Shouchalay,Jogeshwari",Solid Waste Management,10,4,KE,@mybmcSWM,19.1352778,72.8572222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True
1ae7ed97-2fd5-477b-ab36-381d4e00ab42,30,30,"Maharashtra Shasan Shouchalay,Kranti Chowk,Gandhi Nagar,Jogeshwari-E",Solid Waste Management,10,10,KE,@mybmcSWM,19.1363889,72.8569444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,20,True
dbcbdd89-710a-4e83-8a7d-11a8ebcd6cd6,31,31,"Bmc Sulbh Shouchalay,Gandhi Nagar,Jogeshwari-E",Solid Waste Management,8,6,KE,@mybmcSWM,19.1361111,72.8566667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True
f2cdf9c5-fbbb-40bd-b193-44690579be1d,32,32,"Maharashtra Shasan Shouchalay,Gandhi Nagar,Jogeshwari-E",Solid Waste Management,0,13,KE,@mybmcSWM,19.1361111,72.8566667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,13,True
f8d15b13-1dbf-4ea4-847b-c275b8cdaa48,33,33,"Bmc Shouchalay,Gupta Road,S.G.Nagar,Jogeshwari-E",Solid Waste Management,3,2,KE,@mybmcSWM,19.1366667,72.8558333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,5,True
