ward_code,school_count,valid_coordinates,aided_schools,unaided_schools,municipal_schools,coordinate_coverage_pct
A,27,27,1,13,13,100.0
B,30,30,9,7,14,100.0
C,23,23,5,9,9,100.0
D,63,63,10,30,23,100.0
E,86,86,12,24,50,100.0
FN,120,120,24,25,71,100.0
FS,63,63,16,10,37,100.0
GN,99,99,11,30,58,100.0
GS,63,63,4,7,52,100.0
HE,88,88,12,20,56,100.0
HW,71,71,7,28,36,100.0
KE,138,138,23,44,71,100.0
KW,116,116,17,44,55,100.0
L,179,179,36,55,88,100.0
ME,136,136,13,51,72,100.0
MW,87,87,12,22,53,100.0
N,121,121,22,32,67,100.0
PN,167,167,31,74,62,100.0
PS,80,80,15,24,41,100.0
RC,95,95,28,27,40,100.0
RN,61,61,19,23,19,100.0
RS,106,106,22,41,43,100.0
S,144,144,44,45,55,100.0
T,80,80,11,23,46,100.0
