school_id,school_name,school_category,school_type,address,class_from,class_to,ward_code_source,latitude,longitude,source_file,source_id,website,source,verification_status,coordinate_valid,geometry,ward_code_source_raw,gis_ward,urban_ward_code,validation_status
SCH_00001,SHRI MOHANBHAI M PATEL GUJ,aided,3-Co-educational,J B Khot HIgh School Datta Pada Road,1,4,RC,19.222067,72.859713,Mumbai Aided Schools Map.kml,1,education.maharashtra.gov.in/saral/27220100106,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.859713 19.222067 0),RC,RC,RC,match
SCH_00002,JAYABEN B KHOT ENG PRI,aided,3-Co-educational,JAYANAGAR DATTAPADA ROAD BORIVALI EAST MUMBAI 400066,1,4,RC,19.222127,72.859618,Mumbai Aided Schools Map.kml,2,education.maharashtra.gov.in/saral/27220100107,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.859618 19.222127 0),RC,RC,RC,match
SCH_00003,NALANDA ENGLISH PRIMARY SCHOOL,aided,3-Co-educational,"Rajendra Nagar, Dattapada Rd. Borivali East. Mumbai 400066",1,4,RC,19.218158,72.858569,Mumbai Aided Schools Map.kml,3,www.mynehs.in,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.858569 19.218158 0),RC,RC,RC,match
SCH_00004,S P SANGH YOJANA VIDYALAY,aided,3-Co-educational,Brihanmumbai Mananagarpalika,1,4,RC,19.223402,72.865717,Mumbai Aided Schools Map.kml,4,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.865717 19.223402 0),RC,RC,RC,match
SCH_00005,SHETH JADAVJI JETHABHAI GUJ,aided,3-Co-educational,MGRoadBorivaliEastMumbai400066,1,4,RC,19.232433,72.859698,Mumbai Aided Schools Map.kml,5,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.859698 19.232433 0),RC,RC,RC,match
SCH_00006,SHRI RATANSHI GORDHANDAS BAJARIA ENG SCHOOL,aided,3-Co-educational,C/o G.H.school compound M.G.Road Borivali East Mumbai 400066,1,4,RC,19.232303,72.859873,Mumbai Aided Schools Map.kml,6,www.education.maharashtra.gov.in/saral/27220100128,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.859873 19.232303 0),RC,RC,RC,match
SCH_00007,SMT. SHUSHILA MAHADEV PADHYE PRIMARY SCHOOL,aided,3-Co-educational,"123/124. abhinav nagar , borivali east, mumbai-400066",1,4,RC,19.230632,72.870215,Mumbai Aided Schools Map.kml,7,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.870215 19.230632 0),RC,RC,RC,match
SCH_00008,SHREE KRISHANA VIDYALYA,aided,3-Co-educational,Shri Krishna Nagar Borivali - East,1,4,RC,19.233319,72.866537,Mumbai Aided Schools Map.kml,8,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.866537 19.233319 0),RC,RC,RC,match
SCH_00009,RAMKRISHANA VIDYALYA MAR,aided,3-Co-educational,"OM JAGANNATH NAGAR, JAGARDEV COMPOUND, KAJUPADA, BORIVALI EAST, MUMBAI 400066",1,4,RC,19.236622,72.871338,Mumbai Aided Schools Map.kml,9,education.maharashtra.gov.in/saral/27220100135,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.871338 19.236622 0),RC,RC,RC,match
SCH_00010,COSMOS HIGHSCHOOL MAR,aided,3-Co-educational,Borivali Mumbai Suburban,1,4,RC,19.236079,72.867944,Mumbai Aided Schools Map.kml,10,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.867944 19.236079 0),RC,RC,RC,match
SCH_00011,BHARAT JATIYA VIDYA MANDIR HINDI SCHOOL,aided,3-Co-educational,BORIVALI MUMBAI -SUBURBAN,1,4,RC,19.236496,72.861998,Mumbai Aided Schools Map.kml,11,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.861998 19.236496 0),RC,RC,RC,match
SCH_00012,BHARAT JATIYA VIDYA MANDIR GUJARATI SCHOOL,aided,3-Co-educational,BORIVALI MUMBAI- SUBURBAN,1,4,RC,19.236219,72.862758,Mumbai Aided Schools Map.kml,12,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.862758 19.236219 0),RC,RC,RC,match
SCH_00013,ABHINAV LITTLE ANGES PRIMARY ENGLISH SCHOOL,aided,3-Co-educational,123 124 Abhinav Nagar Borivali E MUM 66,1,4,RC,19.231401,72.858948,Mumbai Aided Schools Map.kml,13,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.858948 19.231401 0),RC,RC,RC,match
