station_id,station_name,station_type,region,label,fid,object_id,latitude,longitude,source,source_file,coordinate_valid,gis_ward,ward_match_status
SUBURBAN_001,Churchgate,Suburban Station,WESTERN,Churchgate,1,1,18.9352961818815,72.8271919878514,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,A,MATCHED
SUBURBAN_002,Marine Lines,Suburban Station,WESTERN,,2,2,18.9457881977143,72.8238144822946,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,C,MATCHED
SUBURBAN_003,Charni Road,Suburban Station,WESTERN,,3,3,18.9517165867492,72.8185706836947,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,D,MATCHED
SUBURBAN_004,Grant Road,Suburban Station,WESTERN,,4,4,18.9637045605152,72.8161783832855,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,D,MATCHED
SUBURBAN_005,Mumbai Central,Suburban Station,WESTERN,Mumbai Central,5,5,18.9698932713685,72.8187988036057,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,D,MATCHED
SUBURBAN_006,Mahalaxmi,Suburban Station,WESTERN,,6,6,18.9822737979282,72.8241537111258,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,GS,MATCHED
SUBURBAN_007,Lower Parel,Suburban Station,WESTERN,,7,7,18.9953187079519,72.830172471783,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,GS,MATCHED
SUBURBAN_008,Prabhadevi,Suburban Station,WESTERN,,8,8,19.0075631386431,72.8361132046624,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,GS,MATCHED
SUBURBAN_009,Dadar,Suburban Station,WESTERN,Dadar,9,9,19.0195608762157,72.8431374888969,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,GN,MATCHED
SUBURBAN_010,Matunga Road,Suburban Station,WESTERN,,10,10,19.028368597856,72.8469289503764,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,GN,MATCHED
SUBURBAN_011,Mahim Junction,Suburban Station,HARBOUR,,11,11,19.040716517382,72.8469183881933,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,GN,MATCHED
SUBURBAN_012,Bandra,Suburban Station,WESTERN,Bandra,12,12,19.0555892333471,72.8403282370921,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,HW,MATCHED
SUBURBAN_013,Khar Road,Suburban Station,WESTERN,,13,13,19.0698951076843,72.8401277252267,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,HW,MATCHED
SUBURBAN_014,Santacruz,Suburban Station,WESTERN,,14,14,19.0825985273727,72.8417807673674,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,HW,MATCHED
SUBURBAN_015,Vile Parle,Suburban Station,WESTERN,,15,15,19.0997393565481,72.8439996742096,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,KE,MATCHED
SUBURBAN_016,Andheri,Suburban Station,WESTERN,Andheri,16,16,19.1171747947178,72.8465039707666,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,KE,MATCHED
SUBURBAN_017,Jogeshwari,Suburban Station,WESTERN,,17,17,19.1365326519053,72.8489736708461,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,KW,MATCHED
SUBURBAN_018,Goregaon,Suburban Station,WESTERN,,18,18,19.1648702815213,72.8496282479856,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,PS,MATCHED
SUBURBAN_019,Malad,Suburban Station,WESTERN,,19,19,19.1868335617006,72.8489362808279,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,PN,MATCHED
SUBURBAN_020,Kandivali,Suburban Station,WESTERN,,20,20,19.2045320761638,72.8520512299794,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,RS,MATCHED
SUBURBAN_021,Borivali,Suburban Station,WESTERN,Borivali,21,21,19.2290634217488,72.8566489030573,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,RC,MATCHED
SUBURBAN_022,Dahisar,Suburban Station,WESTERN,,22,22,19.2500070403722,72.8592814710169,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,RN,MATCHED
SUBURBAN_023,CSMT,Suburban Station,CENTRAL,CSMT,23,23,18.9402720285738,72.8357059779256,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,A,MATCHED
SUBURBAN_024,Masjid Bunder,Suburban Station,CENTRAL,,24,24,18.9520915390942,72.8381997658401,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,B,MATCHED
SUBURBAN_025,Sandhurst Road,Suburban Station,CENTRAL,,25,25,18.9608785429075,72.8395788297954,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,B,MATCHED
SUBURBAN_026,Byculla,Suburban Station,CENTRAL,,26,26,18.976692518895,72.8327690068053,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,E,MATCHED
SUBURBAN_027,Chinchpokali,Suburban Station,CENTRAL,,27,27,18.9870469487976,72.8329013428044,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,E,MATCHED
SUBURBAN_028,Currey Road,Suburban Station,CENTRAL,,28,28,18.994110482723,72.8329987665172,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,GS,MATCHED
SUBURBAN_029,Parel,Suburban Station,CENTRAL,,29,29,19.0092440178425,72.8376259004038,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,FS,MATCHED
SUBURBAN_030,Dadar,Suburban Station,CENTRAL,Dadar,30,30,19.0181435365389,72.843633420996,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,GN,MATCHED
SUBURBAN_031,Matunga,Suburban Station,CENTRAL,,31,31,19.0274961050905,72.8502084014804,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,GN,MATCHED
SUBURBAN_032,Sion,Suburban Station,CENTRAL,,32,32,19.0477097291027,72.8640037012676,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,GN,MATCHED
SUBURBAN_033,Kurla,Suburban Station,CENTRAL,Kurla,33,33,19.0654774786936,72.8793543303778,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,L,MATCHED
SUBURBAN_034,Vidyavihar,Suburban Station,CENTRAL,,34,34,19.0796208736982,72.8975799791421,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,N,MATCHED
SUBURBAN_035,Ghatkopar,Suburban Station,CENTRAL,Ghatkopar,35,35,19.0859890642817,72.9084657878744,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,N,MATCHED
SUBURBAN_036,Vikhroli,Suburban Station,CENTRAL,Vikhroli,36,36,19.1119177689733,72.9281450869539,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,S,MATCHED
SUBURBAN_037,Kanjur Marg,Suburban Station,CENTRAL,,37,37,19.128166320162,72.9281511337221,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,S,MATCHED
SUBURBAN_038,Bhandup,Suburban Station,CENTRAL,,38,38,19.1424351550521,72.9376513107349,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,S,MATCHED
SUBURBAN_039,Nahur,Suburban Station,CENTRAL,,39,39,19.1546251377825,72.946766137471,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,S,MATCHED
SUBURBAN_040,Mulund,Suburban Station,CENTRAL,Mulund,40,40,19.1718662666882,72.9565534048963,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,T,MATCHED
SUBURBAN_041,Dockyard Road,Suburban Station,HARBOUR,,41,41,18.9665629111886,72.8443114850277,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,E,MATCHED
SUBURBAN_042,Ray Road,Suburban Station,HARBOUR,,42,42,18.9773683482474,72.8442481797541,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,E,MATCHED
SUBURBAN_043,Cotton Green,Suburban Station,HARBOUR,,43,43,18.9864939574943,72.8432893293482,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,FS,MATCHED
SUBURBAN_044,Sewri,Suburban Station,HARBOUR,,44,44,18.9989313752645,72.854579130035,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,FS,MATCHED
SUBURBAN_045,Wadala Road,Suburban Station,HARBOUR,Wadala Road,45,45,19.016006309249,72.8589424803244,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,FN,MATCHED
SUBURBAN_046,Guru Tej Bahadur Nagar,Suburban Station,HARBOUR,,46,46,19.0380290585816,72.8643611543405,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,FN,MATCHED
SUBURBAN_047,Chunna Bhatti,Suburban Station,HARBOUR,,47,47,19.0517072445659,72.8689456446498,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,L,MATCHED
SUBURBAN_048,Tilak Nagar,Suburban Station,HARBOUR,,48,48,19.0657803013233,72.8899762020043,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,L,MATCHED
SUBURBAN_049,Chembur,Suburban Station,HARBOUR,,49,49,19.0625976174705,72.9012441362589,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,MW,MATCHED
SUBURBAN_050,Govandi,Suburban Station,HARBOUR,,50,50,19.0550932243739,72.9153943027253,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,ME,MATCHED
SUBURBAN_051,Mankhurd,Suburban Station,HARBOUR,Mankhurd,51,51,19.0481650219614,72.9317241491866,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,ME,MATCHED
SUBURBAN_052,Kings Circle,Suburban Station,HARBOUR,,52,52,19.032266486955,72.8571690397359,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,FN,MATCHED
SUBURBAN_053,Mira Road,Suburban Station,WESTERN,,53,53,19.2797406943242,72.8560972045312,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,,UNMATCHED
SUBURBAN_054,Bhayandar,Suburban Station,WESTERN,,54,54,19.3114392227109,72.8525704477226,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,,UNMATCHED
SUBURBAN_055,Naigaon,Suburban Station,WESTERN,,55,55,19.3513074099099,72.8462832948645,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,,UNMATCHED
SUBURBAN_056,Vasai Road,Suburban Station,WESTERN,Vasai Road,56,56,19.3823802721053,72.8321461041926,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,,UNMATCHED
SUBURBAN_057,Nallasopara,Suburban Station,WESTERN,,57,57,19.4176755166077,72.8189145644195,BMC / OpenCity Mumbai Suburban Network 2025,mumbai_suburban_railway_stations.kml,True,,UNMATCHED
