ward_code,railway_station_count,existing_railway_station_count,proposed_railway_station_count,western_railway_station_count,central_railway_station_count,harbour_railway_station_count
A,2,2,0,1,1,0
B,2,2,0,0,2,0
C,1,1,0,1,0,0
D,3,3,0,3,0,0
E,4,4,0,0,2,2
FN,3,3,0,0,0,3
FS,3,3,0,0,1,2
GN,6,6,0,2,3,1
GS,4,4,0,3,1,0
HE,0,0,0,0,0,0
HW,3,3,0,3,0,0
KE,2,2,0,2,0,0
KW,1,1,0,1,0,0
L,3,3,0,0,1,2
ME,2,2,0,0,0,2
MW,1,1,0,0,0,1
N,2,2,0,0,2,0
PN,1,1,0,1,0,0
PS,2,2,0,2,0,0
RC,1,1,0,1,0,0
RN,1,1,0,1,0,0
RS,1,1,0,1,0,0
S,4,4,0,0,4,0
T,1,1,0,0,1,0
