ward_code,urban_stress_index,urban_stress_band,moran_local_i,moran_local_p,moran_local_z,spatial_lag_z,lisa_cluster,lisa_significant,global_moran_i,global_moran_expected_i,global_moran_p,global_moran_z
A,40.91301210866428,Moderate,-1.2156393504460132,0.082,-1.373358878287248,0.9603650726757125,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
B,60.695071836376194,High,-0.2338690869329856,0.388,-0.2895930198524722,-0.18605213636855786,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
C,56.042960662525886,Moderate,-0.052557839754190434,0.461,-0.14699550776836545,-0.07918654964107195,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
D,48.07939644896168,Moderate,-0.04800586450733294,0.428,-0.18879055143605875,0.13642823187819508,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
E,51.18302591128679,Moderate,0.0047490188466920635,0.401,0.2472875329461448,0.10810076688292353,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
FN,48.49935692326996,Moderate,-0.0065751531917762965,0.483,0.016115157873604926,0.022040714716958038,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
FS,45.11457745153398,Moderate,-0.12645123403815758,0.375,-0.28263027140872743,0.17322526552363568,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
GN,60.6060606060606,High,-0.39090255991977146,0.217,-0.8102972596694793,-0.3138124373314055,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
GS,48.498964803312624,Moderate,-0.015495045310765761,0.471,-0.06530520665279893,0.051932574551472155,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
HE,55.37831733483909,Moderate,0.1305657135486923,0.271,0.615699083132375,0.22551789259005217,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
HW,40.54598782859652,Moderate,-0.932520291117002,0.074,-1.5052950868547186,0.7104286185512514,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
KE,42.672062237279626,Moderate,-0.25111935004931796,0.291,-0.5592403410141921,0.24111850132788687,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
KW,66.98036263253655,High,-0.6864548426151841,0.276,-0.6151634942467751,-0.3334611364976854,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
L,52.2299861973775,Moderate,0.026958087132372705,0.316,0.5180756359660137,0.15191858643982514,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
ME,52.45231821318777,Moderate,0.11067750056299268,0.225,0.7788329860464452,0.5377784369056524,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
MW,46.09487734487734,Moderate,-0.26700922031660995,0.191,-0.9109536865172998,0.4413643745703259,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
N,64.0159357550662,High,-0.3019284685804047,0.4,-0.2264914685014619,-0.17966370459296865,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
PN,59.6085074345944,Moderate,0.4935548498505586,0.305,0.4980513386867227,0.4412893636297139,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
PS,54.29881109228936,Moderate,0.03851032029126178,0.369,0.3209819657271166,0.08726772830984383,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
RC,47.792364640190726,Moderate,0.3473694571371653,0.039,1.7361337374132941,-0.8941720848587025,Low-Low,True,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
RN,37.27296254470168,Low,0.6720838917493853,0.317,0.5185559354028211,-0.38848166143774976,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
RS,52.7969916556873,Moderate,-0.1986517501584848,0.125,-1.1548537167574646,-0.7953660069726985,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
S,46.94185645272602,Moderate,-0.005519406807974439,0.466,-0.019165972096242077,0.011106619940184942,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
T,41.411396574440055,Moderate,0.058422860185275316,0.426,0.19675058385619748,-0.048594587694166386,Not Significant,False,-0.12390468541050326,-0.043478260869565216,0.338,-0.4850974719735475
