ward_code,area_sq_m,area_sq_km,population_2011,population_density_per_sq_km
GS,9741117.82,9.7411,377749,38778.81
FN,12853648.87,12.8536,529034,41158.27
MW,17620182.33,17.6202,411893,23376.21
HW,8650373.43,8.6504,307581,35556.96
GN,8315390.94,8.3154,599039,72039.79
ME,38225713.36,38.2257,807720,21130.28
E,7172454.32,7.1725,393286,54832.83
HE,12841522.1,12.8415,557239,43393.53
RS,18556325.48,18.5563,691229,37250.32
T,45130664.41,45.1307,341463,7566.1
N,30602269.69,30.6023,622853,20353.16
PS,25395628.71,25.3956,463507,18251.45
PN,46700513.61,46.7005,941366,20157.51
B,2658219.14,2.6582,127290,47885.44
RC,47950012.73,47.95,562162,11723.92
KE,23982720.03,23.9827,823885,34353.28
L,15625411.89,15.6254,902225,57740.88
S,32554495.3,32.5545,743783,22847.32
RN,14176702.8,14.1767,431368,30427.95
KW,24353987.83,24.354,748688,30741.91
A,11209493.14,11.2095,185014,16505.12
C,1913025.55,1.913,166161,86857.7
D,8302029.1,8.302,346866,41780.87
FS,9872443.22,9.8724,360972,36563.59
