ward_code,school_count,aided_schools,unaided_schools,municipal_schools,healthcare_facilities,dispensaries,hospitals,maternity_hospitals,uphcs,veterinary_hospitals,udise_city_schools,students_total,students_boys,students_girls,teachers_total,teachers_male,teachers_female,classrooms_total_observed,classrooms_good,classrooms_minor_repair,classrooms_major_repair,boys_toilets,boys_functional_toilets,girls_toilets,girls_functional_toilets,functional_toilets_total,cwsn_boys_toilets,cwsn_girls_toilets,cwsn_toilets_total,electricity_schools,library_schools,playground_schools,ramps_schools,handrails_schools,ict_lab_schools,internet_schools,computer_ict_lab_schools,teacher_student_ratio,female_teacher_share_pct,girls_share_pct,classrooms_repair_pct,region,complaints_received_2023,complaints_received_2024,complaints_closed_2023,complaints_closed_2024,closure_pct_2023,closure_pct_2024,avg_resolution_days_2023,avg_resolution_days_2024,unresolved_complaints_2024,closure_change_pp_2023_to_2024,resolution_days_change,data_year,source,green_space_count,green_space_share_pct,total_best_features,bus_stop_count,bus_depot_count,railway_station_count,existing_railway_station_count,proposed_railway_station_count,western_railway_station_count,central_railway_station_count,harbour_railway_station_count,total_public_transport_nodes,railway_presence,multimodal_presence,metro_station_count,monorail_station_count,operational_station_count,under_construction_station_count,total_metro_monorail_stations,metro_share_pct,monorail_share_pct
GS,63,4,7,52,23,14,0,1,8,0,33,9391.0,4951.0,4440.0,476,125,351,366,363,3,0,153,153,164,164,317,76,53,129,33,33,38,33,41,145,33,40,0.0506868278138643,73.73949579831933,47.27930997763816,0.819672131147541,Island City,3134,3299,2919,3064,93,93,27,37,235,0,10,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",10,1.016260162601626,215,214,1,4,4,0,3,1,0,219,1,1,5,1,4,1,6,83.33333333333334,16.666666666666664
FN,120,24,25,71,17,7,2,1,7,0,83,52637.0,27010.0,25627.0,2023,501,1522,1413,1413,0,0,606,602,625,621,1223,138,124,262,83,83,97,84,101,388,83,99,0.0384330413967361,75.23479980227386,48.6862853126128,0.0,Island City,4672,4229,4406,3693,94,87,44,43,536,-7,-1,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",18,1.829268292682927,312,310,2,3,3,0,0,0,3,315,1,1,2,7,0,2,9,22.22222222222222,77.77777777777779
MW,87,12,22,53,22,8,2,3,9,0,58,34839.0,18354.0,16485.0,1477,397,1080,1052,1034,11,7,402,397,483,465,862,76,84,160,58,58,72,60,95,281,58,72,0.0423950170785613,73.12119160460394,47.31766124171188,1.7110266159695815,Eastern Suburbs,4026,4032,4004,3587,99,89,19,28,445,-10,9,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",49,4.979674796747967,218,218,0,1,1,0,0,0,1,219,1,1,6,4,2,4,10,60.0,40.0
HW,71,7,28,36,14,6,1,0,7,0,74,44351.0,22553.0,21798.0,1756,347,1409,1236,1219,10,7,385,384,509,506,890,88,84,172,74,74,84,76,109,364,74,84,0.039593244797186,80.23917995444191,49.14883542648418,1.3754045307443366,Western Suburbs,5199,5048,3942,4096,76,81,35,48,952,5,13,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",47,4.776422764227642,178,177,1,3,3,0,3,0,0,181,1,1,7,1,1,6,8,87.5,12.5
GN,99,11,30,58,19,9,0,1,9,0,61,26435.0,14816.0,11619.0,1060,239,821,825,820,3,2,382,382,359,359,741,77,72,149,61,61,73,62,90,344,61,72,0.0400983544543219,77.45283018867924,43.9530924910157,0.6060606060606061,Island City,5545,5151,4318,3921,78,76,32,52,1230,-2,20,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",10,1.016260162601626,201,200,1,6,6,0,2,3,1,207,1,1,2,0,2,0,2,100.0,0.0
ME,136,13,51,72,25,10,0,1,14,0,115,42028.0,21707.0,20321.0,1782,575,1207,1504,1463,28,13,523,519,559,554,1073,168,170,338,115,115,148,116,142,613,115,138,0.0424003045588655,67.73288439955107,48.35109926715523,2.7260638297872344,Eastern Suburbs,4711,4060,4199,3530,89,87,27,28,530,-2,1,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",73,7.41869918699187,188,186,2,2,2,0,0,0,2,190,1,1,2,1,1,1,3,66.66666666666666,33.33333333333333
E,86,12,24,50,23,12,3,0,8,0,45,31165.0,16642.0,14523.0,1050,248,802,799,797,2,0,273,273,373,373,646,53,63,116,45,45,52,45,62,210,45,51,0.0336916412642387,76.38095238095238,46.60035296005134,0.2503128911138924,Island City,4178,4939,3716,3570,89,72,50,81,1369,-17,31,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",36,3.658536585365853,192,191,1,4,4,0,0,2,2,196,1,1,4,1,1,3,5,80.0,20.0
HE,88,12,20,56,16,6,1,1,8,0,48,22209.0,11570.0,10639.0,935,243,692,725,719,6,0,378,376,510,510,886,73,69,142,48,48,52,48,69,229,48,61,0.04210004952947,74.01069518716578,47.90400288171462,0.8275862068965517,Western Suburbs,4414,4317,3835,3782,87,88,25,40,535,1,15,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",21,2.1341463414634148,196,196,0,0,0,0,0,0,0,196,0,0,6,0,5,1,6,100.0,0.0
RS,106,22,41,43,16,5,1,1,9,0,98,76445.0,42010.0,34435.0,2745,775,1970,2209,2202,7,0,1035,1035,1166,1166,2201,151,130,281,98,98,118,99,123,601,98,110,0.0359081692720256,71.76684881602914,45.04545751847734,0.3168854685377999,Western Suburbs,5445,4840,5316,4565,98,94,17,14,275,-4,-3,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",71,7.215447154471545,219,219,0,1,1,0,1,0,0,220,1,1,4,0,4,0,4,100.0,0.0
T,80,11,23,46,13,3,2,1,7,0,54,27546.0,14211.0,13335.0,1341,246,1095,942,942,0,0,378,378,477,477,855,97,103,200,54,54,60,54,67,319,54,68,0.0486822043127858,81.65548098434004,48.40993247658462,0.0,Eastern Suburbs,2817,3055,2609,2590,93,85,31,39,465,-8,8,2024,"Praja Foundation - Report on the Status of Civic Issues in Mumbai, May 2025; Table 45",60,6.097560975609756,209,208,1,1,1,0,0,1,0,210,1,1,4,0,0,4,4,100.0,0.0
