ward_code,population_2011,area_sq_km,population_density_per_sq_km,healthcare_stress,healthcare_indicator_count,healthcare_indicator_total,healthcare_coverage_pct,education_stress,education_indicator_count,education_indicator_total,education_coverage_pct,sanitation_stress,sanitation_indicator_count,sanitation_indicator_total,sanitation_coverage_pct,safety_stress,safety_indicator_count,safety_indicator_total,safety_coverage_pct,transport_stress,transport_indicator_count,transport_indicator_total,transport_coverage_pct,civic_stress,civic_indicator_count,civic_indicator_total,civic_coverage_pct,green_space_stress,green_space_indicator_count,green_space_indicator_total,green_space_coverage_pct,urban_stress_index,urban_stress_domain_count,urban_stress_domain_coverage_pct,urban_stress_band
GS,377749,9.7411,38778.81,10.416666666666668,2,2,100.0,19.44444444444444,3,3,100.0,81.25,2,2,100.0,68.70471014492753,4,4,100.0,29.166666666666664,2,2,100.0,35.41666666666667,4,4,100.0,81.25,2,2,100.0,46.52130779848171,7,100.0,Moderate
FN,529034,12.8536,41158.27,52.08333333333333,2,2,100.0,59.02777777777777,3,3,100.0,64.58333333333334,2,2,100.0,19.400527009222664,4,4,100.0,16.666666666666664,2,2,100.0,44.270833333333336,4,4,100.0,70.83333333333334,2,2,100.0,46.69511496957149,7,100.0,Moderate
MW,411893,17.6202,23376.21,18.75,2,2,100.0,68.05555555555556,3,3,100.0,43.75,2,2,100.0,71.2121212121212,3,4,75.0,47.91666666666667,2,2,100.0,41.14583333333333,4,4,100.0,22.916666666666664,2,2,100.0,44.82097763347763,7,100.0,Moderate
HW,307581,8.6504,35556.96,27.083333333333336,2,2,100.0,73.61111111111111,3,3,100.0,52.083333333333336,2,2,100.0,23.85540184453228,4,4,100.0,27.083333333333336,2,2,100.0,70.83333333333334,4,4,100.0,2.0833333333333317,2,2,100.0,39.51902566033001,7,100.0,Low
GN,599039,8.3154,72039.79,64.58333333333333,2,2,100.0,37.50000000000001,3,3,100.0,58.33333333333333,2,2,100.0,62.12121212121212,4,4,100.0,45.83333333333333,2,2,100.0,60.41666666666667,4,4,100.0,83.33333333333333,2,2,100.0,58.874458874458874,7,100.0,Moderate
ME,807720,38.2257,21130.28,72.91666666666666,2,2,100.0,37.5,3,3,100.0,27.083333333333332,2,2,100.0,45.38866930171278,4,4,100.0,93.75,2,2,100.0,25.0,4,4,100.0,45.833333333333336,2,2,100.0,49.638857519292294,7,100.0,Moderate
E,393286,7.1725,54832.83,14.583333333333332,2,2,100.0,69.44444444444444,3,3,100.0,95.83333333333333,2,2,100.0,34.69614624505929,4,4,100.0,24.999999999999996,2,2,100.0,82.29166666666667,4,4,100.0,22.91666666666666,2,2,100.0,49.25222724135767,7,100.0,Moderate
HE,557239,12.8415,43393.53,77.08333333333333,2,2,100.0,40.27777777777778,3,3,100.0,33.33333333333333,2,2,100.0,58.407444005270094,4,4,100.0,64.58333333333334,2,2,100.0,37.5,4,4,100.0,64.58333333333334,2,2,100.0,53.68122215948303,7,100.0,Moderate
RS,691229,18.5563,37250.32,89.58333333333333,2,2,100.0,65.27777777777777,3,3,100.0,43.75,2,2,100.0,62.22002635046114,4,4,100.0,77.08333333333334,2,2,100.0,7.812499999999998,4,4,100.0,20.833333333333332,2,2,100.0,52.36575773260556,7,100.0,Moderate
T,341463,45.1307,7566.1,39.583333333333336,2,2,100.0,24.305555555555554,3,3,100.0,37.49999999999999,2,2,100.0,47.023221343873516,4,4,100.0,52.08333333333334,2,2,100.0,51.041666666666664,4,4,100.0,35.416666666666664,2,2,100.0,40.99339669991844,7,100.0,Moderate
