ward_code,population_2011,area_sq_km,population_density_per_sq_km,healthcare_stress,healthcare_indicator_count,healthcare_indicator_total,healthcare_coverage_pct,education_stress,education_indicator_count,education_indicator_total,education_coverage_pct,sanitation_stress,sanitation_indicator_count,sanitation_indicator_total,sanitation_coverage_pct,safety_stress,safety_indicator_count,safety_indicator_total,safety_coverage_pct,transport_stress,transport_indicator_count,transport_indicator_total,transport_coverage_pct,civic_stress,civic_indicator_count,civic_indicator_total,civic_coverage_pct,green_space_stress,green_space_indicator_count,green_space_indicator_total,green_space_coverage_pct,urban_stress_index,urban_stress_domain_count,urban_stress_domain_coverage_pct,urban_stress_band
GS,377749,9.7411,38778.81,12.5,1,1,100.0,19.44444444444444,3,3,100.0,83.33333333333334,1,1,100.0,72.82608695652175,2,2,100.0,29.166666666666664,2,2,100.0,40.97222222222222,3,3,100.0,81.25,2,2,100.0,48.498964803312624,7,100.0,Moderate
FN,529034,12.8536,41158.27,54.16666666666666,1,1,100.0,59.02777777777777,3,3,100.0,70.83333333333334,1,1,100.0,22.134387351778656,2,2,100.0,16.666666666666664,2,2,100.0,45.833333333333336,3,3,100.0,70.83333333333334,2,2,100.0,48.49935692326996,7,100.0,Moderate
MW,411893,17.6202,23376.21,20.833333333333336,1,1,100.0,68.05555555555556,3,3,100.0,54.16666666666666,1,1,100.0,63.63636363636363,1,2,50.0,47.91666666666667,2,2,100.0,45.138888888888886,3,3,100.0,22.916666666666664,2,2,100.0,46.09487734487734,7,100.0,Moderate
HW,307581,8.6504,35556.96,29.166666666666668,1,1,100.0,73.61111111111111,3,3,100.0,50.0,1,1,100.0,26.877470355731226,2,2,100.0,27.083333333333336,2,2,100.0,75.0,3,3,100.0,2.0833333333333317,2,2,100.0,40.54598782859652,7,100.0,Moderate
GN,599039,8.3154,72039.79,66.66666666666666,1,1,100.0,37.50000000000001,3,3,100.0,66.66666666666666,1,1,100.0,65.9090909090909,2,2,100.0,45.83333333333333,2,2,100.0,58.333333333333336,3,3,100.0,83.33333333333333,2,2,100.0,60.6060606060606,7,100.0,High
ME,807720,38.2257,21130.28,75.0,1,1,100.0,37.5,3,3,100.0,45.83333333333333,1,1,100.0,49.11067193675889,2,2,100.0,93.75,2,2,100.0,20.13888888888889,3,3,100.0,45.833333333333336,2,2,100.0,52.45231821318777,7,100.0,Moderate
E,393286,7.1725,54832.83,16.666666666666664,1,1,100.0,69.44444444444444,3,3,100.0,100.0,1,1,100.0,38.14229249011858,2,2,100.0,24.999999999999996,2,2,100.0,86.11111111111113,3,3,100.0,22.91666666666666,2,2,100.0,51.18302591128679,7,100.0,Moderate
HE,557239,12.8415,43393.53,79.16666666666666,1,1,100.0,40.27777777777778,3,3,100.0,37.5,1,1,100.0,62.64822134387352,2,2,100.0,64.58333333333334,2,2,100.0,38.88888888888889,3,3,100.0,64.58333333333334,2,2,100.0,55.37831733483909,7,100.0,Moderate
RS,691229,18.5563,37250.32,91.66666666666666,1,1,100.0,65.27777777777777,3,3,100.0,41.66666666666667,1,1,100.0,66.10671936758894,2,2,100.0,77.08333333333334,2,2,100.0,6.944444444444443,3,3,100.0,20.833333333333332,2,2,100.0,52.7969916556873,7,100.0,Moderate
T,341463,45.1307,7566.1,41.66666666666667,1,1,100.0,24.305555555555554,3,3,100.0,33.33333333333333,1,1,100.0,50.29644268774704,2,2,100.0,52.08333333333334,2,2,100.0,52.77777777777777,3,3,100.0,35.416666666666664,2,2,100.0,41.411396574440055,7,100.0,Moderate
