ward_code,school_count,aided_schools,unaided_schools,municipal_schools,healthcare_facilities,dispensaries,hospitals,maternity_hospitals,uphcs,veterinary_hospitals
GS,63,4,7,52,23,14,0,1,8,0
FN,120,24,25,71,17,7,2,1,7,0
MW,87,12,22,53,22,8,2,3,9,0
HW,71,7,28,36,14,6,1,0,7,0
GN,99,11,30,58,19,9,0,1,9,0
ME,136,13,51,72,25,10,0,1,14,0
E,86,12,24,50,23,12,3,0,8,0
HE,88,12,20,56,16,6,1,1,8,0
RS,106,22,41,43,16,5,1,1,9,0
T,80,11,23,46,13,3,2,1,7,0
N,121,22,32,67,16,8,1,0,7,0
PS,80,15,24,41,13,2,1,2,8,0
PN,167,31,74,62,30,12,2,3,13,0
B,30,9,7,14,4,2,0,0,2,0
RC,95,28,27,40,18,7,0,3,8,0
KE,138,23,44,71,36,13,1,3,19,0
L,179,36,55,88,34,14,2,1,17,0
S,144,44,45,55,30,9,1,3,17,0
RN,61,19,23,19,16,5,2,0,9,0
KW,116,17,44,55,14,5,1,0,7,1
A,27,1,13,13,12,4,4,0,3,1
C,23,5,9,9,18,12,2,1,3,0
D,63,10,30,23,5,2,0,0,3,0
FS,63,16,10,37,19,8,2,1,7,1
