ward_code,co,no2,o3,pm10,pm25,relativehumidity,so2,temperature,co_station_count,no2_station_count,o3_station_count,pm10_station_count,pm25_station_count,relativehumidity_station_count,so2_station_count,temperature_station_count,co_age_hours,no2_age_hours,o3_age_hours,pm10_age_hours,pm25_age_hours,relativehumidity_age_hours,so2_age_hours,temperature_age_hours,green_space_count,green_space_share_pct,population_2011,area_sq_km,green_spaces_per_km2,green_spaces_per_100k_population,recent_measurement_count,environmental_station_presence
A,,,,,,,,,,,,,,,,,,,,,,,,,20,2.032520325203252,185014,11.2095,1.784200901021455,10.809992757304853,0,False
B,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1016260162601626,127290,2.6582,0.37619441727484765,0.7856076675308351,0,False
C,,,,,,,,,,,,,,,,,,,,,,,,,4,0.4065040650406504,166161,1.913,2.0909566126502876,2.4073037596066467,0,False
D,,,,,,,,,,,,,,,,,,,,,,,,,30,3.048780487804878,346866,8.302,3.6135870874488076,8.648873051841345,0,False
E,0.93,7.22,9.06,23.47,9.01,66.68,0.82,31.17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,133.5,133.5,133.5,133.5,133.5,133.5,133.5,133.5,36,3.658536585365853,393286,7.1725,5.019170442662949,9.153643913081066,8,True
FN,0.33,87.07,,10.2,4.3,83.49,4.13,34.03,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,133.5,133.5,,133.5,133.5,133.5,133.5,133.5,18,1.829268292682927,529034,12.8536,1.400385884110288,3.4024278212742467,7,True
FS,0.51,20.52,15.85,41.49,16.31,53.99,2.96,23.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,133.5,133.5,133.5,133.5,133.5,133.5,133.5,133.5,3,0.3048780487804878,360972,9.8724,0.30387747660143427,0.8310893919750009,8,True
GN,,,,,,,,,,,,,,,,,,,,,,,,,10,1.016260162601626,599039,8.3154,1.202587969309955,1.6693403935303044,0,False
GS,0.82,6.0,4.8,42.0,2.0,72.0,2.9,33.5,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,133.5,133.5,133.5,133.5,133.5,133.5,133.5,133.5,10,1.016260162601626,377749,9.7411,1.026578107195286,2.6472604824896955,13,True
HE,0.36,3.55,31.19,51.48,20.13,85.93,2.37,31.23,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,133.5,133.5,133.5,133.5,133.5,133.5,133.5,133.5,21,2.1341463414634148,557239,12.8415,1.6353229762878168,3.768580447527901,22,True
HW,,,,,,,,,,,,,,,,,,,,,,,,,47,4.776422764227642,307581,8.6504,5.433274761860724,15.280527730906655,0,False
KE,0.32,7.36,11.0,29.9,15.8,,6.18,,1.0,2.0,1.0,2.0,2.0,,2.0,,133.5,133.5,133.5,133.5,133.5,,133.5,,82,8.333333333333332,823885,23.9827,3.419131290471882,9.952845360699612,10,True
KW,,,,,,,,,,,,,,,,,,,,,,,,,59,5.995934959349594,748688,24.354,2.4225999835755934,7.880452204389545,0,False
L,0.5,7.08,28.01,49.14,23.0,88.18,23.41,39.22,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,133.5,133.5,133.5,133.5,2.5,133.5,133.5,133.5,63,6.402439024390244,902225,15.6254,4.031896783442344,6.982737122114772,9,True
ME,0.31,6.86,6.15,57.95,12.55,75.96,1.67,29.64,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,133.5,133.5,133.5,133.5,133.5,133.5,133.5,133.5,73,7.41869918699187,807720,38.2257,1.909709959529845,9.037785371168226,22,True
MW,,,,,,,,,,,,,,,,,,,,,,,,,49,4.979674796747967,411893,17.6202,2.7808991952418247,11.896293454853566,0,False
N,0.4,21.34,3.0,45.86,28.13,98.08,1.49,30.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,133.5,133.5,133.5,133.5,133.5,133.5,133.5,133.5,38,3.861788617886179,622853,30.6023,1.2417367322064028,6.100958010959247,8,True
PN,0.45,14.1,18.37,55.92,22.37,0.1,3.16,23.23,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,133.5,133.5,133.5,133.5,133.5,133.5,133.5,133.5,34,3.4552845528455287,941366,46.7005,0.72804359696363,3.611772679276711,14,True
PS,,,,,,,,,,,,,,,,,,,,,,,,,46,4.67479674796748,463507,25.3956,1.8113373970294064,9.92433771226756,0,False
RC,0.14,7.6,27.06,34.74,11.0,60.01,14.83,30.77,3.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,133.5,133.5,133.5,133.5,133.5,133.5,133.5,133.5,79,8.028455284552846,562162,47.95,1.6475495307612096,14.0528886691025,18,True
RN,,,,,,,,,,,,,,,,,,,,,,,,,52,5.284552845528456,431368,14.1767,3.667990435009558,12.054672576547171,0,False
RS,,,,,,,,,,,,,,,,,,,,,,,,,71,7.215447154471545,691229,18.5563,3.8261937994104427,10.271559786988103,0,False
S,,4.88,,26.0,12.5,,6.96,,,1.0,,1.0,1.0,,1.0,,,133.5,,133.5,133.5,,133.5,,78,7.926829268292683,743783,32.5545,2.3959821222872417,10.486929655558141,4,True
T,0.65,10.23,27.0,43.92,11.45,80.09,14.81,29.4,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,133.5,133.5,133.5,133.5,133.5,133.5,133.5,133.5,60,6.097560975609756,341463,45.1307,1.3294719558969836,17.571449908189173,15,True
