ward_code,population_2011,area_sq_km,population_density_per_sq_km,healthcare_facilities,population_per_healthcare_facility,healthcare_facilities_per_100k,udise_city_schools,students_total,teachers_total,students_per_school,classrooms_total_observed,classrooms_per_100_students,teacher_student_ratio,classrooms_repair_pct,public_toilet_count,total_toilet_facilities,population_per_public_toilet,facilities_per_10000_population,police_station_count,population_per_police_station,police_stations_per_100k,fire_station_count,population_per_fire_station,fire_stations_per_100k,total_public_transport_nodes,bus_stop_count,railway_station_count,total_metro_monorail_stations,transport_nodes_per_100k,transport_nodes_per_km2,complaints_received_2024,complaints_closed_2024,unresolved_complaints_2024,closure_pct_2024,avg_resolution_days_2024,complaints_per_1000_population,unresolved_per_1000_population,green_space_count,green_space_share_pct,green_spaces_per_km2,green_spaces_per_100k_population,pm25,pm10,no2,so2,o3,co,recent_measurement_count,environmental_station_presence
GS,377749,9.7411,38778.81,23,16423.869565217392,6.0886991097263,33,9391.0,476,284.57575757575756,366,3.8973485251836864,0.0506868278138643,0.819672131147541,113,941,3342.9115044247787,24.910721140228034,1,377749.0,0.26472604824896956,1,377749.0,0.26472604824896956,219,214,4,6,57.97500456652433,22.482060547576765,3299,3064,235,93,37,8.733312331733506,0.6221062133850784,10,1.016260162601626,1.026578107195286,2.6472604824896955,2.0,42.0,6.0,2.9,4.8,0.82,13,True
FN,529034,12.8536,41158.27,17,31119.647058823528,3.213404053425678,83,52637.0,2023,634.1807228915662,1413,2.684423504379049,0.0384330413967361,0.0,199,2602,2658.462311557789,49.18398439419773,8,66129.25,1.5121901427885542,3,176344.66666666666,0.5670713035457078,315,310,3,9,59.54248687229932,24.50675297193004,4229,3693,536,87,43,7.993815142315995,1.0131673956683314,18,1.829268292682927,1.400385884110288,3.4024278212742467,4.3,10.2,87.07,4.13,,0.33,7,True
MW,411893,17.6202,23376.21,22,18722.409090909092,5.341192979730173,58,34839.0,1477,600.6724137931035,1052,3.0196044662590773,0.0423950170785613,1.7110266159695815,203,2847,2029.0295566502464,69.11989278769,0,,0.0,1,411893.0,0.24278149907864421,219,218,1,10,53.169148298223085,12.42891681138693,4032,3587,445,89,28,9.788950042850935,1.0803776708999668,49,4.979674796747967,2.7808991952418247,11.896293454853566,,,,,,,0,False
HW,307581,8.6504,35556.96,14,21970.071428571428,4.551646558142408,74,44351.0,1756,599.3378378378378,1236,2.786859371829271,0.039593244797186,1.3754045307443366,163,1648,1887.0,53.57938234156206,5,61516.2,1.6255880564794314,1,307581.0,0.3251176112958863,181,177,3,8,58.84628764455542,20.92388791269768,5048,4096,952,81,48,16.41193701821634,3.0951196595368375,47,4.776422764227642,5.433274761860724,15.280527730906655,,,,,,,0,False
GN,599039,8.3154,72039.79,19,31528.36842105263,3.1717467477075783,61,26435.0,1060,433.3606557377049,825,3.120862492907131,0.0400983544543219,0.6060606060606061,245,3405,2445.057142857143,56.84104039970686,1,599039.0,0.16693403935303044,2,299519.5,0.3338680787060609,207,200,6,2,34.5553461460773,24.89357096471607,5151,3921,1230,76,52,8.598772367074599,2.053288684042274,10,1.016260162601626,1.202587969309955,1.6693403935303044,,,,,,,0,False
ME,807720,38.2257,21130.28,25,32308.8,3.0951319764274747,115,42028.0,1782,365.46086956521737,1504,3.5785666698391547,0.0424003045588655,2.7260638297872344,446,7549,1811.0313901345291,93.46060516020403,8,100965.0,0.990442232456792,2,403860.0,0.247610558114198,190,186,2,3,23.523003020848808,4.970477976858501,4060,3530,530,87,28,5.026494329718219,0.6561679790026247,73,7.41869918699187,1.909709959529845,9.037785371168226,12.55,57.95,6.86,1.67,6.15,0.31,22,True
E,393286,7.1725,54832.83,23,17099.391304347828,5.848161388912903,45,31165.0,1050,692.5555555555555,799,2.5637734638215948,0.0336916412642387,0.2503128911138924,78,637,5042.128205128205,16.196864368423995,6,65547.66666666667,1.5256073188468442,1,393286.0,0.25426788647447407,196,191,4,5,49.83650574899691,27.326594632276052,4939,3570,1369,72,81,12.558290912974273,3.4809273658355497,36,3.658536585365853,5.019170442662949,9.153643913081066,9.01,23.47,7.22,0.82,9.06,0.93,8,True
HE,557239,12.8415,43393.53,16,34827.4375,2.8712993885926865,48,22209.0,935,462.6875,725,3.2644423431942005,0.04210004952947,0.8275862068965517,327,3995,1704.0948012232416,71.69275660892364,5,111447.8,0.8972810589352145,1,557239.0,0.1794562117870429,196,196,0,6,35.17341751026041,15.263014445352958,4317,3782,535,88,40,7.747124662846642,0.9600907330606795,21,2.1341463414634148,1.6353229762878168,3.768580447527901,20.13,51.48,3.55,2.37,31.19,0.36,22,True
RS,691229,18.5563,37250.32,16,43201.8125,2.3147176984761924,98,76445.0,2745,780.0510204081633,2209,2.8896592321276735,0.0359081692720256,0.3168854685377999,393,4274,1758.852417302799,61.83189652054529,2,345614.5,0.28933971230952404,2,345614.5,0.28933971230952404,220,219,1,4,31.827368354047646,11.85581177282109,4840,4565,275,94,14,7.002021037890482,0.3978421044255956,71,7.215447154471545,3.826193799410442,10.271559786988105,,,,,,,0,False
T,341463,45.1307,7566.1,13,26266.384615384617,3.8071474801076546,54,27546.0,1341,510.1111111111111,942,3.4197342626878675,0.0486822043127858,0.0,212,2115,1610.6745283018868,61.93936092636684,1,341463.0,0.29285749846981957,2,170731.5,0.5857149969396391,210,208,1,4,61.50007467866211,4.653151845639443,3055,2590,465,85,39,8.946796578252988,1.361787367884661,60,6.097560975609756,1.3294719558969836,17.571449908189173,11.45,43.92,10.23,14.81,27.0,0.65,15,True
