ward_code,urban_stress_index,priority_domain,priority_domain_score,domain_pressure_band,top_indicator,top_indicator_stress,evidence_indicator_count,primary_indicator_count,evidence_confidence,suggested_intervention,recommendation_basis,explanation
GS,48.498964803312624,Sanitation,83.33333333333334,Very High Relative Pressure,Population per public toilet,83.33333333333334,1,0.0,Medium,Assess public sanitation and toilet capacity,The ward has comparatively high sanitation service pressure.,Sanitation is the highest-stress domain with an indicator-level stress value of 83.33. The leading evidence indicator is 'Population per public toilet'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
FN,48.49935692326996,Sanitation,70.83333333333334,High Relative Pressure,Population per public toilet,70.83333333333334,1,0.0,Medium,Assess public sanitation and toilet capacity,The ward has comparatively high sanitation service pressure.,Sanitation is the highest-stress domain with an indicator-level stress value of 70.83. The leading evidence indicator is 'Population per public toilet'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
MW,46.09487734487734,Education,68.05555555555556,High Relative Pressure,Classrooms requiring repair,79.16666666666666,3,1.0,High,Assess school infrastructure and classroom capacity,The ward has comparatively high education-related infrastructure pressure.,Education is the highest-stress domain with an indicator-level stress value of 79.17. The leading evidence indicator is 'Classrooms requiring repair'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
HW,40.54598782859652,Civic,75.0,High Relative Pressure,"Civic complaints per 1,000 population",87.5,3,0.0,High,Prioritize civic-service response and resolution assessment,The ward has comparatively high civic complaint pressure.,"Civic is the highest-stress domain with an indicator-level stress value of 87.50. The leading evidence indicator is 'Civic complaints per 1,000 population'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions."
GN,60.6060606060606,Green Space,83.33333333333333,Very High Relative Pressure,"Green spaces per 100,000 population",87.5,2,0.0,High,Assess green-space availability and accessibility,The ward has comparatively high green-space pressure.,"Green Space is the highest-stress domain with an indicator-level stress value of 87.50. The leading evidence indicator is 'Green spaces per 100,000 population'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions."
ME,52.45231821318777,Transport,93.75,Very High Relative Pressure,Transport nodes per km²,91.66666666666666,1,1.0,Medium,Assess public transport accessibility and coverage,The ward has comparatively high transport-access pressure.,Transport is the highest-stress domain with an indicator-level stress value of 91.67. The leading evidence indicator is 'Transport nodes per km²'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
E,51.18302591128679,Sanitation,100.0,Very High Relative Pressure,Population per public toilet,100.0,1,1.0,Medium,Assess public sanitation and toilet capacity,The ward has comparatively high sanitation service pressure.,Sanitation is the highest-stress domain with an indicator-level stress value of 100.00. The leading evidence indicator is 'Population per public toilet'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
HE,55.37831733483909,Healthcare,79.16666666666666,High Relative Pressure,Population per healthcare facility,79.16666666666666,1,0.0,Medium,Assess healthcare capacity and accessibility,The ward has comparatively high healthcare service pressure.,Healthcare is the highest-stress domain with an indicator-level stress value of 79.17. The leading evidence indicator is 'Population per healthcare facility'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
RS,52.7969916556873,Healthcare,91.66666666666666,Very High Relative Pressure,Population per healthcare facility,91.66666666666666,1,0.0,Medium,Assess healthcare capacity and accessibility,The ward has comparatively high healthcare service pressure.,Healthcare is the highest-stress domain with an indicator-level stress value of 91.67. The leading evidence indicator is 'Population per healthcare facility'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions.
T,41.411396574440055,Civic,52.77777777777777,Moderate Relative Pressure,"Civic complaints per 1,000 population",54.16666666666666,3,0.0,High,Prioritize civic-service response and resolution assessment,The ward has comparatively high civic complaint pressure.,"Civic is the highest-stress domain with an indicator-level stress value of 54.17. The leading evidence indicator is 'Civic complaints per 1,000 population'. The recommendation is an analytical decision-support suggestion and should be validated with current local conditions."
