ward_code,population_per_healthcare_facility_stress,healthcare_facilities_per_100k_stress,students_per_school_stress,classrooms_per_100_students_stress,classrooms_repair_pct_stress,population_per_public_toilet_stress,facilities_per_10000_population_stress,population_per_police_station_stress,police_stations_per_100k_stress,population_per_fire_station_stress,fire_stations_per_100k_stress,transport_nodes_per_100k_stress,transport_nodes_per_km2_stress,complaints_per_1000_population_stress,unresolved_per_1000_population_stress,closure_pct_2024_stress,avg_resolution_days_2024_stress,green_spaces_per_km2_stress,green_spaces_per_100k_population_stress,population_2011,area_sq_km,population_density_per_sq_km,population_per_healthcare_facility,healthcare_facilities_per_100k,students_per_school,classrooms_per_100_students,classrooms_repair_pct,population_per_public_toilet,facilities_per_10000_population,population_per_police_station,police_stations_per_100k,population_per_fire_station,fire_stations_per_100k,transport_nodes_per_100k,transport_nodes_per_km2,complaints_per_1000_population,unresolved_per_1000_population,closure_pct_2024,avg_resolution_days_2024,green_spaces_per_km2,green_spaces_per_100k_population
GS,12.5,8.333333333333337,4.166666666666666,0.0,54.166666666666664,83.33333333333334,79.16666666666666,95.65217391304348,87.5,50.0,41.666666666666664,29.166666666666664,29.166666666666664,50.0,25.0,18.75,47.91666666666667,83.33333333333334,79.16666666666666,377749,9.7411,38778.81,16423.869565217392,6.0886991097263,284.5757575757576,3.8973485251836864,0.819672131147541,3342.9115044247787,24.910721140228038,377749.0,0.2647260482489695,377749.0,0.2647260482489695,57.97500456652433,22.482060547576765,8.733312331733506,0.6221062133850784,93,37,1.026578107195286,2.6472604824896955
FN,54.166666666666664,50.0,79.16666666666666,87.5,10.416666666666668,70.83333333333334,58.33333333333333,26.08695652173913,20.833333333333336,18.181818181818183,12.5,16.666666666666664,16.666666666666664,33.33333333333333,41.66666666666667,39.583333333333336,62.5,66.66666666666667,75.0,529034,12.8536,41158.27,31119.647058823528,3.213404053425678,634.1807228915662,2.684423504379049,0.0,2658.462311557789,49.18398439419773,66129.25,1.5121901427885542,176344.66666666666,0.5670713035457078,59.54248687229932,24.50675297193004,7.993815142315995,1.0131673956683314,87,43,1.400385884110288,3.4024278212742467
MW,20.833333333333336,16.666666666666664,75.0,50.0,79.16666666666666,54.166666666666664,33.333333333333336,,95.83333333333334,63.63636363636363,54.16666666666667,33.333333333333336,62.5,62.5,45.83333333333333,29.166666666666664,27.083333333333332,29.166666666666664,16.666666666666664,411893,17.6202,23376.21,18722.40909090909,5.341192979730173,600.6724137931035,3.0196044662590773,1.7110266159695815,2029.0295566502464,69.11989278769,,0.0,411893.0,0.2427814990786442,53.169148298223085,12.42891681138693,9.788950042850937,1.0803776708999668,89,28,2.7808991952418247,11.896293454853566
HW,29.166666666666668,25.0,70.83333333333334,83.33333333333334,66.66666666666666,50.0,54.16666666666667,17.391304347826086,12.5,36.36363636363637,29.166666666666664,20.833333333333336,33.333333333333336,87.5,70.83333333333334,58.33333333333333,66.66666666666666,0.0,4.1666666666666625,307581,8.6504,35556.96,21970.071428571428,4.551646558142408,599.3378378378378,2.786859371829271,1.3754045307443366,1887.0,53.57938234156206,61516.2,1.6255880564794314,307581.0,0.3251176112958863,58.84628764455542,20.92388791269768,16.41193701821634,3.095119659536837,81,48,5.433274761860724,15.280527730906655
GN,66.66666666666666,62.5,25.0,45.833333333333336,41.66666666666667,66.66666666666666,50.0,100.0,91.66666666666666,31.818181818181817,25.0,79.16666666666666,12.5,41.66666666666667,58.333333333333336,66.66666666666667,75.0,79.16666666666666,87.5,599039,8.3154,72039.79,31528.36842105263,3.1717467477075783,433.3606557377049,3.120862492907131,0.6060606060606061,2445.057142857143,56.84104039970686,599039.0,0.1669340393530304,299519.5,0.3338680787060609,34.5553461460773,24.89357096471607,8.598772367074599,2.053288684042274,76,52,1.202587969309955,1.6693403935303044
ME,75.0,70.83333333333333,12.5,8.333333333333337,91.66666666666666,45.83333333333333,8.333333333333337,39.130434782608695,33.333333333333336,59.09090909090909,50.0,95.83333333333334,91.66666666666666,4.166666666666666,29.166666666666668,39.583333333333336,27.083333333333332,45.833333333333336,45.833333333333336,807720,38.2257,21130.28,32308.8,3.0951319764274747,365.46086956521737,3.5785666698391547,2.7260638297872344,1811.0313901345287,93.46060516020404,100965.0,0.990442232456792,403860.0,0.247610558114198,23.523003020848808,4.970477976858501,5.026494329718219,0.6561679790026247,87,28,1.909709959529845,9.037785371168226
E,16.666666666666664,12.5,91.66666666666666,95.83333333333334,20.833333333333336,100.0,91.66666666666666,21.73913043478261,16.666666666666664,54.54545454545454,45.833333333333336,41.666666666666664,8.333333333333337,83.33333333333334,75.0,70.83333333333333,100.0,4.1666666666666625,41.666666666666664,393286,7.1725,54832.83,17099.391304347828,5.848161388912903,692.5555555555555,2.5637734638215948,0.2503128911138924,5042.128205128205,16.196864368423995,65547.66666666667,1.5256073188468442,393286.0,0.254267886474474,49.83650574899691,27.32659463227605,12.558290912974272,3.4809273658355497,72,81,5.019170442662949,9.153643913081066
HE,79.16666666666666,75.0,29.166666666666668,33.333333333333336,58.333333333333336,37.5,29.166666666666664,43.47826086956522,37.5,81.81818181818183,70.83333333333333,75.0,54.16666666666667,20.833333333333336,37.5,33.333333333333336,58.333333333333336,62.5,66.66666666666667,557239,12.8415,43393.53,34827.4375,2.8712993885926865,462.6875,3.2644423431942005,0.8275862068965517,1704.0948012232416,71.69275660892364,111447.8,0.8972810589352145,557239.0,0.1794562117870429,35.17341751026041,15.263014445352958,7.747124662846642,0.9600907330606796,88,40,1.6353229762878168,3.768580447527901
RS,91.66666666666666,87.5,100.0,70.83333333333333,25.0,41.66666666666667,45.833333333333336,91.30434782608695,83.33333333333334,40.909090909090914,33.333333333333336,87.5,66.66666666666667,8.333333333333332,8.333333333333332,10.416666666666663,4.166666666666666,12.5,29.166666666666664,691229,18.5563,37250.32,43201.8125,2.3147176984761924,780.0510204081633,2.889659232127673,0.3168854685377999,1758.852417302799,61.83189652054529,345614.5,0.289339712309524,345614.5,0.289339712309524,31.82736835404765,11.85581177282109,7.002021037890482,0.3978421044255956,94,14,3.826193799410442,10.271559786988105
T,41.66666666666667,37.5,45.83333333333333,16.666666666666664,10.416666666666668,33.33333333333333,41.666666666666664,86.95652173913044,79.16666666666666,13.636363636363635,8.333333333333337,8.333333333333337,95.83333333333334,54.166666666666664,50.0,45.833333333333336,54.166666666666664,70.83333333333333,0.0,341463,45.1307,7566.1,26266.384615384617,3.807147480107655,510.1111111111111,3.4197342626878675,0.0,1610.6745283018868,61.93936092636684,341463.0,0.2928574984698195,170731.5,0.5857149969396391,61.50007467866211,4.653151845639443,8.946796578252988,1.361787367884661,85,39,1.3294719558969836,17.571449908189173
N,87.5,83.33333333333334,54.166666666666664,58.33333333333333,87.5,25.0,12.5,60.86956521739131,54.16666666666667,90.9090909090909,79.16666666666666,83.33333333333334,87.5,45.83333333333333,33.33333333333333,25.0,37.5,75.0,62.5,622853,30.6023,20353.16,38928.3125,2.568824425667052,547.1444444444444,2.9303657372621488,2.0097020097020097,1253.225352112676,84.86753696297521,155713.25,0.6422061064167629,622853.0,0.1605515266041907,32.431408374046526,6.600811050149826,8.714736864075473,0.7401425376453192,92,33,1.2417367322064028,6.100958010959247
PS,83.33333333333334,79.16666666666666,95.83333333333334,79.16666666666666,37.5,29.166666666666668,37.5,56.52173913043478,50.0,27.27272727272727,20.833333333333336,12.5,70.83333333333333,79.16666666666666,87.5,79.16666666666666,41.66666666666667,50.0,37.5,463507,25.3956,18251.45,35654.38461538462,2.804704136075615,720.2608695652174,2.853233530524367,0.5641748942172073,1305.6535211267606,66.94613026340487,154502.33333333334,0.6472394160174496,231753.5,0.4314929440116331,60.84050510564026,11.10428578178897,11.1238880966199,4.405542958358773,60,35,1.8113373970294064,9.92433771226756
PN,62.5,58.33333333333333,37.5,41.666666666666664,70.83333333333334,8.333333333333332,0.0,73.91304347826086,66.66666666666667,77.27272727272727,66.66666666666667,70.83333333333333,79.16666666666666,25.0,83.33333333333334,83.33333333333334,91.66666666666666,87.5,70.83333333333333,941366,46.7005,20157.51,31378.866666666665,3.186858246420627,490.5,3.123343527013252,1.4795474325500435,744.751582278481,104.06154460645487,188273.2,0.5311430410701045,470683.0,0.2124572164280418,35.79904096812504,7.216196828727744,7.783370123841311,4.260829475464378,45,68,0.72804359696363,3.611772679276711
B,70.83333333333334,66.66666666666667,41.66666666666667,37.5,10.416666666666668,87.5,83.33333333333334,8.695652173913043,4.1666666666666625,9.090909090909092,4.1666666666666625,45.833333333333336,25.0,100.0,100.0,95.83333333333334,95.83333333333334,91.66666666666666,95.83333333333334,127290,2.6582,47885.44,31822.5,3.1424306701233404,508.6190476190476,3.20194738320382,0.0,3349.736842105264,21.604210857097964,42430.0,2.356823002592505,63645.0,1.5712153350616702,48.707675386911774,23.324053871040554,23.71749548275591,16.128525414408045,32,79,0.3761944172748476,0.7856076675308351
RC,58.333333333333336,54.16666666666667,33.33333333333333,4.1666666666666625,33.33333333333333,62.5,66.66666666666667,52.17391304347826,45.833333333333336,86.36363636363636,75.0,25.0,83.33333333333334,58.333333333333336,20.833333333333336,10.416666666666663,20.833333333333336,58.33333333333333,8.333333333333337,562162,47.95,11723.92,31231.222222222223,3.201924000555,486.904109589041,3.769975241953635,0.5223880597014926,2195.9453125,38.9567420067525,140540.5,0.71153866679,562162.0,0.1778846666975,58.701940010175,6.882168925964546,9.5559642949897,0.6030290201045251,94,23,1.6475495307612096,14.0528886691025
KE,33.33333333333333,29.166666666666664,62.5,62.5,29.166666666666668,12.5,16.666666666666664,34.78260869565217,29.166666666666664,68.18181818181817,58.33333333333333,58.33333333333333,50.0,66.66666666666666,54.166666666666664,52.08333333333333,79.16666666666666,25.0,33.333333333333336,823885,23.9827,34353.28,22885.694444444445,4.369541865673001,556.6990291262136,2.929891873038019,0.3571428571428571,1024.7325870646766,77.15882677800907,82388.5,1.213761629353611,411942.5,0.2427523258707222,45.880189589566506,15.761361314614284,9.886088471085165,1.6009515891174133,84,59,3.419131290471882,9.952845360699612
L,45.83333333333333,41.666666666666664,58.333333333333336,91.66666666666666,62.5,20.833333333333336,20.833333333333336,82.6086956521739,75.0,100.0,87.5,91.66666666666666,41.666666666666664,29.166666666666668,66.66666666666666,75.0,14.583333333333334,8.333333333333337,58.33333333333333,902225,15.6254,57740.88,26536.029411764703,3.768461303998449,552.2018348623853,2.681508556238578,1.3011152416356877,1130.607769423559,74.38277591509879,225556.25,0.4433483887056998,902225.0,0.1108370971764249,28.59597107151764,16.511577303621028,7.810690238022667,2.366372024716673,70,20,4.031896783442344,6.982737122114772
S,37.5,33.333333333333336,50.0,20.833333333333336,75.0,4.166666666666666,4.1666666666666625,69.56521739130434,62.5,,93.75,66.66666666666667,75.0,37.5,91.66666666666666,87.5,70.83333333333334,37.5,25.0,743783,32.5545,22847.32,24792.766666666663,4.033434482906977,516.4,3.32370959791564,1.4830508474576272,713.1188878235859,98.10657140590736,185945.75,0.537791264387597,,0.0,38.72097103590698,8.846703220752891,8.3639986393881,4.772897471439923,43,50,2.3959821222872417,10.48692965555814
RN,50.0,45.833333333333336,83.33333333333334,25.0,10.416666666666668,16.666666666666664,25.0,78.26086956521739,70.83333333333333,72.72727272727273,62.5,54.16666666666667,58.33333333333333,12.5,4.166666666666666,0.0,8.333333333333332,16.666666666666664,12.5,431368,14.1767,30427.95,26960.5,3.709130023552976,645.3448275862069,3.304835693294149,0.0,1092.0708860759494,72.5830381484023,215684.0,0.4636412529441219,431368.0,0.2318206264720609,47.29140780030044,14.38980862965288,7.339441034105451,0.1043192819124274,99,15,3.667990435009558,12.054672576547173
