ward_code,population_2011,male_population_2011,female_population_2011,sc_population_2011,sc_male_population_2011,sc_female_population_2011,st_population_2011,st_male_population_2011,st_female_population_2011,male_share_pct,female_share_pct,sc_share_pct,st_share_pct
A,185014,101227,83787,13634,6837,6797,3193,1675,1518,54.71,45.29,7.37,1.73
B,127290,70445,56845,5338,2648,2690,1089,660,429,55.34,44.66,4.19,0.86
C,166161,98027,68134,2308,1147,1161,378,207,171,59.0,41.0,1.39,0.23
D,346866,182988,163878,16844,8217,8627,1629,877,752,52.75,47.25,4.86,0.47
E,393286,216067,177219,22214,11302,10912,2607,1393,1214,54.94,45.06,5.65,0.66
FN,529034,285184,243850,37217,19086,18131,5833,3186,2647,53.91,46.09,7.03,1.1
FS,360972,190739,170233,26181,13157,13024,2530,1324,1206,52.84,47.16,7.25,0.7
GN,599039,331169,267870,58499,29862,28637,3779,2065,1714,55.28,44.72,9.77,0.63
GS,377749,208762,168987,37699,19308,18391,4055,2101,1954,55.26,44.74,9.98,1.07
HE,557239,305866,251373,34495,17779,16716,4180,2447,1733,54.89,45.11,6.19,0.75
HW,307581,161697,145884,9711,4846,4865,2864,1500,1364,52.57,47.43,3.16,0.93
KE,823885,440655,383230,33764,17287,16477,7617,3957,3660,53.49,46.51,4.1,0.92
KW,748688,401462,347226,20633,10580,10053,6780,3531,3249,53.62,46.38,2.76,0.91
L,902225,500613,401612,58884,30325,28559,5676,3070,2606,55.49,44.51,6.53,0.63
ME,807720,436557,371163,78104,40340,37764,9874,5220,4654,54.05,45.95,9.67,1.22
MW,411893,217631,194262,73874,37971,35903,3975,2121,1854,52.84,47.16,17.94,0.97
N,622853,332627,290226,50998,26266,24732,6814,3676,3138,53.4,46.6,8.19,1.09
PN,941366,507517,433849,38590,20128,18462,10467,5444,5023,53.91,46.09,4.1,1.11
PS,463507,249502,214005,27651,14269,13382,7554,3880,3674,53.83,46.17,5.97,1.63
RC,562162,289153,273009,27325,13913,13412,8245,4199,4046,51.44,48.56,4.86,1.47
RN,431368,233710,197658,14060,7367,6693,5597,2906,2691,54.18,45.82,3.26,1.3
RS,691229,379319,311910,31166,16424,14742,8424,4553,3871,54.88,45.12,4.51,1.22
S,743783,398858,344925,60833,31110,29723,9609,5080,4529,53.63,46.37,8.18,1.29
T,341463,176156,165307,23214,11686,11528,6884,3449,3435,51.59,48.41,6.8,2.02
