toilet_id,object_id,object_id_1,address,bmc_department,female_facilities,male_facilities,ward_code_source,twitter,latitude,longitude,source,source_file,verification_status,total_facilities,coordinate_valid,source_ward,gis_ward,ward_match,urban_ward_code
bf6e1807-76f0-4140-baf5-b708c3ee1e03,203,203,"Shiv Tekdi K.S.Road,Jogeshwari-E",Solid Waste Management,4,6,KE,@mybmcSWM,19.1416667,72.8583333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True,KE,PS,False,PS
a90c2252-49ab-49e9-ac9a-224007aafcef,210,210,"Devi Kutir Chawl,Anand Nagar,Datta Tekdi,Jogeshwari-E",Solid Waste Management,4,4,KE,@mybmcSWM,19.1416667,72.8583333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,8,True,KE,PS,False,PS
1d06ea78-3e49-435c-b2bf-66bec2f4cef6,215,215,"Madoja Chawl,Pratap Nagar,Bus Stop,Jogeshwari-E",Solid Waste Management,4,4,KE,@mybmcSWM,19.1416667,72.8583333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,8,True,KE,PS,False,PS
34f3d785-03a6-48d7-9dba-9208a41a5b58,536,536,Gaodevi Filterpada Pawai,Solid Waste Management,6,6,S,@mybmcSWM,19.1391667,72.8944444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True,S,PS,False,PS
ad287255-6492-489a-8032-ea0415be19e7,821,821,Shinde Chawl Gaodevi Filterpade Pawai,Solid Waste Management,6,0,S,@mybmcSWM,19.1394444,72.8941667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True,S,PS,False,PS
9eeeeb64-4d11-44ea-9fdb-71328998b192,1008,1008,Ram Rahim Soc Filler Pada Patha Wadi Pawai,Solid Waste Management,3,3,S,@mybmcSWM,19.1416667,72.8936111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True,S,PS,False,PS
a9f1c3b5-7715-47a9-92f3-87387ea930cf,1082,1082,Best Nagar Filler Pada Patham Wadi Pawai,Solid Waste Management,4,4,S,@mybmcSWM,19.1422222,72.8933333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,8,True,S,PS,False,PS
b42eef5c-98d7-4d6d-af1d-b14c5c76f25d,1177,1177,Shinde Chawl Gaodevi Filterpade Pawai,Solid Waste Management,4,4,S,@mybmcSWM,19.1394444,72.8938889,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,8,True,S,PS,False,PS
4a3aaac1-42ff-4d9a-9d93-fa8815b29c71,1178,1178,Shree Ganesh Welfare Society Gaovdevi Filder Pada Aarey Road Pawai,Solid Waste Management,3,3,S,@mybmcSWM,19.1386111,72.8933333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True,S,PS,False,PS
47a366ff-a4bf-468c-83ab-cc6cba0f68bb,1411,1411,"Lokmanya Seva Sangh,Nr.Balwadi,Gajdhar Band Rd.Santacruz(W),Mumbai-54",Solid Waste Management,6,6,HW,@mybmcSWM,19.0483333,72.8638889,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True,HW,GN,False,GN
f39c4bb9-4015-49b7-a0c8-45b692343d79,1412,1412,"Before Dharmashala,Jay Jawan Chawl,Dattatray Rd.Santacruz(W),Mumbai-54",Solid Waste Management,0,16,HW,@mybmcSWM,19.0866667,72.8338889,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True,HW,KW,False,KW
b1980651-c084-420b-a271-c61cb91b3ebe,1413,1413,"Behind Raheja College,Dattatray Rd.Santacruz(W),Mumbai-54",Solid Waste Management,16,16,HW,@mybmcSWM,19.0866667,72.8341667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,32,True,HW,KW,False,KW
58888725-2ee0-4e48-ad70-3298b3f3b83c,1414,1414,"Navyuvak Selfare Society,Behind Hindu Cementri,Dattatray Rd.Santacruz(W),Mumbai-54",Solid Waste Management,6,8,HW,@mybmcSWM,19.0866667,72.8341667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True,HW,KW,False,KW
07648805-6582-4683-bfda-5f03f0369e3a,1416,1416,"Shashri Nagar,Chunabhatti,Off.Shaheguruji H.School,S.V.Rd.Santacruz(W),Mumbai-54",Solid Waste Management,10,0,HW,@mybmcSWM,19.0888889,72.8358333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True,HW,KW,False,KW
d03d5f28-e808-43c0-aee6-e6047df81d57,1417,1417,"Shashri Nagar,Chunabhatti,Off.Saheguruji H.School,S.V.Rd.Santacruz(W,Mumbai-54",Solid Waste Management,6,6,HW,@mybmcSWM,19.0886111,72.8358333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True,HW,KW,False,KW
5b6a5b2c-f1a1-4d0e-b54c-b4a897e4c6ed,1418,1418,"Shashri Nagar,Chunabhatti,Off.Saheguruji Highschool,S.V.Rd.Santacruz(W),Mumbai-54",Solid Waste Management,6,6,HW,@mybmcSWM,19.0886111,72.8358333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True,HW,KW,False,KW
941ab479-08e0-4f4e-a62e-6db141a96dab,1419,1419,"Behind Relience Mart,Nr,Emigration Off.S.V.Rd.Santacruz(W),Mumbai-54",Solid Waste Management,5,5,HW,@mybmcSWM,19.0886111,72.8366667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True,HW,KW,False,KW
4966ca93-84e6-46dc-8051-f3400bf93041,1420,1420,"Behind Reliance Mart,S.V.Road,Santacruz(W)",Solid Waste Management,0,4,HW,@mybmcSWM,19.0886111,72.8366667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,4,True,HW,KW,False,KW
e3616155-a848-4f10-adbb-aaf4b12119ce,1492,1492,"Hari Shankar Chawl,Indira Nagar,Lalji Pada,Rajdev School,Kandivali (W),Mumbai",Solid Waste Management,6,10,RS,@mybmcSWM,19.2002778,72.8372222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True,RS,PN,False,PN
375e96a0-268e-4c48-9cb1-115508391470,1493,1493,"Shastri Nagar,Irani Wadi,Road No.4,Lalji Pada,Kandivali (W),Mumbai",Solid Waste Management,7,7,RS,@mybmcSWM,19.2002778,72.8369444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True,RS,PN,False,PN
0c528906-2a25-4892-bd11-a4dabf449b75,1584,1584,"Prathmesh Chawl Gruh Sanstha,Chawl No.7,Janupada,Pandey Compoundthakur Village,Kandivali(E",Solid Waste Management,7,7,RS,@mybmcSWM,19.2144444,72.8777778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True,RS,RC,False,RC
c33198e7-1abd-46fb-ba83-aced78361275,1590,1590,"Pay & Use Ekta Mitra Mandal,Jai Hind Chawl,Kaju Pada,Nr.Macchi Mkt.Gaondevi Rd,Poisar,Kan.",Solid Waste Management,7,9,RS,@mybmcSWM,19.2130556,72.8591667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True,RS,RC,False,RC
d319d253-8688-43c7-b9e9-bd2a858a618a,1593,1593,"Pragati Shakti Griha Nirman,Firdos Compound,Gaondevi Road,Poisar,Kandivali (E)",Solid Waste Management,6,10,RS,@mybmcSWM,19.2130556,72.8580556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True,RS,RC,False,RC
b1277d9c-4fce-44ee-a69d-d0f89ae53a1b,1597,1597,"Dhiraj Singh Chawl,Gaondevi Road,Poisar,Kandivali (E)",Solid Waste Management,8,8,RS,@mybmcSWM,19.2136111,72.855,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True,RS,RC,False,RC
e9a370af-64b7-412f-b861-c44f132096de,1598,1598,"Gopal Chawl,Nr.Dr.Babasaheb Ambedkar Nagar,Gaondevi Raod,Poisar,Kandivali (E)",Solid Waste Management,2,2,RS,@mybmcSWM,19.2136111,72.8552778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,4,True,RS,RC,False,RC
fb2387a7-83dc-476d-96af-1341224d0ef3,1599,1599,"Dr.Babasaheb Ambedkar Nagar,Nr.Subway,Nr.Well Lain Center,Gaondevi Road,Poisar,Kandivali-E",Solid Waste Management,7,7,RS,@mybmcSWM,19.2136111,72.8555556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True,RS,RC,False,RC
6eefb08b-a39f-4387-bf14-6ae4dcc78626,1632,1632,"Seva Shauchalay,Pay & Use,Opp.Nazir Chawl,Front Of Bp,Opp.Thakur Kamp,Kandivali(E)",Solid Waste Management,2,8,RS,@mybmcSWM,19.2130556,72.86,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True,RS,RC,False,RC
a0237b64-3a93-4929-9e42-ea66abbbecb9,1644,1644,"Malkani Estate, Near Noor Masjid, Bandongri, Kandivili (E)",Solid Waste Management,4,4,RS,@mybmcSWM,19.1938889,72.8591667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,8,True,RS,PN,False,PN
248dbfa6-02cb-4b7a-9c85-4b93d6224250,1648,1648,"Swarajya Chawl,Committee.Shri Ram Nagar,Dhobi Ghat,Malad(E)",Solid Waste Management,6,8,RS,@mybmcSWM,19.1925,72.8647222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True,RS,PN,False,PN
e030a81d-6c9e-4bd3-bdd9-e5d3678bb6bb,1700,1700,"Buwa Chawl,Souchalay Shankar Len Kaju Pada,Kandivali (W),Mumbai-67",Solid Waste Management,2,2,RS,@mybmcSWM,19.1988889,72.8427778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,4,True,RS,PN,False,PN
34f1b485-843f-40bf-b384-20b1c15888b1,1767,1767,"Shriram Nagar,Kandivali (E)",Solid Waste Management,16,16,RS,@mybmcSWM,19.2108333,72.8077778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,32,True,RS,PN,False,PN
bcc2a525-1330-4222-9880-ef35a943db03,1768,1768,"Shiv Sai Welfare Society,Kandivali (E)",Solid Waste Management,8,10,RS,@mybmcSWM,19.2108333,72.8077778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,18,True,RS,PN,False,PN
6b6c57a7-021c-4f06-af07-0ec5f681db22,1769,1769,"Masjid Chawl,Wadarpada,Kandivali (E)",Solid Waste Management,0,8,RS,@mybmcSWM,19.2108333,72.8077778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,8,True,RS,PN,False,PN
7066402e-6052-4b0c-be42-7c417b6f73c5,1770,1770,"Masjid Chawl,Wadarpada,Kandivali (E)",Solid Waste Management,5,0,RS,@mybmcSWM,19.2108333,72.8077778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,5,True,RS,PN,False,PN
e00ab601-215e-4d31-89db-3421e7cfda06,1771,1771,"Ekta Seva Sangh,Kandivali (E)",Solid Waste Management,8,12,RS,@mybmcSWM,19.2108333,72.8077778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,20,True,RS,PN,False,PN
6cd44865-0a64-4bcb-bd3d-d3d05f86601d,1941,1941,"Aarey Milk Colony,Picknick Point,Goregaon (E) Mumbai-65",Solid Waste Management,2,2,PS,@mybmcSWM,19.1369444,72.8827778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,4,True,PS,KE,False,KE
8272c8bc-dabd-4928-8ae6-29f7aab32210,1943,1943,"Aarey Milk Colony,Unit No.22,Goregaon (E) Mumbai-65",Solid Waste Management,5,5,PS,@mybmcSWM,19.1358333,72.8852778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True,PS,KE,False,KE
1176b865-49f3-4c84-b9a4-c6c8fb2820e9,1944,1944,"Aarey Milk Colony,Unit No.22,Goregaon (E) Mumbai-65",Solid Waste Management,5,5,PS,@mybmcSWM,19.1361111,72.8858333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True,PS,KE,False,KE
14bb25e2-d4f5-40ef-877e-e01c0d1f4c9f,1945,1945,"Aarey Milk Colony,Unit No.22,Goregaon (E) Mumbai-65",Solid Waste Management,2,1,PS,@mybmcSWM,19.1361111,72.8858333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,3,True,PS,KE,False,KE
3f7a9fd4-2885-4d53-9d24-f6302ffc1647,1946,1946,"Aarey Milk Colony,Unit No.22,Goregaon (E) Mumbai-65",Solid Waste Management,3,3,PS,@mybmcSWM,19.1369444,72.8863889,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True,PS,KE,False,KE
3851d53d-e8b4-49d6-9278-b4bdcfffa6b4,1947,1947,"Aarey Milk Colony,Unit No.22,Goregaon (E) Mumbai-65",Solid Waste Management,6,4,PS,@mybmcSWM,19.1372222,72.8858333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True,PS,KE,False,KE
f22693c0-537d-4344-b5f0-a2243ff02450,1949,1949,"Aarey Milk Colony,Unit No.22,Naglok Buddha Vihar,Goregaon (W) Mumbai-65",Solid Waste Management,6,6,PS,@mybmcSWM,19.1366667,72.8872222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True,PS,KE,False,KE
6ff0e765-586f-4a07-bddd-cce7e8c99771,1950,1950,"Aaray Milk Colony,Unit No.22,Nr.Nglok Buddha Vihar,Goregaon (E) Mumbai-65",Solid Waste Management,6,10,PS,@mybmcSWM,19.1361111,72.8866667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True,PS,KE,False,KE
c6c50574-e3a1-4b24-b50d-91cc77e78810,1951,1951,"Aarey Milk Colony,Unit No.21,Tapeshwar Pada,Goregaon,Mumbai-65",Solid Waste Management,2,2,PS,@mybmcSWM,19.1338889,72.8886111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,4,True,PS,KE,False,KE
9397df11-f9f1-4a69-bcba-841d1da8481c,2016,2016,"Kakichi Chawl,Shauchalay Ram Nagar,Badrekarwadi,Goregaon (E) Mumbai-63",Solid Waste Management,4,4,PS,@mybmcSWM,19.1430556,72.8522222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,8,True,PS,KE,False,KE
f9db1852-410c-472b-9cfe-538d7b97ad6c,2018,2018,"Parwati Niwas Chawl No.2 Shauchalay,Ram Nagar,Goregaon (E) Mumbai-60",Solid Waste Management,3,3,PS,@mybmcSWM,19.1433333,72.8519444,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True,PS,KE,False,KE
2e31c02b-e99d-41ac-aaa3-3d0c034ff2f6,2098,2098,"Joshi Chawl,Hanuman Nagar,Jogeshwari (E) Mumbai-60",Solid Waste Management,1,1,PS,@mybmcSWM,19.1430556,72.8525,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True,PS,KE,False,KE
1488b61f-52c4-436f-a9de-4438c8c79c6d,2102,2102,"Fakir Nagar Chawl,Shri Krishna Nagar,Bandrekarwadi,Jogeshwari (E) Mumbai-60",Solid Waste Management,3,3,PS,@mybmcSWM,19.1422222,72.8530556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True,PS,KE,False,KE
b4ae282a-99d7-4681-88ea-929416d16e05,2103,2103,"Mann Mandir Chawl,Hanuman Nagar,Bandrekarwadi,Jogeshwari (E) Mumbai-60",Solid Waste Management,2,1,PS,@mybmcSWM,19.1425,72.8533333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,3,True,PS,KE,False,KE
c78f2b4d-faee-45ae-bdc0-c32cbcdcb34f,2104,2104,"Savitri Sadan Chawl,Hanuman Nagar,Bandrekarwadi,Jogeshwari (E) Mumbai-60",Solid Waste Management,2,4,PS,@mybmcSWM,19.1425,72.8533333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True,PS,KE,False,KE
db784cae-7761-4762-9f9c-f35d167c25f5,2137,2137,"Shauchalay Kalekar Chawl,Sion Bandra Link Road,Kala Killa,Dharavi,Mumbai-17",Solid Waste Management,5,5,HE,@mybmcSWM,19.0488889,72.8580556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True,HE,GN,False,GN
c628291f-4a30-4a95-8289-5756ba5fb9fa,2138,2138,Shouchalay New Parsi Chawl Sion Bandra Link Road Kala Killa Dharavi Mumbai-17,Solid Waste Management,9,9,HE,@mybmcSWM,19.0491667,72.8586111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,18,True,HE,GN,False,GN
2ea4d058-7ab0-47f6-a35f-3b0f80ade8e0,2139,2139,Shouchalay New Parsi Chawl Sion Bandra Link Road Kala Killa Dharavi Mumbai-17,Solid Waste Management,13,0,HE,@mybmcSWM,19.0494444,72.8586111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,13,True,HE,GN,False,GN
e129830f-b19e-4cd9-8b55-a4a78f245e30,2140,2140,Shouchalay New Parsi Chawl Sion Bandra Link Road Kala Killa Dharavi Mumbai-17,Solid Waste Management,6,6,HE,@mybmcSWM,19.0494444,72.8586111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True,HE,GN,False,GN
59789a7d-a03a-4be2-9014-75fbc08c76ca,2141,2141,"Shauchalay New Parsi Chawl,Sion Bandra Link Road,Kala Killa,Dharavi,Mumai-17",Solid Waste Management,0,14,HE,@mybmcSWM,19.0497222,72.8588889,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True,HE,GN,False,GN
95cde9b2-9745-4a43-8e44-e9487b3ebfb2,2142,2142,"Shauchalay Rewa Ford Colony,Kala Killa Road,Dharavi,Mumabi-17",Solid Waste Management,10,10,HE,@mybmcSWM,19.0508333,72.86,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,20,True,HE,GN,False,GN
1bcd6ff4-6f50-417e-ac1b-d3e080ed73b3,2143,2143,Shouchalay Sagram Nagar Lokseva Shouchalay Priyadarshani Rahivashi Sangh Dharavi Mumbai,Solid Waste Management,10,10,HE,@mybmcSWM,19.0494444,72.8616667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,20,True,HE,GN,False,GN
a73c4ac9-384e-4998-9b85-5109c322d724,2144,2144,Shouchalay Sagram Nagar Chawl Kalakilla Dharavi Mumbai-17,Solid Waste Management,6,8,HE,@mybmcSWM,19.0494444,72.8611111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True,HE,GN,False,GN
866c7183-ad21-40c0-8fe5-63ab00590e6b,2145,2145,"Shauchalay Shiv Ganga Chawl,Kala Killa Rohidas Bandra Link Road,Dharavi,Mumbai-77",Solid Waste Management,6,9,HE,@mybmcSWM,19.0494444,72.8605556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,15,True,HE,GN,False,GN
8577463e-4724-43ae-b969-d377c97b4bbc,2146,2146,Shouchalay Kaka Killa Road Sant Rohidas Road Bandra Link Road Dharavi Mumbai,Solid Waste Management,0,28,HE,@mybmcSWM,19.0491667,72.86,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,28,True,HE,GN,False,GN
6df1828d-d036-48bc-b57a-1a07efb8a972,2276,2276,"Dowri Nagar,Gate No.3,Adarsh Lane,Santacruz (E)",Solid Waste Management,0,11,HE,@mybmcSWM,19.0936111,72.8522222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,11,True,HE,KE,False,KE
a50423e3-64fc-4884-a47e-e463e3260cdc,2309,2309,"Kopoor Collage,Golibar,Santacruz (E)",Solid Waste Management,1,1,HE,@mybmcSWM,19.0833333,72.8608333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True,HE,KE,False,KE
85836f5e-4d04-4dd2-bee3-32a21090dff6,2310,2310,"Shivaji Chowk,Golibar,Santacruz (E)",Solid Waste Management,8,10,HE,@mybmcSWM,19.0833333,72.8611111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,18,True,HE,KE,False,KE
f8d3e752-a81f-4008-b8c4-89f61c314aab,2311,2311,"Golibar Road No.7,Santacruz (E)",Solid Waste Management,0,2,HE,@mybmcSWM,19.0833333,72.8608333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True,HE,KE,False,KE
7e438843-5ca1-42fa-a3b7-d7f6d28cb0cf,2312,2312,"Golibar Road No.7,Santacruz",Solid Waste Management,2,0,HE,@mybmcSWM,19.0833333,72.8611111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True,HE,KE,False,KE
a8fd1ed2-da9c-4b00-b57b-234aa5ad15aa,2313,2313,"Yaqoob Chawl,Golibar Road No.6,Santacruz (E)",Solid Waste Management,1,2,HE,@mybmcSWM,19.0833333,72.8608333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,3,True,HE,KE,False,KE
07ea51c6-eec5-46f8-b8f6-5a01be0ba55e,2314,2314,"Hanuman Tekadi,Gate No.4,Service Road,Santacruz (E)",Solid Waste Management,3,4,HE,@mybmcSWM,19.0833333,72.8608333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,7,True,HE,KE,False,KE
3e68f81a-9125-4156-93d8-36ea82bb10db,2315,2315,"Hanuman Tekadi,Gate No.4,Service Road,Santacruz (E)",Solid Waste Management,5,5,HE,@mybmcSWM,19.0833333,72.8608333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True,HE,KE,False,KE
ea0eae90-1cc0-4c0e-97a5-3f0e9cd003f8,2316,2316,"Hanuman Tekadi,Gate No.4,S.Road,Santacruz (E)",Solid Waste Management,6,6,HE,@mybmcSWM,19.0833333,72.8608333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True,HE,KE,False,KE
ebb13eeb-acc4-4e62-848f-5f3d0b11dbae,2317,2317,"Hanuman Tekadi,Gate No.2,Awlabai Chawl,Santacruz (E)",Solid Waste Management,10,10,HE,@mybmcSWM,19.0833333,72.8608333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,20,True,HE,KE,False,KE
a76e8db3-57e8-4f88-b237-f2391c0cda32,2318,2318,"Hanif Chawl,Hanuman Tekadi,Gate No.1,Santacruz (E)",Solid Waste Management,0,6,HE,@mybmcSWM,19.0836111,72.8608333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True,HE,KE,False,KE
53d323d7-4f60-4d72-9678-11d5efddb91c,2319,2319,"Hanif Chawl,Hanuman Tekadi,Gate No.1,Santacruz (E)",Solid Waste Management,0,14,HE,@mybmcSWM,19.0836111,72.8608333,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True,HE,KE,False,KE
