school_id,school_name,school_category,school_type,address,class_from,class_to,ward_code_source,latitude,longitude,source_file,source_id,website,source,verification_status,coordinate_valid,geometry,ward_code_source_raw,gis_ward,urban_ward_code,validation_status
SCH_00036,SMT. PANCHIBEN KARAMASHI GANGAR HINDI PRI SCH.,aided,3-Co-educational,swami viekanand education centre misquitta nagar vidya mandir marg dahsiar east,1,4,RN,19.223593,72.865615,Mumbai Aided Schools Map.kml,36,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.865615 19.223593 0),RN,RC,RC,ward_mismatch
SCH_00074,DYNYANGANGA ED. TRUST SCHOOL,aided,3-Co-educational,DURGA NAGAR KRANTI NAGAR RD KANDIVALI E MUMBAI,1,4,RS,19.193692,72.868368,Mumbai Aided Schools Map.kml,74,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.868368 19.193692 0),RSWARD,PN,PN,ward_mismatch
SCH_00077,SHRIRAM VIDYAMANDIR HINDI,aided,3-Co-educational,"BAHUJANHITAYCHAWLKRANTINAGAR,KANDIVALIE, MUMBAI",1,4,RS,19.192813,72.875783,Mumbai Aided Schools Map.kml,77,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.875783 19.192813 0),RSWARD,PN,PN,ward_mismatch
SCH_00108,DHANAJI WADI LP,aided,3-Co-educational,"Dhanjiwadi, R. S. Marg, Malad East, Mumbai 97",1,4,PN,19.234872,72.855187,Mumbai Aided Schools Map.kml,108,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.855187 19.234872 0),PNWARD,RC,RC,ward_mismatch
SCH_00126,PARANJPE VIDYALAYA LP,aided,3-Co-educational,"Vijay Nagar Society,S N Marg,Mumbai 400069",1,4,KE,19.043393,72.845003,Mumbai Aided Schools Map.kml,126,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.845003 19.043393 0),KE,GN,GN,ward_mismatch
SCH_00138,ANJUMAN I ISLAMS F A S O URD L,aided,3-Co-educational,"Bawla Campus,Yari Road Versova Andheri West Mumbai 400061",1,4,KE,19.136216,72.812248,Mumbai Aided Schools Map.kml,138,education.maharashtra.gov.in/saral/27220400290,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.812248 19.136216 0),KE,KW,KW,ward_mismatch
SCH_00139,SMT LAXMIBAI VALANJU LP,aided,3-Co-educational,Jogeshwari East Mumbai,1,4,KW,19.140344,72.852943,Mumbai Aided Schools Map.kml,139,www.shrisamartheducation.com,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.852943 19.140344 0),KW,KE,KE,ward_mismatch
SCH_00140,SMT SURAJBA VIDYA MANDIR GUJLP,aided,3-Co-educational,"H.F. Society Road No. 3, Natwar Nagar, Jogeshwari - E, Mumbai- 4000060",1,4,KW,19.130529,72.850968,Mumbai Aided Schools Map.kml,140,www.surajbavidyamandir.org,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.850968 19.130529 0),KW,KE,KE,ward_mismatch
SCH_00144,VIDYA VIKAS MANDAL LP,aided,3-Co-educational,"Dadabhai road, Andheri west, Mumbai- 400058",1,4,KE,19.124663,72.837865,Mumbai Aided Schools Map.kml,144,www.vidyavikasmandal.com,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.837865 19.124663 0),KE,KW,KW,ward_mismatch
SCH_00145,HANSRAJ MORARJI PUBLIC SCHOOL,aided,3-Co-educational,"D N ROAD ,MUNSHI NAGAR, ANDHERI WEST",1,4,KE,19.122007,72.836659,Mumbai Aided Schools Map.kml,145,,Mumbai OpenCity / BMC,source_verified,True,POINT Z (72.836659 19.122007 0),KE,KW,KW,ward_mismatch
