pseudocode,lgd_ward_name,bmc_ward_code,pincode
3449581,K/West - Ward No. 61,KW,400102
2949508,R/South - Ward No. 22,RS,400067
7834575,M/East - Ward No. 146,ME,400094
2747880,M/East - Ward No. 145,ME,400088
7670009,P/North - Ward No. 38,PN,400093
9752445,P/North - Ward No. 33,PN,400095
6361446,P/North - Ward No. 32,PN,400095
4929085,H/East - Ward No. 96,HE,400098
1309262,L - Ward No. 165,L,400070
2071695,M/East - Ward No. 144,ME,400088
3445113,H/East - Ward No. 92,HE,400051
7545058,D - Ward No. 214,D,400004
1947905,K/East - Ward No. 72,KE,400060
6297037,P/North - Ward No. 47,PN,400064
8137289,S - Ward No. 114,S,400078
5299697,P/South - Ward No. 50,PS,400064
5781185,H/East - Ward No. 93,HE,400051
1083387,R/Central - Ward No. 16,RC,400091
4841447,C - Ward No. 222,C,400002
6417929,S - Ward No. 122,S,400076
9350807,R/South - Ward No. 30,RS,400067
6346018,K/East - Ward No. 82,KE,400059
5639873,G/North - Ward No. 185,GN,400028
7797655,P/North - Ward No. 45,PN,400097
2190094,M/East - Ward No. 144,ME,400071
2453399,M/East - Ward No. 146,ME,400094
5068210,R/South - Ward No. 28,RS,400101
6649567,K/East - Ward No. 84,KE,400069
5682490,R/South - Ward No. 24,RS,400101
4994853,L - Ward No. 171,L,400086
4883444,M/East - Ward No. 146,ME,400094
3011318,R/North - Ward No. 8,RN,400068
9631471,H/West - Ward No. 97,HW,400054
9093877,L - Ward No. 159,L,400072
7640056,P/South - Ward No. 50,PS,400064
9192259,K/East - Ward No. 75,KE,400059
5674658,P/North - Ward No. 36,PN,400097
6688398,M/West - Ward No. 151,MW,400071
1964482,F/North - Ward No. 173,FN,400022
1629552,M/West - Ward No. 152,MW,400071
2435889,H/West - Ward No. 101,HW,400050
1291187,F/North - Ward No. 177,FN,400019
6007217,N - Ward No. 132,N,400077
8169470,R/South - Ward No. 20,RS,400067
4207198,P/North - Ward No. 35,PN,400064
8573745,P/North - Ward No. 41,PN,400065
2944778,K/East - Ward No. 72,KE,400069
4819797,C - Ward No. 222,C,400001
2813322,D - Ward No. 215,D,400034
3440865,K/East - Ward No. 75,KE,400059
4916070,G/North - Ward No. 186,GN,400017
5918470,F/North - Ward No. 172,FN,400022
1694508,S - Ward No. 119,S,400083
2804283,K/West - Ward No. 66,KW,400058
5084457,P/South - Ward No. 56,PS,400104
2735991,C - Ward No. 222,C,400002
5301017,E - Ward No. 211,E,400008
2485194,K/West - Ward No. 59,KW,400061
4481232,P/South - Ward No. 56,PS,400102
