ward_code,udise_city_schools,students_total,students_boys,students_girls,teachers_total,teachers_male,teachers_female,classrooms_total_observed,classrooms_good,classrooms_minor_repair,classrooms_major_repair,boys_toilets,boys_functional_toilets,girls_toilets,girls_functional_toilets,functional_toilets_total,cwsn_boys_toilets,cwsn_girls_toilets,cwsn_toilets_total,electricity_schools,library_schools,playground_schools,ramps_schools,handrails_schools,ict_lab_schools,internet_schools,computer_ict_lab_schools,teacher_student_ratio,female_teacher_share_pct,girls_share_pct,classrooms_repair_pct
A,53,31676.0,16295.0,15381.0,1472,319,1153,923,892,31,0,389,389,493,493,882,61,79,140,53,53,68,53,70,289,53,65,0.046470513953782044,78.3288043478261,48.557267331733804,3.358613217768147
B,21,10681.0,5164.0,5517.0,407,71,336,342,342,0,0,101,101,118,118,219,15,23,38,21,21,33,21,28,86,21,25,0.03810504634397528,82.55528255528255,51.652466997472146,0.0
C,17,6828.0,3736.0,3092.0,221,58,163,197,189,7,1,92,92,101,101,193,21,31,52,17,17,21,17,22,51,17,21,0.03236672524897481,73.7556561085973,45.284124194493266,4.060913705583756
D,69,27782.0,13466.0,14316.0,1329,291,1038,915,909,6,0,355,354,479,479,833,103,145,248,69,69,79,70,87,376,69,82,0.04783672881721978,78.1038374717833,51.529767475343746,0.6557377049180327
E,45,31165.0,16642.0,14523.0,1050,248,802,799,797,2,0,273,273,373,373,646,53,63,116,45,45,52,45,62,210,45,51,0.03369164126423873,76.38095238095238,46.60035296005134,0.2503128911138924
FN,83,52637.0,27010.0,25627.0,2023,501,1522,1413,1413,0,0,606,602,625,621,1223,138,124,262,83,83,97,84,101,388,83,99,0.03843304139673614,75.23479980227386,48.686285312612796,0.0
FS,44,14394.0,8132.0,6262.0,639,208,431,497,488,9,0,240,240,215,213,453,72,64,136,44,44,54,44,58,169,44,54,0.04439349729053772,67.4491392801252,43.50423787689315,1.8108651911468814
GN,61,26435.0,14816.0,11619.0,1060,239,821,825,820,3,2,382,382,359,359,741,77,72,149,61,61,73,62,90,344,61,72,0.04009835445432192,77.45283018867924,43.9530924910157,0.6060606060606061
GS,33,9391.0,4951.0,4440.0,476,125,351,366,363,3,0,153,153,164,164,317,76,53,129,33,33,38,33,41,145,33,40,0.05068682781386434,73.73949579831933,47.279309977638164,0.819672131147541
HE,48,22209.0,11570.0,10639.0,935,243,692,725,719,6,0,378,376,510,510,886,73,69,142,48,48,52,48,69,229,48,61,0.04210004952947004,74.01069518716578,47.90400288171462,0.8275862068965517
HW,74,44351.0,22553.0,21798.0,1756,347,1409,1236,1219,10,7,385,384,509,506,890,88,84,172,74,74,84,76,109,364,74,84,0.03959324479718608,80.23917995444191,49.14883542648418,1.3754045307443366
KE,103,57340.0,30533.0,26807.0,2098,530,1568,1680,1674,5,1,819,799,915,876,1675,168,195,363,103,103,119,106,165,598,103,113,0.03658876874782002,74.73784556720686,46.75095919079177,0.35714285714285715
KW,115,74683.0,38279.0,36404.0,3215,663,2552,2209,2194,4,11,967,962,1116,1112,2074,195,207,402,115,115,135,122,204,780,115,148,0.04304861882891689,79.37791601866252,48.744694240991926,0.6790402897238569
L,109,60190.0,32015.0,28175.0,2250,617,1633,1614,1593,20,1,682,682,677,670,1352,156,151,307,109,109,131,110,147,574,109,141,0.03738162485462702,72.57777777777777,46.810101345738495,1.3011152416356877
ME,115,42028.0,21707.0,20321.0,1782,575,1207,1504,1463,28,13,523,519,559,554,1073,168,170,338,115,115,148,116,142,613,115,138,0.042400304558865516,67.73288439955107,48.35109926715523,2.7260638297872344
MW,58,34839.0,18354.0,16485.0,1477,397,1080,1052,1034,11,7,402,397,483,465,862,76,84,160,58,58,72,60,95,281,58,72,0.04239501707856138,73.12119160460394,47.317661241711875,1.7110266159695817
N,90,49243.0,24751.0,24492.0,1979,554,1425,1443,1414,29,0,505,505,601,601,1106,120,124,244,90,90,103,91,103,410,90,109,0.040188453181162806,72.00606366851945,49.737018459476474,2.0097020097020097
PN,150,73575.0,37792.0,35783.0,2629,651,1978,2298,2264,33,1,752,748,856,856,1604,228,252,480,150,150,184,159,266,927,150,166,0.03573224600747536,75.23773297831875,48.634726469588855,1.4795474325500435
PS,69,49698.0,25494.0,24204.0,2013,376,1637,1418,1410,8,0,677,677,726,726,1403,152,146,298,69,69,79,71,103,444,69,80,0.04050464807436919,81.32141082960756,48.70216105275866,0.5641748942172073
RC,73,35544.0,18672.0,16872.0,1567,316,1251,1340,1333,1,6,662,662,840,840,1502,143,169,312,73,73,80,75,103,444,73,79,0.044086203015980194,79.83407785577536,47.4679270762998,0.5223880597014926
RN,58,37430.0,20215.0,17215.0,1405,283,1122,1237,1237,0,0,626,626,648,648,1274,120,133,253,58,58,67,60,85,362,58,64,0.03753673523911301,79.8576512455516,45.99251936948971,0.0
RS,98,76445.0,42010.0,34435.0,2745,775,1970,2209,2202,7,0,1035,1035,1166,1166,2201,151,130,281,98,98,118,99,123,601,98,110,0.03590816927202564,71.76684881602914,45.04545751847734,0.3168854685377999
S,110,56804.0,30194.0,26610.0,2319,659,1660,1888,1860,25,3,743,736,732,725,1461,177,160,337,110,110,128,112,154,547,110,133,0.040824589817618474,71.58257869771452,46.84529258502923,1.4830508474576272
T,54,27546.0,14211.0,13335.0,1341,246,1095,942,942,0,0,378,378,477,477,855,97,103,200,54,54,60,54,67,319,54,68,0.04868220431278589,81.65548098434004,48.40993247658462,0.0
