pseudocode,student_boys,student_girls,student_total,girls_share_pct,teachers_total,teachers_male,teachers_female,teacher_student_ratio,female_teacher_share_pct,classrooms_good,classrooms_minor_repair,classrooms_major_repair,classrooms_total_observed,classrooms_repair_pct,boys_toilets,boys_functional_toilets,girls_toilets,girls_functional_toilets,functional_toilets_total,electricity_available,library_available,playground_available,ramps_available,handrails_available,computer_ict_lab_available,ict_lab_available,internet_available,cwsn_boys_toilets,cwsn_girls_toilets,cwsn_toilets_total
1003436,174.0,201.0,375.0,53.6,44,22,22,8.522727272727273,50.0,16,0,0,16,0.0,3,3,3,3,6,1,1,1,1,1,1,1,1,1,1,2
1005046,236.0,187.0,423.0,44.2080378250591,15,6,9,28.2,60.0,12,0,0,12,0.0,4,4,4,4,8,1,1,2,1,2,1,1,1,1,1,2
1025236,213.0,167.0,380.0,43.94736842105263,10,5,5,38.0,50.0,13,0,0,13,0.0,2,2,2,2,4,1,1,1,1,1,1,9,1,2,2,4
1029555,472.0,406.0,878.0,46.24145785876993,13,4,9,67.53846153846153,69.23076923076923,16,0,0,16,0.0,4,4,5,5,9,1,1,1,1,1,1,9,1,1,0,1
1030658,1.0,1.0,2.0,50.0,4,1,3,0.5,75.0,2,0,0,2,0.0,10,10,10,10,20,1,1,2,1,2,1,1,1,0,0,0
1041282,1015.0,849.0,1864.0,45.547210300429185,23,3,20,81.04347826086956,86.95652173913044,19,0,0,19,0.0,8,8,3,3,11,1,1,2,1,2,1,1,1,1,0,1
1042996,166.0,147.0,313.0,46.96485623003195,41,32,9,7.634146341463414,21.951219512195124,10,0,0,10,0.0,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,2
1044270,486.0,478.0,964.0,49.5850622406639,59,2,57,16.338983050847457,96.61016949152543,26,0,0,26,0.0,15,15,15,15,30,1,1,1,1,1,1,9,1,5,5,10
1046524,6.0,12.0,18.0,66.66666666666666,4,2,2,4.5,50.0,6,0,0,6,0.0,3,3,3,3,6,1,1,1,1,1,2,2,1,1,1,2
1062929,577.0,635.0,1212.0,52.39273927392739,50,20,30,24.24,60.0,51,0,0,51,0.0,8,8,7,7,15,1,1,1,1,1,1,1,1,1,1,2
1063480,0.0,1108.0,1108.0,100.0,31,0,31,35.74193548387097,100.0,24,0,0,24,0.0,0,0,33,33,33,1,1,1,1,1,1,9,1,0,2,2
1063899,856.0,703.0,1559.0,45.093008338678644,38,13,25,41.026315789473685,65.78947368421053,31,0,0,31,0.0,9,9,6,6,15,1,1,1,1,1,1,2,1,1,1,2
1072417,0.0,1270.0,1270.0,100.0,35,1,34,36.285714285714285,97.14285714285714,24,0,0,24,0.0,0,0,24,24,24,1,1,1,1,1,1,2,1,0,3,3
1073258,638.0,587.0,1225.0,47.91836734693877,57,15,42,21.49122807017544,73.68421052631578,25,0,0,25,0.0,9,9,8,8,17,1,1,1,1,1,1,1,1,2,2,4
1083387,945.0,763.0,1708.0,44.67213114754098,60,11,49,28.466666666666665,81.66666666666667,43,0,0,43,0.0,15,15,20,20,35,1,1,1,1,1,1,9,1,1,1,2
1091073,20.0,6.0,26.0,23.076923076923077,9,6,3,2.888888888888889,33.33333333333333,6,0,0,6,0.0,3,2,3,1,3,1,1,1,1,1,2,2,1,1,1,2
1094742,227.0,197.0,424.0,46.4622641509434,16,6,10,26.5,62.5,14,0,0,14,0.0,4,4,4,4,8,1,1,1,1,2,2,9,1,2,2,4
1096492,2482.0,253.0,2735.0,9.250457038391225,84,11,73,32.55952380952381,86.90476190476191,56,0,0,56,0.0,87,87,7,7,94,1,1,1,1,1,1,2,1,2,2,4
1096557,622.0,557.0,1179.0,47.24342663273961,25,3,22,47.16,88.0,18,0,0,18,0.0,12,12,20,20,32,1,1,1,1,1,1,9,1,0,0,0
1098640,94.0,94.0,188.0,50.0,9,5,4,20.88888888888889,44.44444444444444,7,0,0,7,0.0,3,3,3,3,6,1,1,2,1,2,1,9,1,1,1,2
1105893,604.0,383.0,987.0,38.80445795339412,23,6,17,42.91304347826087,73.91304347826086,18,0,0,18,0.0,14,14,15,15,29,1,1,1,1,1,1,2,1,1,1,2
1108689,49.0,46.0,95.0,48.421052631578945,6,1,5,15.833333333333334,83.33333333333334,6,0,0,6,0.0,7,7,9,9,16,1,1,1,1,1,1,9,1,1,1,2
1113512,78.0,56.0,134.0,41.7910447761194,7,0,7,19.142857142857142,100.0,6,0,0,6,0.0,3,3,3,3,6,1,1,1,1,1,1,9,1,1,1,2
1113689,315.0,179.0,494.0,36.23481781376518,20,7,13,24.7,65.0,14,0,0,14,0.0,17,17,11,11,28,1,1,1,1,2,1,9,1,1,1,2
1130259,120.0,120.0,240.0,50.0,28,2,26,8.571428571428571,92.85714285714286,14,0,0,14,0.0,4,4,4,4,8,1,1,1,1,1,1,9,1,1,1,2
1131142,36.0,40.0,76.0,52.63157894736842,15,2,13,5.066666666666666,86.66666666666667,38,0,0,38,0.0,20,20,20,20,40,1,1,1,1,1,1,9,1,1,1,2
1142713,337.0,244.0,581.0,41.996557659208264,61,7,54,9.524590163934427,88.52459016393442,27,0,0,27,0.0,4,4,5,5,9,1,1,1,1,1,1,9,1,1,1,2
1149949,123.0,146.0,269.0,54.27509293680297,16,13,3,16.8125,18.75,7,0,0,7,0.0,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,2
1152309,35.0,39.0,74.0,52.702702702702695,12,3,9,6.166666666666667,75.0,11,0,0,11,0.0,12,12,12,12,24,1,1,1,1,1,1,9,1,3,3,6
1162418,160.0,133.0,293.0,45.39249146757679,14,5,9,20.928571428571427,64.28571428571429,6,0,0,6,0.0,3,3,3,3,6,1,1,2,1,1,1,9,1,1,1,2
1170949,439.0,439.0,878.0,50.0,65,3,62,13.507692307692308,95.38461538461539,59,0,0,59,0.0,16,16,24,24,40,1,1,2,1,1,1,9,1,0,0,0
1176426,354.0,168.0,522.0,32.18390804597701,17,7,10,30.705882352941178,58.82352941176471,12,0,0,12,0.0,3,3,3,3,6,1,1,1,2,9,1,2,1,1,1,2
1184131,59.0,53.0,112.0,47.32142857142857,12,1,11,9.333333333333334,91.66666666666666,14,0,0,14,0.0,2,2,2,2,4,1,1,1,1,1,1,9,1,1,0,1
1193571,9.0,10.0,19.0,52.63157894736842,1,1,0,19.0,0.0,5,0,0,5,0.0,1,1,1,1,2,1,1,1,1,1,2,2,1,1,0,1
1201384,30.0,23.0,53.0,43.39622641509434,14,7,7,3.7857142857142856,50.0,5,0,0,5,0.0,4,4,4,4,8,1,1,1,1,1,2,2,1,1,1,2
1204292,37.0,18.0,55.0,32.72727272727273,2,1,1,27.5,50.0,3,0,0,3,0.0,4,4,4,4,8,1,1,1,1,1,2,2,1,1,1,2
1222548,170.0,149.0,319.0,46.70846394984326,7,4,3,45.57142857142857,42.857142857142854,6,0,0,6,0.0,8,8,8,8,16,1,1,1,1,1,1,2,1,2,2,4
1229423,36.0,42.0,78.0,53.84615384615385,1,1,0,78.0,0.0,5,6,0,11,54.54545454545454,4,4,5,5,9,1,1,1,1,1,1,2,1,1,1,2
1232739,45.0,69.0,114.0,60.526315789473685,7,3,4,16.285714285714285,57.14285714285714,6,0,0,6,0.0,3,3,3,3,6,1,1,2,1,2,1,2,1,1,1,2
1263824,0.0,323.0,323.0,100.0,9,0,9,35.888888888888886,100.0,40,0,0,40,0.0,0,0,5,5,5,1,1,2,1,1,1,9,1,0,1,1
1272899,0.0,748.0,748.0,100.0,22,0,22,34.0,100.0,21,0,0,21,0.0,0,0,29,29,29,1,1,1,1,1,1,2,1,0,6,6
1286935,380.0,259.0,639.0,40.532081377151805,13,6,7,49.15384615384615,53.84615384615385,14,0,0,14,0.0,6,6,6,6,12,1,1,1,1,1,1,9,1,1,1,2
1291187,389.0,375.0,764.0,49.08376963350785,31,4,27,24.64516129032258,87.09677419354838,20,0,0,20,0.0,5,5,5,5,10,1,1,1,1,1,1,9,1,5,5,10
1299884,0.0,623.0,623.0,100.0,16,0,16,38.9375,100.0,12,0,0,12,0.0,0,0,9,9,9,1,1,1,1,1,1,1,1,0,1,1
1301309,40.0,49.0,89.0,55.0561797752809,5,0,5,17.8,100.0,14,1,0,15,6.666666666666667,5,5,5,5,10,1,1,1,1,1,1,9,1,1,1,2
1302852,181.0,106.0,287.0,36.933797909407666,9,3,6,31.88888888888889,66.66666666666666,9,0,0,9,0.0,3,3,2,2,5,1,1,1,1,2,1,9,1,1,1,2
1303161,1378.0,1221.0,2599.0,46.979607541362064,50,14,36,51.98,72.0,47,0,0,47,0.0,14,14,16,16,30,1,1,1,1,1,1,2,1,1,1,2
1304578,0.0,93.0,93.0,100.0,10,0,10,9.3,100.0,6,0,0,6,0.0,0,0,14,14,14,1,1,1,1,1,1,9,1,0,3,3
1307305,543.0,441.0,984.0,44.81707317073171,24,3,21,41.0,87.5,26,0,0,26,0.0,12,12,12,12,24,1,1,1,1,1,1,9,1,1,1,2
1309262,2142.0,1807.0,3949.0,45.75841985312737,93,17,76,42.46236559139785,81.72043010752688,62,0,0,62,0.0,25,25,16,16,41,1,1,1,1,1,1,9,1,4,1,5
