district_area,pseudocode,facility_building_status,facility_no_building_blocks,facility_pucca_building_blocks,facility_boundary_wall,facility_total_class_rooms,facility_other_rooms,facility_classrooms_in_good_condition,facility_classrooms_needs_minor_repair,facility_classrooms_needs_major_repair,facility_separate_room_for_hm,facility_total_boys_toilet,facility_total_boys_func_toilet,facility_total_girls_toilet,facility_total_girls_func_toilet,facility_total_boys_cwsn_toilet,facility_func_boys_cwsn_friendly,facility_total_girls_cwsn_toilet,facility_func_girls_cwsn_friendly,facility_urinal_boys,facility_urinal_girls,facility_handwash_near_toilet,facility_hand_pump_yn,facility_well_prot_yn,facility_tap_yn,facility_othsrc_yn,facility_well_unprot_yn,facility_pack_water_yn,facility_hand_pump_fun_yn,facility_well_prot_fun_yn,facility_tap_fun_yn,facility_othsrc_fun_yn,facility_well_unprot_fun_yn,facility_pack_water_fun_yn,facility_rain_water_harvesting,facility_handwash_facility_for_meal,facility_electricity_availability,facility_solar_panel,facility_library_availability,facility_book_bank,facility_reading_corner,facility_playground_available,facility_playground_alt_yn,facility_medical_checkups,facility_availability_ramps,facility_availability_of_handrails,facility_furniture_availability,facility_phy_lab_cond,facility_chem_lab_cond,facility_bio_lab_cond,facility_math_lab_cond,facility_lang_lab_cond,facility_geo_lab_cond,facility_home_sc_lab_cond,facility_psycho_lab_cond,facility_comp_lab_cond,facility_comp_ict_lab_yn,facility_ict_lab_yn,facility_laptop,facility_tablet,facility_desktop,facility_digiboard,facility_teachdev_tot,facility_server_tot,facility_smart_class_tv_tot,facility_projector,facility_printer,facility_internet,facility_dth,facility_spl_educator_yn,teacher_total_tch,teacher_male,teacher_female,teacher_transgender,teacher_gen_tch,teacher_sc_tch,teacher_st_tch,teacher_obc_tch,teacher_regular,teacher_contract,teacher_part_time,teacher_below_graduate,teacher_graduate,teacher_post_graduate_and_above,teacher_trained_comp,teacher_class_taught_pr,teacher_class_taught_upr,teacher_class_taught_pr_upr,teacher_class_taught_sec_only,teacher_class_taught_hsec_only,teacher_class_taught_upr_sec,teacher_class_taught_sec_hsec,teacher_class_taugt_pre_primary_only,teacher_class_taught_pr_and_pre_pri,teacher_teacher_involve_non_training_assignment,teacher_diploma_certificate,teacher_bachelor_of_ee,teacher_bed_equivalent,teacher_med_equivalent,teacher_other,teacher_none,teacher_diploma_special_edu,teacher_pursuing_rpc,teacher_diploma_ele_edu,teacher_early_childhood_tch,teacher_bed_nursery,teacher_trained_cwsn
Mumbai City,1003436,2,0,1,1,0,11,16,0,0,1,3,3,3,3,1,1,1,1,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,1,1,1,1,3,3,4,4,4,1,1,0,0,7,0,1,1,12,12,4,1,1,3,44,22,22,0,15,7,3,7,44,0,0,0,18,26,42,1,7,5,24,7,0,0,0,0,0,5,0,34,3,1,0,1,0,0,0,0,1
Mumbai City,1005046,1,0,1,1,0,7,12,0,0,1,4,4,4,4,1,1,1,1,5,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,2,1,4,4,4,4,4,4,4,4,4,1,1,1,0,15,0,15,2,0,10,1,1,1,3,15,6,9,0,12,1,0,2,7,8,0,0,9,6,4,0,1,0,9,1,1,3,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0
Mumbai City,1025236,1,0,1,3,0,15,13,0,0,1,2,2,2,2,2,2,2,2,8,8,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,2,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,15,315,0,2,1,1,2,1,2,2,10,5,5,0,3,6,1,0,10,0,0,0,3,7,6,0,3,1,5,0,1,0,0,0,0,1,0,7,1,1,0,0,0,0,0,0,2
Mumbai City,1029555,2,0,1,1,0,5,16,0,0,1,4,4,5,5,1,1,0,0,3,5,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,13,320,0,2,0,1,3,1,2,2,13,4,9,0,13,0,0,0,13,0,0,0,6,7,7,0,0,4,8,0,1,0,0,0,0,0,1,9,0,2,1,0,0,0,0,0,0
Mumbai City,1030658,1,0,1,1,0,8,2,0,0,1,10,10,10,10,0,0,0,0,21,19,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,0,0,1,1,1,2,3,4,1,3,0,4,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Mumbai City,1041282,1,0,1,1,0,8,19,0,0,1,8,8,3,3,1,1,0,0,10,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,4,4,4,4,2,4,4,4,4,1,1,2,0,60,50,0,0,2,18,2,1,2,2,23,3,20,0,22,1,0,0,23,0,0,0,0,23,23,0,0,0,0,23,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0
Mumbai City,1042996,2,0,1,1,0,8,10,0,0,1,2,2,2,2,1,1,1,1,10,10,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,1,1,1,1,1,1,2,3,41,32,9,0,38,3,0,0,41,0,0,1,16,24,41,0,0,11,0,0,30,0,0,0,1,11,0,30,0,0,0,0,0,0,0,0,0
Mumbai City,1044270,1,0,1,1,0,8,26,0,0,1,15,15,15,15,5,5,5,5,30,30,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,46,0,0,1,0,7,9,1,2,1,59,2,57,0,51,1,0,7,59,0,0,3,26,30,40,29,1,10,3,0,16,0,0,0,0,2,0,31,4,17,0,4,1,0,0,0,9
Mumbai City,1046524,2,0,1,1,0,6,6,0,0,1,3,3,3,3,1,1,1,1,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,1,2,1,2,2,4,2,2,0,1,1,1,0,4,0,0,0,2,2,3,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Mumbai City,1062929,2,0,1,1,0,7,51,0,0,1,8,8,7,7,1,1,1,1,30,20,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,9,1,1,1,1,1,1,1,4,4,4,4,4,2,1,1,2,15,5,0,2,1,1,2,2,1,2,3,50,20,30,0,36,3,2,7,49,0,1,5,20,25,11,0,4,10,20,8,8,0,0,0,26,11,0,35,1,1,1,1,0,0,0,0,0
Mumbai City,1063480,1,0,1,1,0,27,24,0,0,1,0,0,33,33,0,0,2,2,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,35,0,0,0,0,21,2,1,2,3,31,0,31,0,31,0,0,0,31,0,0,3,23,5,29,1,0,19,10,0,1,0,0,0,0,2,0,25,0,2,2,0,0,0,0,0,0
Mumbai City,1063899,2,0,1,1,0,6,31,0,0,1,9,9,6,6,1,1,1,1,7,10,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,3,3,3,3,3,3,3,3,3,1,2,1,0,4,0,0,0,24,1,3,1,2,2,38,13,25,0,37,0,0,0,38,0,0,2,18,18,36,6,9,0,18,5,0,0,0,0,0,10,0,26,2,0,0,0,0,0,0,0,0
Mumbai City,1072417,2,0,2,1,0,11,24,0,0,1,0,0,24,24,0,0,3,3,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,5,0,32,0,32,2,24,1,2,1,2,2,35,1,34,0,35,0,0,0,29,6,0,2,32,1,33,4,3,15,12,0,1,0,0,0,16,4,0,30,0,1,0,0,0,0,0,0,0
Mumbai City,1073258,2,0,1,1,0,10,25,0,0,1,9,9,8,8,2,2,2,2,11,8,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,88,0,0,1,0,1,1,1,2,2,57,15,42,0,35,5,3,12,57,0,0,1,30,26,18,0,11,4,22,0,20,0,0,0,0,10,0,41,0,0,0,0,6,0,0,0,0
Mumbai City,1083387,1,0,1,1,0,7,43,0,0,1,15,15,20,20,1,1,1,1,15,20,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,4,0,32,0,4,2,39,2,12,1,2,1,60,11,49,0,60,0,0,0,60,0,0,5,32,23,15,22,3,0,23,0,12,0,0,0,25,13,0,45,0,2,0,0,0,0,0,0,0
Mumbai City,1091073,2,0,7,1,0,6,6,0,0,1,3,2,3,1,1,0,1,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,1,2,2,9,6,3,0,5,1,1,1,9,0,0,1,2,6,9,2,2,0,5,0,0,0,0,0,1,2,0,6,0,1,0,0,0,0,0,0,9
Mumbai City,1094742,2,0,1,1,0,7,14,0,0,1,4,4,4,4,2,2,2,2,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,2,1,4,4,4,4,4,4,4,4,4,2,9,1,0,5,0,0,1,0,1,4,1,2,2,16,6,10,0,15,1,0,0,15,1,0,0,7,9,14,0,2,0,12,2,0,0,0,0,0,1,0,13,0,0,0,0,2,0,0,0,0
