ward_code,overall_stress,top_domain_1,top_domain_2,top_domain_3,cluster,anomaly_candidate,anomaly_score,top_anomaly_features,best_scenario,best_scenario_change,intervention_domains,intervention_indicators,civic_ai_explanation
GS,48.498964803312624,sanitation,green_space,safety,Cluster_2,False,0.2287012049428633,,public_transport_plus_20,-2.9761904761904816,Sanitation,population_per_public_toilet_stress,"Ward GS has a modeled UrbanSim profile with the strongest relative pressure in sanitation, green_space, safety. The ward is not flagged as an Autoencoder anomaly candidate. The strongest modeled scenario effect in the current scenario set is 'public_transport_plus_20', with a -2.98-point change in relative pressure. These outputs are decision-support signals derived from UrbanSim data and models; they do not establish causality or guarantee real-world intervention outcomes."
FN,48.49935692326996,sanitation,green_space,education,Cluster_4,False,0.0545987737261458,,healthcare_capacity_plus_20,-2.38095238095238,Sanitation,population_per_public_toilet_stress,"Ward FN has a modeled UrbanSim profile with the strongest relative pressure in sanitation, green_space, education. The ward is not flagged as an Autoencoder anomaly candidate. The strongest modeled scenario effect in the current scenario set is 'healthcare_capacity_plus_20', with a -2.38-point change in relative pressure. These outputs are decision-support signals derived from UrbanSim data and models; they do not establish causality or guarantee real-world intervention outcomes."
MW,46.09487734487734,education,safety,sanitation,Cluster_1,False,0.2352379424562949,,public_toilet_capacity_plus_20,-2.9761904761904674,Education,students_per_school_stress,"Ward MW has a modeled UrbanSim profile with the strongest relative pressure in education, safety, sanitation. The ward is not flagged as an Autoencoder anomaly candidate. The strongest modeled scenario effect in the current scenario set is 'public_toilet_capacity_plus_20', with a -2.98-point change in relative pressure. These outputs are decision-support signals derived from UrbanSim data and models; they do not establish causality or guarantee real-world intervention outcomes."
HW,40.54598782859652,civic,education,sanitation,Cluster_1,False,0.205628987168273,,public_toilet_capacity_plus_20,-2.9761904761904745,Civic,complaints_per_1000_population_stress,"Ward HW has a modeled UrbanSim profile with the strongest relative pressure in civic, education, sanitation. The ward is not flagged as an Autoencoder anomaly candidate. The strongest modeled scenario effect in the current scenario set is 'public_toilet_capacity_plus_20', with a -2.98-point change in relative pressure. These outputs are decision-support signals derived from UrbanSim data and models; they do not establish causality or guarantee real-world intervention outcomes."
GN,60.6060606060606,green_space,healthcare,sanitation,Cluster_2,False,0.2768619981415119,,healthcare_capacity_plus_20,-3.5714285714285765,Green Space,green_spaces_per_km2_stress,"Ward GN has a modeled UrbanSim profile with the strongest relative pressure in green_space, healthcare, sanitation. The ward is not flagged as an Autoencoder anomaly candidate. The strongest modeled scenario effect in the current scenario set is 'healthcare_capacity_plus_20', with a -3.57-point change in relative pressure. These outputs are decision-support signals derived from UrbanSim data and models; they do not establish causality or guarantee real-world intervention outcomes."
ME,52.45231821318777,transport,healthcare,safety,Cluster_1,True,0.493200453934983,police_station_count | classrooms_repair_pct | unresolved_complaints_2024 | uphcs | complaints_received_2024,healthcare_capacity_plus_20,-4.166666666666657,Transport,transport_nodes_per_km2_stress,"Ward ME has a modeled UrbanSim profile with the strongest relative pressure in transport, healthcare, safety. The ward is also an anomaly candidate with an Autoencoder reconstruction MSE of 0.4932. The largest model reconstruction deviations are associated with: police_station_count, classrooms_repair_pct, unresolved_complaints_2024, uphcs, complaints_received_2024. The strongest modeled scenario effect in the current scenario set is 'healthcare_capacity_plus_20', with a -4.17-point change in relative pressure. These outputs are decision-support signals derived from UrbanSim data and models; they do not establish causality or guarantee real-world intervention outcomes."
E,51.18302591128679,sanitation,civic,education,Cluster_2,False,0.0541940955524219,,public_transport_plus_20,-2.083333333333336,Sanitation,population_per_public_toilet_stress,"Ward E has a modeled UrbanSim profile with the strongest relative pressure in sanitation, civic, education. The ward is not flagged as an Autoencoder anomaly candidate. The strongest modeled scenario effect in the current scenario set is 'public_transport_plus_20', with a -2.08-point change in relative pressure. These outputs are decision-support signals derived from UrbanSim data and models; they do not establish causality or guarantee real-world intervention outcomes."
HE,55.37831733483909,healthcare,transport,green_space,Cluster_1,False,0.2011399397290732,,healthcare_capacity_plus_20,-4.166666666666679,Healthcare,population_per_healthcare_facility_stress,"Ward HE has a modeled UrbanSim profile with the strongest relative pressure in healthcare, transport, green_space. The ward is not flagged as an Autoencoder anomaly candidate. The strongest modeled scenario effect in the current scenario set is 'healthcare_capacity_plus_20', with a -4.17-point change in relative pressure. These outputs are decision-support signals derived from UrbanSim data and models; they do not establish causality or guarantee real-world intervention outcomes."
RS,52.7969916556873,healthcare,transport,safety,Cluster_1,False,0.3413703713749195,,public_toilet_capacity_plus_20,-1.7857142857142847,Healthcare,population_per_healthcare_facility_stress,"Ward RS has a modeled UrbanSim profile with the strongest relative pressure in healthcare, transport, safety. The ward is not flagged as an Autoencoder anomaly candidate. The strongest modeled scenario effect in the current scenario set is 'public_toilet_capacity_plus_20', with a -1.79-point change in relative pressure. These outputs are decision-support signals derived from UrbanSim data and models; they do not establish causality or guarantee real-world intervention outcomes."
T,41.411396574440055,civic,transport,safety,Cluster_1,False,0.1060101890880212,,healthcare_capacity_plus_20,-2.3809523809523725,Civic,complaints_per_1000_population_stress,"Ward T has a modeled UrbanSim profile with the strongest relative pressure in civic, transport, safety. The ward is not flagged as an Autoencoder anomaly candidate. The strongest modeled scenario effect in the current scenario set is 'healthcare_capacity_plus_20', with a -2.38-point change in relative pressure. These outputs are decision-support signals derived from UrbanSim data and models; they do not establish causality or guarantee real-world intervention outcomes."
