source_index,source_ward,target_index,target_ward,adjacent
0,A,1,B,1
0,A,2,C,1
1,B,0,A,1
1,B,2,C,1
1,B,4,E,1
2,C,0,A,1
2,C,1,B,1
2,C,3,D,1
2,C,4,E,1
3,D,2,C,1
3,D,4,E,1
3,D,8,GS,1
4,E,1,B,1
4,E,2,C,1
4,E,3,D,1
4,E,6,FS,1
4,E,8,GS,1
5,FN,6,FS,1
5,FN,7,GN,1
5,FN,13,L,1
5,FN,15,MW,1
6,FS,4,E,1
6,FS,5,FN,1
6,FS,7,GN,1
6,FS,8,GS,1
7,GN,5,FN,1
7,GN,6,FS,1
7,GN,8,GS,1
7,GN,9,HE,1
7,GN,10,HW,1
7,GN,13,L,1
8,GS,3,D,1
8,GS,4,E,1
8,GS,6,FS,1
8,GS,7,GN,1
9,HE,7,GN,1
9,HE,10,HW,1
9,HE,11,KE,1
9,HE,12,KW,1
9,HE,13,L,1
10,HW,7,GN,1
10,HW,9,HE,1
10,HW,11,KE,1
10,HW,12,KW,1
11,KE,9,HE,1
11,KE,10,HW,1
11,KE,12,KW,1
11,KE,13,L,1
11,KE,18,PS,1
11,KE,22,S,1
12,KW,9,HE,1
12,KW,10,HW,1
12,KW,11,KE,1
12,KW,18,PS,1
13,L,5,FN,1
13,L,7,GN,1
13,L,9,HE,1
13,L,11,KE,1
13,L,15,MW,1
13,L,16,N,1
13,L,22,S,1
14,ME,15,MW,1
14,ME,16,N,1
15,MW,5,FN,1
15,MW,13,L,1
15,MW,14,ME,1
15,MW,16,N,1
16,N,13,L,1
16,N,14,ME,1
16,N,15,MW,1
16,N,22,S,1
17,PN,18,PS,1
18,PS,11,KE,1
18,PS,12,KW,1
18,PS,17,PN,1
18,PS,22,S,1
18,PS,23,T,1
19,RC,20,RN,1
19,RC,21,RS,1
19,RC,23,T,1
20,RN,19,RC,1
21,RS,19,RC,1
21,RS,23,T,1
22,S,11,KE,1
22,S,13,L,1
22,S,16,N,1
22,S,18,PS,1
22,S,23,T,1
23,T,18,PS,1
23,T,19,RC,1
23,T,21,RS,1
23,T,22,S,1
