ward_code,gnn_embedding_1,gnn_embedding_2,gnn_embedding_3,gnn_embedding_4,gnn_embedding_5,gnn_embedding_6,gnn_embedding_7,gnn_embedding_8,gnn_embedding_9,gnn_embedding_10,gnn_embedding_11,gnn_embedding_12,gnn_embedding_13,gnn_embedding_14,gnn_embedding_15,gnn_embedding_16,gnn_embedding_17,gnn_embedding_18,gnn_embedding_19,gnn_embedding_20,gnn_embedding_21,gnn_embedding_22,gnn_embedding_23,gnn_embedding_24,gnn_embedding_25,gnn_embedding_26,gnn_embedding_27,gnn_embedding_28,gnn_embedding_29,gnn_embedding_30,gnn_embedding_31,gnn_embedding_32
A,-2.1080518,0.2617721,-2.3990574,-0.11630702,1.7710495,0.08047891,-1.4488406,-1.3621025,0.68684196,-0.196482,3.3778162,-0.743063,2.236003,-0.017393373,-0.6724778,-0.88887155,1.7376529,1.2655935,1.7980205,-2.412086,0.70206755,2.0683582,0.018990234,-0.42561454,0.15485716,1.1325577,0.43970847,0.16850615,0.8823515,0.31546417,1.561821,2.6034439
B,-0.48986247,-0.5361817,1.25292,-1.6721144,1.6239238,-0.01319164,-0.34592193,0.3889058,-0.5662455,2.1361465,3.1809318,1.6589985,1.2698312,-1.170079,2.2195377,-1.7137954,-1.7023629,2.2154977,2.1431563,-1.194353,0.13626617,1.2577764,-1.1873835,0.07669267,2.9921598,-1.0017908,-0.76796347,0.14072014,-1.0307169,0.9516525,3.7166755,-0.6845836
C,0.11878511,-2.248512,1.1192529,-1.9411371,-0.17008424,1.0823368,-0.5975701,1.3358078,2.335662,-0.4350414,0.3835006,1.1615449,0.4264419,0.46714985,0.7494644,-2.3721151,0.3212126,1.6004726,0.048838142,-1.497182,-3.4999516,1.6414871,-1.8042402,-1.349617,0.2827366,-1.060622,-1.4734282,-1.5962825,-0.3894974,1.3588185,1.335191,0.969599
D,0.83759063,-1.0770787,-1.1023492,-0.48443538,1.2705716,1.7241367,0.9943947,0.61147153,0.5918461,1.6783812,1.5964645,0.063063174,0.7299079,-1.159365,0.31064934,-0.25521535,-2.3222294,0.36977646,1.2440107,0.49523744,1.0991769,-0.6096247,1.4056065,0.44355154,1.875846,-0.25275508,0.6569198,-1.4611604,1.6355617,-1.0220379,2.0270267,0.82050174
E,-0.57083976,-0.9918351,-0.20300579,-0.75476885,2.1159968,2.3147368,-0.57525903,-0.6468445,-0.29925728,-0.10748187,0.98894024,0.4110648,0.6125626,0.270517,-1.2466414,-2.2976847,0.7677915,0.2533132,0.046709947,-0.06683518,0.16794187,0.63484806,-0.80588865,-1.5180478,0.12573257,-1.4196581,-1.8038926,-2.0704136,-0.62570393,0.0074273646,0.26887554,0.6173934
FN,-0.68613493,0.82325774,-2.5772922,-0.36513138,2.0761743,2.4560537,0.21809383,-0.45915923,0.031246454,0.5422301,1.894839,0.21400556,-0.767197,-0.88022596,0.059863567,-1.7587881,-0.3000908,-0.7661428,0.8679659,-0.4688926,2.1561852,-0.6346861,-0.07599032,0.5109314,-1.2643492,-0.6453375,-1.6292531,0.46373624,1.0267731,0.94102216,-1.0508978,-2.3693233
FS,-1.1367996,-0.634233,-1.5735486,-1.4562397,0.25832665,0.9739895,0.067810416,0.6242236,1.9537536,-0.025719687,0.11470345,0.61215836,-0.73048055,-0.078928754,0.81853116,-1.9360334,-1.0548867,1.1165626,0.16229783,-0.8171352,-0.28897893,2.174217,-0.006023407,0.45800918,-0.98878443,0.66188836,-1.6079726,-0.32422954,1.8957318,1.229431,-0.464562,-0.8206997
GN,-0.8367417,-0.59071213,-0.15237516,-1.8364682,0.11024308,0.8499571,-0.28679925,0.045406163,-0.70624536,1.332234,-1.3536248,0.9222008,-1.653682,-0.76028615,0.6058891,-2.3397968,-1.2523869,0.40902108,0.943488,0.9422562,0.12830968,1.186594,-0.9577986,-0.3251696,-0.44396564,-0.77154297,-0.29602286,-1.5626093,2.5128489,0.2233423,-0.35554245,0.16383283
GS,-0.7647217,-0.9856833,-1.2703207,-2.1603365,0.66779387,0.94961405,-0.13134417,1.4835222,2.1497958,-0.097460985,-0.45832795,1.2027409,-0.9436405,-0.086503536,2.060476,-0.8883424,-1.7512414,0.46591336,0.81367505,0.8585557,-0.3722087,0.92633295,0.0498268,0.32693243,-0.0071730614,0.15647405,-0.7367179,-1.333221,2.2480745,0.31000715,0.71633637,0.15755677
HE,-0.71744287,0.13026088,-0.4149481,-1.335156,0.2714359,0.078433156,0.53851944,1.8444953,0.9583394,-0.45858693,0.48927245,0.34595364,0.527102,-0.8140992,0.19566655,-0.4523385,-1.1781017,0.62688184,0.292313,-0.72464764,-1.3369629,0.21431223,-1.1098464,0.41589856,0.7622369,-0.2644958,-0.09562427,-0.052085213,0.18849069,-0.579993,0.11648399,-0.5906147
HW,-0.17834535,-0.42094296,-0.34450498,-0.17134342,0.2333135,0.75131017,0.9574245,0.5477404,0.15328753,-0.23008874,0.6665049,-0.16116959,0.7882774,-0.069784105,-0.9256463,-1.0990783,-0.7554381,0.5078902,-0.67207754,-0.969044,-0.3411735,-0.44385272,-0.14041321,-0.19793998,1.5410296,-0.86229694,0.07389155,-0.8563033,-0.16688001,-0.73066837,-0.24849576,0.5259681
KE,-0.747572,2.266944,-0.972369,0.167934,0.030122042,1.091991,0.67610246,-0.9256208,-1.5624082,-0.36675292,0.42402536,-0.87693,0.24020737,-0.13766833,-1.1812544,-0.70916975,1.920277,-1.9291363,-1.0752412,1.3111389,0.30016154,-2.5965796,-1.445168,-1.1208467,-1.4117802,1.1072605,0.6071289,-0.50148296,-0.23986615,-1.424627,-1.2597728,1.5623736
KW,0.9003892,1.425966,-0.98628235,1.0000557,-0.26190913,0.3772479,0.7293156,-0.5247085,-0.648445,-0.5186832,0.4505735,-1.9637058,1.9509346,-1.7159865,-1.5478523,0.98175055,0.70989084,-0.56508696,0.29624164,-0.27816293,-0.7134516,-1.3078151,-0.9678732,-0.29055995,0.35823998,1.5692774,1.8268988,0.20921803,0.5155165,-1.7163875,-0.5554249,1.6507082
L,-0.3778181,0.9599941,0.7555349,-1.0898949,-1.1038517,1.2479963,1.2306051,-0.02154398,-1.4263895,0.089490265,-0.82338816,-0.411161,-1.0445029,0.6254743,-0.7374706,-1.3346565,1.5310379,-0.44480193,-0.48131362,0.49857387,-0.30761164,-0.63898456,-0.59824127,-1.1480954,-1.8043095,0.17897606,0.36324644,-1.6447254,0.61952525,-0.35827675,-1.4630816,0.5164611
ME,-0.70295036,0.99285215,0.958181,0.7141361,-1.8734318,0.225635,-0.34225738,0.5523746,-0.27614856,0.3958846,0.17954282,-0.2546292,-0.83643955,1.1005607,0.06632602,0.12755021,0.37090817,-1.1214542,1.0227587,1.0160565,1.30384,-1.6603283,2.0673985,0.5767694,-2.122807,0.8732159,-0.929819,-0.15437986,1.3212956,-0.03945774,-0.19825721,-0.24408114
MW,-0.019511908,0.15933192,-0.25606215,-0.22604495,-0.9436363,0.8260739,0.46970108,1.6040679,1.8580792,-1.4547288,-0.21729337,-0.44565627,-0.33734798,0.9153731,-0.39855,-0.07920058,-0.46232688,0.26013595,0.063099846,-1.3025414,-0.12927766,-0.046796456,1.1703742,0.68174386,-0.708024,0.32201073,-0.82812625,-0.03859082,0.76118463,0.9663595,-0.9365529,-1.1478
