ward_code,population_2011,population_density_per_sq_km,area_sq_km,udise_city_schools,students_total,teachers_total,teacher_student_ratio,classrooms_repair_pct,girls_share_pct,healthcare_facilities,hospitals,dispensaries,uphcs,complaints_received_2024,unresolved_complaints_2024,closure_pct_2024,avg_resolution_days_2024,green_space_count,green_space_share_pct,green_spaces_per_km2,bus_stop_count,railway_station_count,metro_station_count,monorail_station_count,total_public_transport_nodes,public_toilet_count,facilities_per_10000_population,fire_station_count,police_station_count
A,185014,16505.12,11.2095,53,31676.0,1472,0.046470513953782,3.358613217768147,48.55726733173381,12,4,4,3,3207,1901,41,64,20,2.032520325203252,1.784200901021455,261,2,9,0,265,89,45.13171976174776,4,8
B,127290,47885.44,2.6582,21,10681.0,407,0.0381050463439752,0.0,51.65246699747215,4,0,2,2,3019,2053,32,79,1,0.1016260162601626,0.3761944172748476,60,2,0,0,62,38,21.604210857097964,2,3
C,166161,86857.7,1.913,17,6828.0,221,0.0323667252489748,4.060913705583756,45.28412419449327,18,2,12,3,3864,607,84,32,4,0.4065040650406504,2.090956612650288,75,1,2,0,76,34,12.457796955964396,0,1
D,346866,41780.87,8.302,69,27782.0,1329,0.0478367288172197,0.6557377049180327,51.52976747534375,5,0,2,3,3748,203,95,20,30,3.048780487804878,3.613587087448808,234,3,2,0,237,93,20.440169979185043,1,5
E,393286,54832.83,7.1725,45,31165.0,1050,0.0336916412642387,0.2503128911138924,46.60035296005134,23,3,12,8,4939,1369,72,81,36,3.658536585365853,5.019170442662949,191,4,4,1,196,78,16.196864368423995,1,6
FN,529034,41158.27,12.8536,83,52637.0,2023,0.0384330413967361,0.0,48.6862853126128,17,2,7,7,4229,536,87,43,18,1.829268292682927,1.400385884110288,310,3,2,7,315,199,49.18398439419772,3,8
FS,360972,36563.59,9.8724,44,14394.0,639,0.0443934972905377,1.8108651911468807,43.50423787689315,19,2,8,7,2781,191,93,37,3,0.3048780487804878,0.3038774766014342,170,3,4,2,173,128,38.53484480790754,2,6
GN,599039,72039.79,8.3154,61,26435.0,1060,0.0400983544543219,0.6060606060606061,43.9530924910157,19,0,9,9,5151,1230,76,52,10,1.016260162601626,1.202587969309955,200,6,2,0,207,245,56.84104039970686,2,1
GS,377749,38778.81,9.7411,33,9391.0,476,0.0506868278138643,0.819672131147541,47.27930997763816,23,0,14,8,3299,235,93,37,10,1.016260162601626,1.026578107195286,214,4,5,1,219,113,24.91072114022804,1,1
HE,557239,43393.53,12.8415,48,22209.0,935,0.04210004952947,0.8275862068965517,47.90400288171462,16,1,6,8,4317,535,88,40,21,2.1341463414634148,1.6353229762878168,196,0,6,0,196,327,71.69275660892363,1,5
HW,307581,35556.96,8.6504,74,44351.0,1756,0.039593244797186,1.3754045307443366,49.14883542648418,14,1,6,7,5048,952,81,48,47,4.776422764227642,5.433274761860724,177,3,7,1,181,163,53.57938234156206,1,5
KE,823885,34353.28,23.9827,103,57340.0,2098,0.03658876874782,0.3571428571428571,46.75095919079177,36,1,13,19,8145,1319,84,59,82,8.333333333333332,3.419131290471882,374,2,16,0,378,804,77.15882677800907,2,10
KW,748688,30741.91,24.354,115,74683.0,3215,0.0430486188289168,0.6790402897238569,48.744694240991926,14,1,5,7,7945,1659,79,64,59,5.995934959349594,2.4225999835755934,385,1,15,0,387,225,32.042720064966986,1,6
L,902225,57740.88,15.6254,109,60190.0,2250,0.037381624854627,1.3011152416356877,46.810101345738495,34,2,14,17,7047,2135,70,20,63,6.402439024390244,4.031896783442344,254,3,5,0,258,798,74.38277591509879,1,4
ME,807720,21130.28,38.2257,115,42028.0,1782,0.0424003045588655,2.7260638297872344,48.35109926715523,25,0,10,14,4060,530,87,28,73,7.41869918699187,1.909709959529845,186,2,2,1,190,446,93.46060516020404,2,8
MW,411893,23376.21,17.6202,58,34839.0,1477,0.0423950170785613,1.7110266159695815,47.31766124171188,22,2,8,9,4032,445,89,28,49,4.979674796747967,2.7808991952418247,218,1,6,4,219,203,69.11989278769,1,0
N,622853,20353.16,30.6023,90,49243.0,1979,0.0401884531811628,2.0097020097020097,49.73701845947648,16,1,8,7,5428,461,92,33,38,3.861788617886179,1.2417367322064028,198,2,9,0,202,497,84.86753696297521,1,4
PN,941366,20157.51,46.7005,150,73575.0,2629,0.0357322460074753,1.4795474325500435,48.634726469588855,30,2,12,13,7327,4011,45,68,34,3.4552845528455287,0.72804359696363,333,1,3,0,337,1264,104.06154460645487,2,5
PS,463507,18251.45,25.3956,69,49698.0,2013,0.0405046480743691,0.5641748942172073,48.70216105275866,13,1,2,8,5156,2042,60,35,46,4.67479674796748,1.8113373970294064,279,2,7,0,282,355,66.94613026340487,2,3
RC,562162,11723.92,47.95,73,35544.0,1567,0.0440862030159801,0.5223880597014926,47.4679270762998,18,0,7,8,5372,339,94,23,79,8.028455284552846,1.6475495307612096,326,1,6,0,330,256,38.956742006752506,1,4
RN,431368,30427.95,14.1767,58,37430.0,1405,0.037536735239113,0.0,45.99251936948971,16,2,5,9,3166,45,99,15,52,5.284552845528456,3.667990435009558,203,1,5,0,204,395,72.5830381484023,1,2
RS,691229,37250.32,18.5563,98,76445.0,2745,0.0359081692720256,0.3168854685377999,45.04545751847734,16,1,5,9,4840,275,94,14,71,7.215447154471545,3.826193799410442,219,1,4,0,220,393,61.831896520545286,2,2
S,743783,22847.32,32.5545,110,56804.0,2319,0.0408245898176184,1.4830508474576272,46.84529258502923,30,1,9,17,6221,3550,43,50,78,7.926829268292683,2.3959821222872417,284,4,13,0,288,1043,98.10657140590736,0,4
T,341463,7566.1,45.1307,54,27546.0,1341,0.0486822043127858,0.0,48.40993247658462,13,2,3,7,3055,465,85,39,60,6.097560975609756,1.3294719558969836,208,1,4,0,210,212,61.93936092636684,2,1
