ward_code,scenario,intervention,affected_domain,affected_indicator,baseline_pressure,scenario_pressure,pressure_change,effect,explanation
GS,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,48.59817115251898,47.40769496204279,-1.1904761904761898,Modeled pressure decreases,"For ward GS, the scenario 'Increase modeled healthcare capacity by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
FN,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,48.796975970889015,46.41602358993664,-2.38095238095238,Modeled pressure decreases,"For ward FN, the scenario 'Increase modeled healthcare capacity by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
MW,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,46.19408369408369,44.4083694083694,-1.7857142857142847,Modeled pressure decreases,"For ward MW, the scenario 'Increase modeled healthcare capacity by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
HW,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,40.54598782859652,38.76027354288224,-1.7857142857142847,Modeled pressure decreases,"For ward HW, the scenario 'Increase modeled healthcare capacity by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
GN,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,60.6060606060606,57.034632034632025,-3.5714285714285765,Modeled pressure decreases,"For ward GN, the scenario 'Increase modeled healthcare capacity by 20%' produces a -3.57-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
ME,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,52.551524562394114,48.38485789572746,-4.166666666666657,Modeled pressure decreases,"For ward ME, the scenario 'Increase modeled healthcare capacity by 20%' produces a -4.17-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
E,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,51.18302591128679,49.397311625572506,-1.7857142857142847,Modeled pressure decreases,"For ward E, the scenario 'Increase modeled healthcare capacity by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
HE,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,55.37831733483909,51.21165066817241,-4.166666666666679,Modeled pressure decreases,"For ward HE, the scenario 'Increase modeled healthcare capacity by 20%' produces a -4.17-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RS,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,52.7969916556873,51.606515465211125,-1.1904761904761756,Modeled pressure decreases,"For ward RS, the scenario 'Increase modeled healthcare capacity by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
T,healthcare_capacity_plus_20,Increase modeled healthcare capacity by 20%,Healthcare,Population per healthcare facility,41.7090156220591,39.328063241106726,-2.3809523809523725,Modeled pressure decreases,"For ward T, the scenario 'Increase modeled healthcare capacity by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Healthcare, through Population per healthcare facility. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
