ward_code,embedding_1,embedding_2,embedding_3,embedding_4,reconstruction_mse
GS,-3.9627001,1.403451,-1.4589622,-1.2478346,0.22870120494286336
FN,-5.5316753,4.242172,3.4534981,4.922695,0.0545987737261458
MW,-1.4776181,0.28015113,1.3596122,1.7524613,0.2352379424562949
HW,-1.3773085,2.2018576,0.18858251,0.50391805,0.20562898716827305
GN,-4.122752,2.620904,-2.592433,-2.4621642,0.27686199814151197
ME,1.5670782,1.2201139,-0.37370452,1.884985,0.493200453934983
E,-4.609204,6.0503306,-1.1176114,-0.44700217,0.054194095552421995
HE,-1.4801548,-0.21648619,-0.85943145,-0.9565865,0.2011399397290732
RS,-0.095675565,1.2919706,0.21570751,2.0094454,0.3413703713749195
T,-2.17964,-1.7757299,0.75726527,2.4733877,0.1060101890880212
N,0.32286173,0.4605921,-0.49218395,0.7205277,0.19292385681743793
PS,0.8532152,0.47800592,-0.037284218,2.1561255,0.20340204844915366
PN,3.9173613,5.3785586,-1.760386,5.388208,0.23018301691155105
B,-5.9986696,-2.5858572,-3.737648,-4.2846937,0.3943750740439243
RC,-0.35216764,0.5199323,0.4723263,1.6196156,0.3706530804317855
KE,-0.20959994,9.519633,-2.3039956,4.1675477,0.21747638473063133
L,0.521433,4.697245,-2.923527,1.4475229,0.35324486180121006
S,1.1307845,5.7467194,-3.296273,2.383529,0.31326428117501276
RN,-0.7862913,-0.11802766,0.39542338,1.4904637,0.21269012016995573
KW,-1.2081976,7.1251397,-0.291428,3.1898968,0.2649694662072487
A,-5.035989,-4.15154,0.29616252,0.045795668,0.13175762115018416
C,-5.1303535,0.72391725,-4.5236897,-4.6932654,0.3969683676763528
D,-1.7924887,0.4903299,0.3267925,0.5446163,0.47605724226998447
FS,-4.5968456,0.54033923,-0.7665952,-0.63360476,0.17502061687035
