ward_code,embedding_1,embedding_2,embedding_3,embedding_4,pca_1,pca_2
GS,-3.9627001,1.403451,-1.4589622,-1.2478346,-2.63671,1.7954208
FN,-5.5316753,4.242172,3.4534981,4.922695,2.0771945,-0.79767805
MW,-1.4776181,0.28015113,1.3596122,1.7524613,-0.4566694,-2.5809937
HW,-1.3773085,2.2018576,0.18858251,0.50391805,0.18759543,-0.2655931
GN,-4.122752,2.620904,-2.592433,-2.4621642,-2.582546,3.7239196
ME,1.5670782,1.2201139,-0.37370452,1.884985,1.6704156,-2.380151
E,-4.609204,6.0503306,-1.1176114,-0.44700217,0.68008864,4.5526
HE,-1.4801548,-0.21648619,-0.85943145,-0.9565865,-2.3524582,-0.6531684
RS,-0.095675565,1.2919706,0.21570751,2.0094454,1.0003606,-2.0197053
T,-2.17964,-1.7757299,0.75726527,2.4733877,-1.8480798,-3.6504514
N,0.32286173,0.4605921,-0.49218395,0.7205277,-0.089549355,-1.8244644
PS,0.8532152,0.47800592,-0.037284218,2.1561255,0.9733642,-2.8606813
PN,3.9173613,5.3785586,-1.760386,5.388208,7.4936156,-1.4331385
B,-5.9986696,-2.5858572,-3.737648,-4.2846937,-8.099807,2.4310796
RC,-0.35216764,0.5199323,0.4723263,1.6196156,0.14718202,-2.377752
KE,-0.20959994,9.519633,-2.3039956,4.1675477,7.6379223,3.6697023
L,0.521433,4.697245,-2.923527,1.4475229,3.197715,1.7242088
S,1.1307845,5.7467194,-3.296273,2.383529,4.7021537,1.945746
RN,-0.7862913,-0.11802766,0.39542338,1.4904637,-0.57517505,-2.526984
KW,-1.2081976,7.1251397,-0.291428,3.1898968,5.070228,1.943728
A,-5.035989,-4.15154,0.29616252,0.045795668,-6.198141,-2.7971666
C,-5.1303535,0.72391725,-4.5236897,-4.6932654,-5.6599364,4.794605
D,-1.7924887,0.4903299,0.3267925,0.5446163,-1.1610329,-1.296543
FS,-4.5968456,0.54033923,-0.7665952,-0.63360476,-3.1777425,0.88345927
