ward_code,udise_city_schools,classrooms_total,classrooms_good,classrooms_minor_repair,classrooms_major_repair,electricity_schools,internet_schools,library_schools,playground_schools,ramps_schools,handrails_schools,ict_lab_schools,computer_ict_lab_schools,repair_sum,repair_denominator,electricity_rate,internet_rate,classroom_repair_rate
GS,33,0,363,3,0,33,33,33,38,33,41,145,40,3,0,100.0,100.0,inf
FN,83,0,1413,0,0,83,83,83,97,84,101,388,99,0,0,100.0,100.0,
MW,58,0,1034,11,7,58,58,58,72,60,95,281,72,18,0,100.0,100.0,inf
HW,74,0,1219,10,7,74,74,74,84,76,109,364,84,17,0,100.0,100.0,inf
GN,61,0,820,3,2,61,61,61,73,62,90,344,72,5,0,100.0,100.0,inf
ME,115,0,1463,28,13,115,115,115,148,116,142,613,138,41,0,100.0,100.0,inf
E,45,0,797,2,0,45,45,45,52,45,62,210,51,2,0,100.0,100.0,inf
HE,48,0,719,6,0,48,48,48,52,48,69,229,61,6,0,100.0,100.0,inf
RS,98,0,2202,7,0,98,98,98,118,99,123,601,110,7,0,100.0,100.0,inf
T,54,0,942,0,0,54,54,54,60,54,67,319,68,0,0,100.0,100.0,
N,90,0,1414,29,0,90,90,90,103,91,103,410,109,29,0,100.0,100.0,inf
PS,69,0,1410,8,0,69,69,69,79,71,103,444,80,8,0,100.0,100.0,inf
PN,150,0,2264,33,1,150,150,150,184,159,266,927,166,34,0,100.0,100.0,inf
B,21,0,342,0,0,21,21,21,33,21,28,86,25,0,0,100.0,100.0,
RC,73,0,1333,1,6,73,73,73,80,75,103,444,79,7,0,100.0,100.0,inf
KE,103,0,1674,5,1,103,103,103,119,106,165,598,113,6,0,100.0,100.0,inf
L,109,0,1593,20,1,109,109,109,131,110,147,574,141,21,0,100.0,100.0,inf
S,110,0,1860,25,3,110,110,110,128,112,154,547,133,28,0,100.0,100.0,inf
RN,58,0,1237,0,0,58,58,58,67,60,85,362,64,0,0,100.0,100.0,
KW,115,0,2194,4,11,115,115,115,135,122,204,780,148,15,0,100.0,100.0,inf
A,53,0,892,31,0,53,53,53,68,53,70,289,65,31,0,100.0,100.0,inf
C,17,0,189,7,1,17,17,17,21,17,22,51,21,8,0,100.0,100.0,inf
D,69,0,909,6,0,69,69,69,79,70,87,376,82,6,0,100.0,100.0,inf
FS,44,0,488,9,0,44,44,44,54,44,58,169,54,9,0,100.0,100.0,inf
