complaint_id,timestamp,complaint_text,category,latitude,longitude,ward_id,status
C0001,2026-03-04 07:08:00,Waste collection delayed,Waste,19.082365,72.881767,W002,In Progress
C0002,2026-01-08 02:13:00,Street light not working,Electricity,19.077327,72.88102,W002,In Progress
C0003,2026-04-25 18:17:00,Street light damaged,Electricity,19.073094,72.880065,W004,Open
C0004,2026-02-09 06:48:00,Large pothole on main road,Road,19.080366,72.887927,W007,Open
C0005,2026-03-09 01:46:00,Road surface damaged,Road,19.064594,72.886248,W006,Resolved
C0006,2026-04-03 18:12:00,Road surface damaged,Road,19.082046,72.875458,W002,Open
C0007,2026-01-26 12:17:00,Garbage overflowing,Waste,19.089534,72.873341,W005,Open
C0008,2026-06-21 08:44:00,Road damaged,Road,19.069367,72.89148,W006,In Progress
C0009,2026-04-29 12:17:00,Water supply interruption,Water,19.089895,72.8764,W003,In Progress
C0010,2026-02-28 01:51:00,Pothole near bus stop,Road,19.068155,72.882677,W004,Open
C0011,2026-06-17 15:25:00,Road damaged,Road,19.063847,72.879429,W010,Open
C0012,2026-05-24 17:16:00,Water supply interruption,Water,19.09247,72.869284,W005,In Progress
C0013,2026-02-05 16:31:00,Road damaged,Road,19.077909,72.887471,W007,Open
C0014,2026-06-02 02:24:00,Pipeline leakage,Water,19.083816,72.879961,W003,In Progress
C0015,2026-06-24 17:48:00,Garbage not collected,Waste,19.087668,72.87141,W005,Open
C0016,2026-04-27 00:46:00,Street light damaged,Electricity,19.093759,72.867634,W005,In Progress
C0017,2026-06-13 16:38:00,Waste collection delayed,Waste,19.081989,72.873739,W003,Open
C0018,2026-03-24 15:01:00,Dustbin is full,Waste,19.091119,72.88063,W009,Resolved
C0019,2026-05-26 02:05:00,Garbage overflowing,Waste,19.072319,72.88816,W004,In Progress
C0020,2026-05-21 05:16:00,Pipeline leakage,Water,19.085277,72.876066,W003,Open
C0021,2026-04-13 21:41:00,Low water pressure,Water,19.093734,72.885996,W009,Resolved
C0022,2026-01-17 10:01:00,Water supply interruption,Water,19.080883,72.877301,W002,Open
C0023,2026-02-28 02:57:00,Garbage not collected,Waste,19.071314,72.876004,W001,In Progress
C0024,2026-02-24 17:08:00,Broken footpath,Road,19.072234,72.888824,W004,In Progress
C0025,2026-04-15 06:06:00,Pipeline leakage,Water,19.063969,72.871311,W008,Resolved
C0026,2026-06-22 20:41:00,Street light not working,Electricity,19.077984,72.891026,W007,Resolved
C0027,2026-02-18 17:28:00,Water supply interruption,Water,19.076402,72.876835,W002,Resolved
C0028,2026-05-21 03:03:00,Waste dumped on road,Waste,19.071521,72.885406,W004,Open
C0029,2026-04-15 15:30:00,Water supply interruption,Water,19.077137,72.87901,W002,Open
C0030,2026-04-10 08:59:00,Street light not working,Electricity,19.087841,72.87455,W003,Resolved
C0031,2026-02-18 09:13:00,Street light damaged,Electricity,19.099687,72.882792,W009,In Progress
C0032,2026-01-13 18:30:00,Pothole near bus stop,Road,19.076029,72.881227,W001,Open
C0033,2026-01-18 19:04:00,Garbage overflowing,Waste,19.077752,72.875052,W001,Open
C0034,2026-06-02 01:39:00,Dirty water supply,Water,19.05582,72.879574,W010,In Progress
C0035,2026-02-22 21:45:00,Large pothole on main road,Road,19.093142,72.879656,W009,Open
C0036,2026-01-19 00:29:00,Power line issue,Electricity,19.091212,72.87063,W005,Open
C0037,2026-03-09 04:59:00,Dirty water supply,Water,19.07849,72.875688,W002,Open
C0038,2026-04-23 17:45:00,Road damaged,Road,19.063025,72.894839,W006,In Progress
C0039,2026-03-18 21:06:00,Dustbin is full,Waste,19.099389,72.878343,W009,Open
C0040,2026-03-14 19:13:00,Low water pressure,Water,19.082176,72.877036,W002,In Progress
C0041,2026-01-14 02:40:00,Power line issue,Electricity,19.089236,72.867767,W005,Open
C0042,2026-02-11 23:28:00,Low water pressure,Water,19.065517,72.889277,W006,Open
C0043,2026-05-20 01:53:00,Garbage overflowing,Waste,19.078692,72.880525,W002,Resolved
C0044,2026-04-04 01:57:00,Waste collection delayed,Waste,19.083578,72.876821,W003,In Progress
C0045,2026-04-15 19:47:00,Road surface damaged,Road,19.076546,72.884299,W002,Open
C0046,2026-02-15 23:59:00,Street light not working,Electricity,19.083322,72.879308,W003,In Progress
C0047,2026-06-29 03:24:00,Road damaged,Road,19.073722,72.888586,W004,Open
C0048,2026-03-20 07:14:00,Power line issue,Electricity,19.065237,72.881931,W004,Resolved
C0049,2026-03-31 20:32:00,Waste collection delayed,Waste,19.088997,72.874811,W005,In Progress
C0050,2026-03-08 05:37:00,Garbage not collected,Waste,19.069625,72.887655,W006,Open
C0051,2026-03-22 13:38:00,Power line issue,Electricity,19.064842,72.874156,W010,In Progress
C0052,2026-04-22 00:33:00,Pothole near bus stop,Road,19.074256,72.885385,W004,In Progress
C0053,2026-01-18 21:58:00,Broken footpath,Road,19.068302,72.883139,W004,Open
C0054,2026-03-25 12:44:00,Broken footpath,Road,19.087957,72.866273,W005,Resolved
C0055,2026-05-26 09:25:00,Dirty water supply,Water,19.082479,72.887004,W007,Resolved
C0056,2026-06-05 20:20:00,Street light flickering,Electricity,19.06965,72.884422,W004,Open
C0057,2026-06-18 02:18:00,Street light damaged,Electricity,19.095155,72.883329,W009,Resolved
C0058,2026-02-27 06:09:00,Low water pressure,Water,19.075244,72.877448,W002,Resolved
C0059,2026-04-17 20:36:00,Waste dumped on road,Waste,19.056944,72.879964,W010,Resolved
C0060,2026-06-17 22:00:00,Water supply interruption,Water,19.085927,72.895604,W007,Open
C0061,2026-06-28 16:29:00,Water supply interruption,Water,19.077502,72.889492,W007,Open
C0062,2026-06-20 16:35:00,Pipeline leakage,Water,19.068955,72.8765,W008,Resolved
C0063,2026-04-25 05:47:00,Street light flickering,Electricity,19.063615,72.877501,W010,Open
C0064,2026-03-12 14:04:00,Street light damaged,Electricity,19.092135,72.867345,W005,Resolved
C0065,2026-02-08 07:24:00,Garbage overflowing,Waste,19.066939,72.892064,W006,Open
C0066,2026-05-19 14:26:00,Power line issue,Electricity,19.077623,72.895329,W007,Resolved
C0067,2026-04-08 15:00:00,Dustbin is full,Waste,19.064427,72.875986,W010,Resolved
C0068,2026-02-26 08:27:00,Pipeline leakage,Water,19.081856,72.890889,W007,In Progress
C0069,2026-02-02 19:34:00,Pipeline leakage,Water,19.07727,72.89094,W007,In Progress
C0070,2026-02-04 14:11:00,Waste dumped on road,Waste,19.071503,72.876491,W001,Open
C0071,2026-04-08 08:48:00,Large pothole on main road,Road,19.072512,72.871216,W008,Open
C0072,2026-01-14 11:14:00,Dustbin is full,Waste,19.069501,72.874812,W008,In Progress
C0073,2026-02-21 00:39:00,Garbage overflowing,Waste,19.072524,72.873962,W001,In Progress
C0074,2026-06-29 08:49:00,Pipeline leakage,Water,19.078689,72.881059,W002,In Progress
C0075,2026-01-28 18:01:00,Low water pressure,Water,19.084289,72.880758,W002,Resolved
C0076,2026-06-01 22:53:00,Water leakage on road,Water,19.083272,72.888019,W007,Resolved
C0077,2026-01-11 11:34:00,Dustbin is full,Waste,19.059284,72.876706,W010,In Progress
C0078,2026-05-06 03:27:00,Waste dumped on road,Waste,19.069608,72.891356,W006,Resolved
C0079,2026-05-14 20:17:00,Street light damaged,Electricity,19.086159,72.879196,W003,Resolved
C0080,2026-03-10 10:54:00,Street light flickering,Electricity,19.065455,72.876346,W008,Resolved
C0081,2026-05-26 19:42:00,Pipeline leakage,Water,19.06679,72.867287,W008,Resolved
C0082,2026-04-01 08:21:00,Street light damaged,Electricity,19.082797,72.875962,W003,Resolved
C0083,2026-02-18 02:15:00,Dustbin is full,Waste,19.097201,72.881886,W009,Open
C0084,2026-01-05 02:18:00,Electric pole damaged,Electricity,19.065216,72.873918,W008,Resolved
C0085,2026-05-22 16:22:00,Broken footpath,Road,19.059255,72.880459,W010,Resolved
C0086,2026-03-20 08:14:00,Power line issue,Electricity,19.061207,72.886926,W006,Open
C0087,2026-02-25 23:30:00,Water supply interruption,Water,19.092765,72.882896,W009,In Progress
C0088,2026-02-19 09:14:00,Pothole near bus stop,Road,19.058609,72.876023,W010,In Progress
C0089,2026-01-12 01:35:00,Low water pressure,Water,19.092921,72.886441,W009,In Progress
C0090,2026-05-27 09:30:00,Garbage not collected,Waste,19.067787,72.870407,W008,Open
C0091,2026-01-17 12:31:00,Street light not working,Electricity,19.085741,72.871294,W005,Open
C0092,2026-03-19 02:15:00,Dirty water supply,Water,19.081185,72.877644,W003,In Progress
C0093,2026-04-08 14:58:00,Dirty water supply,Water,19.059427,72.881602,W010,Resolved
C0094,2026-01-26 06:40:00,Dustbin is full,Waste,19.08711,72.871604,W005,Open
C0095,2026-01-20 05:00:00,Dirty water supply,Water,19.069085,72.886894,W004,Resolved
C0096,2026-03-15 22:18:00,Garbage overflowing,Waste,19.09203,72.86954,W005,In Progress
