ward_code,ward_name,OBJECTID,Shape__Area,Shape__Length,source,source_file
G/S,G/S Ward,1,9741111.91455,15974.681034,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
F/N,F/N Ward,2,12853652.852,16825.3683394,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
M/W,M/W Ward,3,17620181.5264,25266.9563095,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
H/W,H/W Ward,4,8650367.39716,15873.6145455,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
G/N,G/N Ward,5,8315396.01263,14253.0957102,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
M/E,M/E Ward,6,38225707.2638,28734.0146228,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
E,E Ward,7,7172453.85114,16306.6110025,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
H/E,H/E Ward,8,12841525.4535,16454.1569139,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
R/S,R/S Ward,9,18556319.3753,28066.2455164,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
T,T Ward,10,45130672.5375,40408.7229288,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
N,N Ward,11,30602271.308,30174.5391035,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
P/S,P/S Ward,12,25395629.2708,27243.6321463,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
P/N,P/N Ward,13,46700514.2817,49267.4074285,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
B,B Ward,14,2658217.11011,8322.64597818,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
R/C,R/C Ward,15,47950008.5579,44053.944548,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
K/E,K/E Ward,16,23982723.7224,24964.4293297,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
L,L Ward,17,15625411.0261,25757.1572097,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
S,S Ward,18,32554496.9057,33205.948,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
R/N,R/N Ward,19,14176700.0126,17145.1494995,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
K/W,K/W Ward,20,24353979.2439,29682.0990774,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
A,A Ward,21,11209490.9888,23087.2903658,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
C,C Ward,22,1913026.14252,6389.30465264,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
D,D Ward,23,8302030.15588,16127.0863455,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
F/S,F/S Ward,24,9872439.88586,15732.7697887,BMC/OpenCity Mumbai Wards Map,mumbai_wards_original.kml
