date,ward_id,rainfall,temperature,humidity,aqi
2026-01-01,W001,76.73,24.25,64.63,107
2026-01-01,W002,16.74,25.02,80.92,189
2026-01-01,W003,10.43,28.22,56.04,105
2026-01-01,W004,27.92,30.02,74.64,233
2026-01-01,W005,77.99,29.45,62.72,200
2026-01-01,W006,33.38,32.69,81.56,90
2026-01-01,W007,83.78,27.4,60.44,245
2026-01-01,W008,40.39,24.93,58.39,138
2026-01-01,W009,72.45,32.07,80.54,187
2026-01-01,W010,14.98,33.22,57.76,125
2026-01-02,W001,99.53,30.19,85.16,197
2026-01-02,W002,23.07,24.7,78.14,247
2026-01-02,W003,34.73,24.8,63.15,75
2026-01-02,W004,45.62,28.53,84.19,91
2026-01-02,W005,44.42,26.1,64.34,224
2026-01-02,W006,77.76,30.09,60.99,236
2026-01-02,W007,29.38,28.62,64.45,213
2026-01-02,W008,82.58,26.2,66.35,246
2026-01-02,W009,93.12,26.29,56.12,130
2026-01-02,W010,48.14,24.66,86.96,195
2026-01-03,W001,105.16,27.15,77.94,151
2026-01-03,W002,106.16,30.43,60.0,85
2026-01-03,W003,29.6,29.61,64.2,199
2026-01-03,W004,51.41,29.84,67.67,85
2026-01-03,W005,61.14,24.91,56.65,78
2026-01-03,W006,18.34,25.6,78.82,202
2026-01-03,W007,7.62,27.82,89.86,185
2026-01-03,W008,30.17,29.53,87.99,224
2026-01-03,W009,86.49,30.82,73.79,118
2026-01-03,W010,92.23,27.4,65.27,90
2026-01-04,W001,54.45,33.54,85.65,117
2026-01-04,W002,116.63,31.62,72.77,77
2026-01-04,W003,104.46,26.98,77.36,205
2026-01-04,W004,23.87,27.74,60.65,249
2026-01-04,W005,110.69,33.18,75.96,175
2026-01-04,W006,2.34,33.29,85.76,128
2026-01-04,W007,28.73,26.41,74.86,70
2026-01-04,W008,10.28,28.86,57.42,244
2026-01-04,W009,63.92,25.26,78.09,190
2026-01-04,W010,19.82,29.28,76.23,104
2026-01-05,W001,111.47,31.55,79.15,232
2026-01-05,W002,37.41,33.95,77.75,162
2026-01-05,W003,107.95,28.51,63.68,66
2026-01-05,W004,40.57,29.88,63.05,106
2026-01-05,W005,0.86,31.08,57.06,67
2026-01-05,W006,108.65,32.6,57.48,110
2026-01-05,W007,33.42,28.85,73.87,235
2026-01-05,W008,112.26,29.71,71.54,250
2026-01-05,W009,56.76,28.07,58.3,218
2026-01-05,W010,51.73,28.24,71.35,236
2026-01-06,W001,6.5,30.53,77.62,65
2026-01-06,W002,48.31,27.39,85.16,113
2026-01-06,W003,22.99,29.36,59.91,96
2026-01-06,W004,33.43,26.5,87.31,163
2026-01-06,W005,96.96,32.56,58.43,216
2026-01-06,W006,119.91,32.36,88.91,242
2026-01-06,W007,101.84,25.66,72.0,104
2026-01-06,W008,103.76,33.02,60.76,50
2026-01-06,W009,118.24,26.65,82.44,166
2026-01-06,W010,34.23,30.97,80.57,250
2026-01-07,W001,66.69,31.18,60.42,125
2026-01-07,W002,26.12,24.58,80.75,65
2026-01-07,W003,89.76,24.57,75.45,178
2026-01-07,W004,110.33,29.31,56.99,180
2026-01-07,W005,9.61,25.86,75.83,222
2026-01-07,W006,103.42,28.04,87.96,195
2026-01-07,W007,29.55,29.95,76.68,157
2026-01-07,W008,78.88,29.65,66.07,116
2026-01-07,W009,24.51,31.16,63.35,151
2026-01-07,W010,15.71,30.46,71.0,242
2026-01-08,W001,112.29,24.09,76.74,194
2026-01-08,W002,119.53,24.73,62.46,117
2026-01-08,W003,15.89,27.49,57.41,112
2026-01-08,W004,44.34,25.58,84.18,230
2026-01-08,W005,36.3,33.84,83.25,185
2026-01-08,W006,0.94,32.17,65.48,219
2026-01-08,W007,12.43,32.78,64.26,77
2026-01-08,W008,89.09,25.55,64.86,103
2026-01-08,W009,86.11,26.04,77.2,117
2026-01-08,W010,60.65,26.51,86.79,63
2026-01-09,W001,11.08,28.24,64.68,50
2026-01-09,W002,40.03,25.31,89.29,91
2026-01-09,W003,88.95,29.52,69.97,52
2026-01-09,W004,13.42,33.45,79.19,88
2026-01-09,W005,65.47,32.35,75.39,87
2026-01-09,W006,51.57,24.42,67.76,60
2026-01-09,W007,107.87,26.1,63.73,76
2026-01-09,W008,42.44,29.6,85.61,208
2026-01-09,W009,89.94,33.26,63.29,91
2026-01-09,W010,117.14,32.11,85.85,56
